,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction
53,-1.31,2.75,-2.75,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
54,-1.31,2.75,-2.75,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
55,-1.75,1.06,-0.06,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
56,-1.75,1.06,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
57,-1.75,1.06,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
58,-1.75,1.06,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
59,-2.19,1.06,-0.50,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
60,-2.19,1.06,-0.50,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
61,-2.19,1.06,-0.50,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
62,-2.19,1.06,-0.50,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
63,-2.62,2.44,-1.62,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
64,-2.62,2.44,-1.62,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
65,-2.62,2.44,-1.62,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
66,-2.62,2.44,-1.62,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
67,-2.19,2.81,-1.19,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
68,-2.19,2.81,-1.19,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
69,-2.19,2.81,-1.19,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
70,-2.19,2.81,-1.19,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
71,-1.75,2.81,-1.62,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
72,-1.75,2.81,-1.62,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
73,-1.75,2.81,-1.62,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
74,-1.75,2.81,-1.62,-0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
75,-2.62,3.81,-0.44,-0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
76,-2.62,3.81,-0.44,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
77,-2.62,3.81,-0.44,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
78,-2.62,3.81,-0.44,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
79,-3.37,2.12,-2.37,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
80,-3.37,2.12,-2.37,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
81,-3.37,2.12,-2.37,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
82,-3.37,2.12,-2.37,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
83,-2.12,0.37,-2.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
84,-2.12,0.37,-2.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
85,-2.12,0.37,-2.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
86,-2.12,0.37,-2.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
87,-2.19,2.81,-1.62,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
88,-2.19,2.81,-1.62,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
89,-2.19,2.81,-1.62,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
90,-2.19,2.81,-1.62,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
91,-2.25,4.50,-0.44,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
92,-2.25,4.50,-0.44,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
93,-2.25,4.50,-0.44,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
94,-2.25,4.50,-0.44,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
95,-1.75,2.44,-0.81,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
96,-1.75,2.44,-0.81,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
97,-1.75,2.44,-0.81,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
98,-1.75,2.44,-0.81,0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
99,-3.06,3.19,-1.19,0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
100,-3.06,3.19,-1.19,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
101,-3.06,3.19,-1.19,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
102,-3.06,3.19,-1.19,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
103,-2.19,1.75,-2.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
104,-2.19,1.75,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
105,-2.19,1.75,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
106,-2.19,1.75,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
107,-1.75,3.06,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
108,-1.75,3.06,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
109,-1.75,3.06,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
110,-1.75,3.06,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
111,-2.62,4.12,-2.31,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
112,-2.62,4.12,-2.31,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
113,-2.62,4.12,-2.31,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
114,-2.62,4.12,-2.31,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
115,-2.19,4.12,-1.56,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
116,-2.19,4.12,-1.56,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
117,-2.19,4.12,-1.56,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
118,-2.19,4.12,-1.56,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
119,-2.69,6.50,-1.50,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
120,-2.69,6.50,-1.50,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
121,-2.69,6.50,-1.50,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
122,-2.69,6.50,-1.50,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
123,-2.19,3.44,-1.19,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
124,-2.19,3.44,-1.19,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
125,-2.19,3.44,-1.19,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
126,-2.19,3.44,-1.19,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
127,-2.19,4.12,-1.56,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
128,-2.19,4.12,-1.56,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
129,-2.19,4.12,-1.56,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
130,-2.19,4.12,-1.56,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
131,-1.81,5.19,-0.75,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
132,-1.81,5.19,-0.75,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
133,-1.81,5.19,-0.75,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
134,-1.81,5.19,-0.75,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
135,-1.75,3.12,-2.37,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
136,-1.75,3.12,-2.37,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
137,-1.75,3.12,-2.37,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
138,-1.75,3.12,-2.37,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
139,-2.56,1.75,-1.19,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
140,-2.56,1.75,-1.19,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
