,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
0,0.01,0.01,-0.01,7.81,-6.75,2.25,-9.39,2.44,0.84,0.64,0.44,-0.27,0.57,401180,0,T
1,0.01,0.01,-0.01,7.81,-6.75,2.25,-9.39,2.44,0.84,0.64,0.44,-0.27,0.57,401217,37,T
2,-0.01,0,-0.01,7.81,-6.75,2.25,-9.39,2.44,0.84,0.64,0.44,-0.27,0.57,401257,77,T
3,-0.01,0,0.01,7.81,-6.75,2.25,-9.39,2.44,0.84,0.64,0.44,-0.27,0.57,401297,117,T
4,-0.01,0,0.01,7.81,-6.75,2.25,-9.35,2.44,0.84,0.64,0.44,-0.27,0.57,401336,156,T
5,-0.01,0,0.01,7.81,-6.75,2.25,-9.39,2.4,0.88,0.64,0.44,-0.27,0.57,401375,195,T
6,-0.01,0,0.01,7.81,-6.75,2.25,-9.35,2.44,0.84,0.64,0.44,-0.27,0.57,401412,232,T
7,-0.01,0,0,7.81,-6.75,2.25,-9.35,2.44,0.84,0.64,0.44,-0.27,0.57,401451,271,T
8,0,0,0.02,7.81,-6.75,2.25,-9.35,2.44,0.84,0.64,0.44,-0.27,0.57,401489,309,T
9,0,0,0.02,7.81,-6.75,2.25,-9.39,2.44,0.88,0.64,0.44,-0.27,0.57,401528,348,T
10,0,0,0.02,7.81,-6.75,2.25,-9.35,2.44,0.84,0.64,0.44,-0.27,0.57,401565,385,T
11,-0.01,0,0,7.81,-6.75,2.25,-9.35,2.44,0.84,0.64,0.44,-0.27,0.57,401606,426,T
12,0,0,0,7.81,-6.75,2.25,-9.35,2.44,0.84,0.64,0.44,-0.27,0.57,401646,466,T
13,0,0,0,7.81,-6.75,2.25,-9.39,2.44,0.88,0.64,0.44,-0.27,0.57,401684,504,T
14,0,0,0,7.81,-6.75,2.25,-9.35,2.44,0.84,0.64,0.44,-0.27,0.57,401722,542,T
15,0,0,0,7.81,-6.75,2.25,-9.39,2.44,0.88,0.64,0.44,-0.27,0.57,401759,579,T
16,0,0,0.01,7.81,-6.75,2.25,-9.39,2.44,0.88,0.64,0.44,-0.27,0.57,401798,618,T
17,-0.01,0,-0.01,7.81,-6.75,2.25,-9.39,2.44,0.88,0.64,0.44,-0.27,0.57,401837,657,T
18,-0.01,0,-0.01,7.81,-6.75,2.25,-9.39,2.44,0.88,0.64,0.44,-0.27,0.57,401875,695,T
19,-0.01,0,-0.01,7.81,-6.75,2.25,-9.43,2.4,0.92,0.64,0.44,-0.27,0.57,401913,733,T
20,0.01,0,-0.04,7.81,-6.75,2.25,-9.43,2.4,0.92,0.64,0.44,-0.27,0.57,401953,773,T
21,-0.01,-0.01,-0.09,7.81,-6.75,2.25,-9.27,2.36,0.99,0.64,0.44,-0.27,0.57,402030,850,T
22,-0.01,-0.01,-0.09,7.81,-6.75,2.25,-9.43,2.25,0.99,0.64,0.44,-0.27,0.57,402068,888,T
23,0.01,0.08,-0.06,7.81,-6.75,2.25,-9.43,2.25,0.99,0.64,0.44,-0.27,0.57,402109,929,T
24,-0.07,0.08,0.02,7.81,-6.75,2.25,-9.43,2.25,0.99,0.64,0.44,-0.27,0.57,402148,968,T
25,-0.07,0.08,0.02,7.81,-6.75,2.25,-9.54,2.17,0.46,0.64,0.44,-0.27,0.57,402187,1007,T
26,-0.07,0.08,0.02,7.81,-6.75,2.25,-9.39,2.29,1.03,0.64,0.44,-0.27,0.57,402227,1047,T
27,-0.07,0.08,0.02,7.81,-6.75,2.25,-9.43,2.21,0.76,0.64,0.44,-0.27,0.57,402265,1085,T
28,-0.03,-0.03,0.01,7.81,-6.75,2.25,-9.43,2.21,0.76,0.64,0.44,-0.27,0.57,402302,1122,T
29,-0.04,-0.04,0.05,7.81,-6.75,2.25,-9.43,2.21,0.76,0.64,0.44,-0.27,0.57,402341,1161,T
30,-0.04,-0.04,0.05,7.81,-6.75,2.25,-9.58,2.21,0.76,0.64,0.44,-0.27,0.57,402380,1200,T
31,-0.04,-0.04,0.05,7.81,-6.75,2.25,-9.69,1.94,0.5,0.64,0.44,-0.27,0.57,402418,1238,T
32,0.05,-0.38,0.5,7.81,-6.75,2.25,-9.69,1.94,0.5,0.64,0.44,-0.27,0.57,402456,1276,T
33,-0.09,-0.62,1.47,7.81,-6.75,2.25,-9.69,1.94,0.5,0.64,0.44,-0.27,0.57,402495,1315,T
34,-0.09,-0.62,1.47,7.81,-6.75,2.25,-10.65,2.59,1.64,0.64,0.44,-0.27,0.57,402534,1354,T
35,-0.09,-0.62,1.47,7.81,-6.75,2.25,-10.77,4.09,-0.23,0.64,0.44,-0.27,0.57,402573,1393,T
36,-0.09,-0.62,1.47,7.81,-6.75,2.25,-13.37,2.59,-0.46,0.64,0.44,-0.27,0.57,402612,1432,T
37,-0.51,-0.7,-0.23,7.81,-6.75,2.25,-13.37,2.59,-0.46,0.64,0.44,-0.27,0.57,402651,1471,T
