,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
0,0,0.01,-0.02,8.44,-6.56,-2,-8.58,4.54,1.45,0.12,0.65,0.14,0.74,13272,0,T
1,0,0.01,-0.02,8.44,-6.56,-2,-8.54,4.58,1.41,0.12,0.65,0.14,0.74,13312,40,T
2,-0.03,0.02,-0.04,8.44,-6.56,-2,-8.54,4.58,1.41,0.12,0.65,0.14,0.74,13349,77,T
3,-0.03,0.02,-0.04,8.44,-6.56,-2,-8.46,4.51,1.38,0.12,0.65,0.14,0.74,13387,115,T
4,-0.03,0.02,-0.04,8,-8.5,-3.56,-8.46,4.51,1.38,0.12,0.65,0.14,0.74,13424,152,T
5,-0.03,0.02,-0.04,8,-8.5,-3.56,-8.5,4.54,1.53,0.12,0.65,0.14,0.74,13463,191,T
6,-0.03,0.02,-0.04,8,-8.5,-3.56,-8.46,4.51,1.3,0.12,0.65,0.14,0.74,13504,232,T
7,-0.03,0.02,-0.04,8,-8.5,-3.56,-8.58,4.43,1.49,0.12,0.65,0.14,0.74,13543,271,T
8,-0.03,0.02,-0.04,8,-8.5,-3.56,-8.46,4.47,1.34,0.12,0.65,0.14,0.74,13580,308,T
9,0.04,-0.03,0.01,8,-8.5,-3.56,-8.46,4.47,1.34,0.12,0.65,0.14,0.74,13618,346,T
10,0.04,-0.03,0.01,8,-8.5,-3.56,-8.5,4.39,1.72,0.12,0.65,0.14,0.74,13658,386,T
11,0.04,-0.03,0.01,8,-8.5,-3.56,-8.7,4.2,1.76,0.12,0.65,0.14,0.74,13696,424,T
12,0.04,-0.03,0.01,8,-8.5,-3.56,-8.77,4.31,1.53,0.12,0.65,0.14,0.74,13732,460,T
13,-0.01,0,-0.28,8,-8.5,-3.56,-8.77,4.31,1.53,0.12,0.65,0.14,0.74,13770,498,T
14,-0.01,0,-0.28,8,-8.5,-3.56,-8.66,4.09,1.41,0.12,0.65,0.14,0.74,13809,537,T
