,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
0,0,0,0,7.19,-2.19,8.94,-9.16,2.97,1.53,0.61,0.22,-0.6,0.47,624362,0,T
1,0,0,0,7.19,-2.19,8.94,-9.16,3.01,1.53,0.61,0.22,-0.6,0.47,624399,37,T
2,0,0,0,7.19,-2.19,8.94,-9.16,3.01,1.53,0.61,0.22,-0.6,0.47,624439,77,T
3,0,0,-0.01,7.19,-2.19,8.94,-9.16,3.01,1.53,0.61,0.22,-0.6,0.47,624478,116,T
4,0,0,-0.01,7.19,-2.19,8.94,-9.16,3.01,1.49,0.61,0.22,-0.6,0.47,624517,155,T
5,0,0,-0.01,7.19,-2.19,8.94,-9.16,3.01,1.49,0.61,0.22,-0.6,0.47,624556,194,T
6,0,0,-0.01,7.19,-2.19,8.94,-9.16,3.01,1.53,0.61,0.22,-0.6,0.47,624592,230,T
7,0.01,0,-0.01,7.19,-2.19,8.94,-9.16,3.01,1.53,0.61,0.22,-0.6,0.47,624631,269,T
8,0.01,0,-0.01,7.19,-2.19,8.94,-9.16,3.01,1.49,0.61,0.22,-0.6,0.47,624669,307,T
9,0.01,0,-0.01,7.19,-2.19,8.94,-9.16,2.97,1.53,0.61,0.22,-0.6,0.47,624709,347,T
10,0.01,0,-0.01,7.19,-2.19,8.94,-9.16,2.97,1.53,0.61,0.22,-0.6,0.47,624746,384,T
11,0.01,0.01,-0.01,7.19,-2.19,8.94,-9.16,2.97,1.53,0.61,0.22,-0.6,0.47,624785,423,T
12,0,0,0.01,7.19,-2.19,8.94,-9.16,2.97,1.53,0.61,0.22,-0.6,0.47,624823,461,T
13,0,0,0.01,7.19,-2.19,8.94,-9.16,3.01,1.53,0.61,0.22,-0.6,0.47,624862,500,T
14,0,0,0.01,7.19,-2.19,8.94,-9.16,3.01,1.49,0.61,0.22,-0.6,0.47,624899,537,T
15,-0.01,-0.01,0.01,7.19,-2.19,8.94,-9.16,3.01,1.49,0.61,0.22,-0.6,0.47,624939,577,T
16,0,0,0,7.19,-2.19,8.94,-9.16,3.01,1.49,0.61,0.22,-0.6,0.47,624977,615,T
17,0,0,0,7.19,-2.19,8.94,-9.08,2.97,1.49,0.61,0.22,-0.6,0.47,625017,655,T
18,0,0,0,7.19,-2.19,8.94,-9.04,2.97,1.64,0.61,0.22,-0.6,0.47,625058,696,T
19,0,0,0,7.19,-2.19,8.94,-9,3.01,1.68,0.61,0.22,-0.6,0.47,625096,734,T
20,-0.13,0.04,-0.01,7.19,-2.19,8.94,-9,3.01,1.68,0.61,0.22,-0.6,0.47,625136,774,T
21,-0.13,0.04,-0.01,7.19,-2.19,8.94,-9.16,3.01,1.38,0.61,0.22,-0.6,0.47,625175,813,T
