,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
0,0,0,0,8.31,-10,-3.25,-8.77,3.93,1.84,-0.55,0.32,0.77,0.01,129560,0,T
1,0,0,0,8.31,-10,-3.25,-8.77,3.93,1.8,-0.55,0.32,0.77,0.01,129598,38,T
2,0,0,0,8.31,-10,-3.25,-8.77,3.93,1.8,-0.55,0.32,0.77,0.01,129639,79,T
3,0,0,0,8.31,-10,-3.25,-8.77,3.93,1.8,-0.55,0.32,0.77,0.01,129679,119,T
4,0,0,0,8.31,-10,-3.25,-8.77,3.93,1.84,-0.55,0.32,0.77,0.01,129719,159,T
5,0,0,0,8.31,-10,-3.25,-8.73,3.89,1.84,-0.55,0.32,0.77,0.01,129760,200,T
6,0,0,0,8.31,-10,-3.25,-8.77,3.93,1.8,-0.55,0.32,0.77,0.01,129799,239,T
7,0,0,0,7.81,-9.25,-1.06,-8.77,3.93,1.8,-0.55,0.32,0.77,0.01,129840,280,T
8,0,0,0,7.81,-9.25,-1.06,-8.77,3.93,1.8,-0.55,0.32,0.77,0.01,129881,321,T
9,0,0,0,7.81,-9.25,-1.06,-8.77,3.89,1.8,-0.55,0.32,0.77,0.01,129920,360,T
10,0,0,0,7.81,-9.25,-1.06,-8.77,3.93,1.8,-0.55,0.32,0.77,0.01,129958,398,T
11,0,0,0,7.81,-9.25,-1.06,-8.77,3.93,1.8,-0.55,0.32,0.77,0.01,129996,436,T
12,0,0,0,7.81,-9.25,-1.06,-8.77,3.93,1.8,-0.55,0.32,0.77,0.01,130034,474,T
13,0,0,0,7.81,-9.25,-1.06,-8.77,3.93,1.84,-0.55,0.32,0.77,0.01,130072,512,T
14,0,0,0,7.81,-9.25,-1.06,-8.77,3.93,1.84,-0.55,0.32,0.77,0.01,130111,551,T
15,0,0,0,7.81,-9.25,-1.06,-8.77,3.93,1.84,-0.55,0.32,0.77,0.01,130149,589,T
16,0,0,0,7.81,-9.25,-1.06,-8.77,3.93,1.84,-0.55,0.32,0.77,0.01,130188,628,T
17,0,0,0,7.81,-9.25,-1.06,-8.77,3.93,1.8,-0.55,0.32,0.77,0.01,130229,669,T
18,0.01,0,-0.01,7.81,-9.25,-1.06,-8.77,3.93,1.8,-0.55,0.32,0.77,0.01,130268,708,T
19,0.01,0,-0.01,7.81,-9.25,-1.06,-8.73,3.93,1.8,-0.55,0.32,0.77,0.01,130308,748,T
20,0.01,0,-0.01,7.81,-9.25,-1.06,-8.73,3.93,1.84,-0.55,0.32,0.77,0.01,130344,784,T
21,-0.05,0.03,-0.03,7.81,-9.25,-1.06,-8.73,3.93,1.84,-0.55,0.32,0.77,0.01,130383,823,T
22,-0.03,0.07,-0.03,7.81,-9.25,-1.06,-8.73,3.93,1.84,-0.55,0.32,0.77,0.01,130422,862,T
23,-0.03,0.07,-0.03,7.81,-9.25,-1.06,-8.81,3.93,1.72,-0.55,0.32,0.77,0.01,130461,901,T
24,-0.03,0.07,-0.03,7.81,-9.25,-1.06,-8.77,3.86,1.84,-0.55,0.32,0.77,0.01,130499,939,T
25,-0.04,-0.01,-0.02,7.81,-9.25,-1.06,-8.77,3.86,1.84,-0.55,0.32,0.77,0.01,130539,979,T
26,-0.04,-0.01,-0.02,7.81,-9.25,-1.06,-8.85,3.86,1.76,-0.55,0.32,0.77,0.01,130580,1020,T
27,-0.01,-0.03,0.01,7.81,-9.25,-1.06,-8.85,3.86,1.76,-0.55,0.32,0.77,0.01,130620,1060,T
28,-0.01,-0.03,0.01,7.81,-9.25,-1.06,-8.85,3.89,1.8,-0.55,0.32,0.77,0.01,130660,1100,T
29,-0.01,-0.03,0.01,7.81,-9.25,-1.06,-8.85,3.86,1.76,-0.55,0.32,0.77,0.01,130699,1139,T
30,0.01,-0.05,0,7.81,-9.25,-1.06,-8.85,3.86,1.76,-0.55,0.32,0.77,0.01,130739,1179,T
31,0.03,-0.13,0.11,7.81,-9.25,-1.06,-8.85,3.86,1.76,-0.55,0.32,0.77,0.01,130778,1218,T
32,0.03,-0.13,0.11,7.81,-9.25,-1.06,-8.89,3.89,1.84,-0.55,0.32,0.77,0.01,130818,1258,T
33,0.03,-0.13,0.11,7.81,-9.25,-1.06,-9.35,4.01,1.76,-0.55,0.32,0.77,0.01,130857,1297,T
34,0.03,-0.13,0.11,7.81,-9.25,-1.06,-9.84,4.66,2.14,-0.55,0.32,0.77,0.01,130895,1335,T
35,0.93,-0.21,2.21,7.81,-9.25,-1.06,-9.84,4.66,2.14,-0.55,0.32,0.77,0.01,130933,1373,T
36,0.93,-0.21,2.21,7.81,-9.25,-1.06,-10.96,5.39,2.22,-0.55,0.32,0.77,0.01,130972,1412,T
37,0.93,-0.21,2.21,7.81,-9.25,-1.06,-11.19,1.1,-0.08,-0.55,0.32,0.77,0.01,131012,1452,T
38,0.93,-0.21,2.21,7.81,-9.25,-1.06,-6.86,1.79,0.15,-0.55,0.32,0.77,0.01,131051,1491,T
39,0.93,-0.21,2.21,4.19,-15.5,-3.44,-6.86,1.79,0.15,-0.55,0.32,0.77,0.01,131089,1529,T
40,1.18,-0.24,-1.39,4.19,-15.5,-3.44,-6.86,1.79,0.15,-0.55,0.32,0.77,0.01,131128,1568,T
41,1.18,-0.24,-1.39,4.19,-15.5,-3.44,-8.08,3.74,1.57,-0.55,0.32,0.77,0.01,131168,1608,T
42,1.18,-0.24,-1.39,4.19,-15.5,-3.44,-7.55,5.7,2.11,-0.55,0.32,0.77,0.01,131209,1649,T
43,1.18,-0.24,-1.39,4.19,-15.5,-3.44,-7.24,6.04,2.11,-0.55,0.32,0.77,0.01,131247,1687,T
44,0.22,0.45,-1.68,4.19,-15.5,-3.44,-7.24,6.04,2.11,-0.55,0.32,0.77,0.01,131288,1728,T
45,0.22,0.45,-1.68,4.19,-15.5,-3.44,-7.78,7.88,1.49,-0.55,0.32,0.77,0.01,131329,1769,T
46,-0.17,-0.03,-1.08,4.19,-15.5,-3.44,-7.78,7.88,1.49,-0.55,0.32,0.77,0.01,131368,1808,T
47,-0.17,-0.03,-1.08,4.19,-15.5,-3.44,-6.44,8.95,0.95,-0.55,0.32,0.77,0.01,131409,1849,T
48,-0.17,-0.03,-1.08,4.19,-15.5,-3.44,-7.63,7.57,2.3,-0.55,0.32,0.77,0.01,131448,1888,T
49,0.04,0.3,1.31,4.19,-15.5,-3.44,-7.63,7.57,2.3,-0.55,0.32,0.77,0.01,131489,1929,T
50,-0.87,-0.39,0.48,4.19,-15.5,-3.44,-7.63,7.57,2.3,-0.55,0.32,0.77,0.01,131528,1968,T
51,-0.87,-0.39,0.48,4.19,-15.5,-3.44,-8.39,3.93,-0.66,-0.55,0.32,0.77,0.01,131569,2009,T
52,-0.87,-0.39,0.48,4.19,-15.5,-3.44,-9.27,3.93,2.56,-0.55,0.32,0.77,0.01,131611,2051,T
53,-0.87,-0.39,0.48,4.19,-15.5,-3.44,-8.62,3.7,1.64,-0.55,0.32,0.77,0.01,131649,2089,T
54,0,0.02,-0.18,4.19,-15.5,-3.44,-8.62,3.7,1.64,-0.55,0.32,0.77,0.01,131690,2130,T
55,0,0.02,-0.18,4.19,-15.5,-3.44,-8.85,3.55,1.72,-0.55,0.32,0.77,0.01,131729,2169,T
56,0,0.02,-0.18,4.19,-15.5,-3.44,-8.89,3.47,1.8,-0.55,0.32,0.77,0.01,131770,2210,T
57,0,0.02,-0.18,4.19,-15.5,-3.44,-8.93,3.47,1.57,-0.55,0.32,0.77,0.01,131810,2250,T
58,0,0.02,-0.18,4.19,-15.5,-3.44,-8.89,3.47,1.64,-0.55,0.32,0.77,0.01,131848,2288,T
59,0.09,-0.11,0.22,4.19,-15.5,-3.44,-8.89,3.47,1.64,-0.55,0.32,0.77,0.01,131889,2329,T
60,0.05,-0.05,0.17,4.19,-15.5,-3.44,-8.89,3.47,1.64,-0.55,0.32,0.77,0.01,131929,2369,T
61,0.05,-0.05,0.17,4.19,-15.5,-3.44,-8.89,3.63,1.91,-0.55,0.32,0.77,0.01,131969,2409,T
62,0.05,-0.05,0.17,4.19,-15.5,-3.44,-8.81,3.7,1.84,-0.55,0.32,0.77,0.01,132008,2448,T
63,0.05,-0.05,0.17,4.19,-15.5,-3.44,-8.81,3.7,1.88,-0.55,0.32,0.77,0.01,132046,2486,T
64,0.04,-0.05,0.16,4.19,-15.5,-3.44,-8.81,3.7,1.88,-0.55,0.32,0.77,0.01,132086,2526,T
65,0.04,-0.07,0.19,4.19,-15.5,-3.44,-8.81,3.7,1.88,-0.55,0.32,0.77,0.01,132126,2566,T
66,0.04,-0.07,0.19,4.19,-15.5,-3.44,-8.7,4.01,1.72,-0.55,0.32,0.77,0.01,132166,2606,T
67,0.04,-0.07,0.19,4.19,-15.5,-3.44,-8.77,3.97,2.11,-0.55,0.32,0.77,0.01,132207,2647,T
68,0.04,-0.07,0.19,4.19,-15.5,-3.44,-8.73,4.2,1.91,-0.55,0.32,0.77,0.01,132245,2685,T
69,-0.04,-0.04,0.24,4.19,-15.5,-3.44,-8.73,4.2,1.91,-0.55,0.32,0.77,0.01,132283,2723,T
70,-0.04,-0.04,0.24,4.19,-15.5,-3.44,-8.73,4.39,1.91,-0.55,0.32,0.77,0.01,132325,2765,T
71,0.09,-0.06,0.76,4.19,-15.5,-3.44,-8.73,4.39,1.91,-0.55,0.32,0.77,0.01,132364,2804,T
72,0.09,-0.06,0.76,4.19,-15.5,-3.44,-9.54,5.08,1.88,-0.55,0.32,0.77,0.01,132403,2843,T
73,0.09,-0.06,0.76,4.19,-15.5,-3.44,-9.92,5.31,2.33,-0.55,0.32,0.77,0.01,132441,2881,T
74,0.09,-0.06,0.76,4.19,-15.5,-3.44,-11.8,6.27,2.11,-0.55,0.32,0.77,0.01,132481,2921,T
75,0.09,-0.06,0.76,4.19,-15.5,-3.44,-12.3,9.33,0.69,-0.55,0.32,0.77,0.01,132520,2960,T
