,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label
0,0.02,-0.17,0,54.69,-53.19,16.69,-0.46,10.07,0.7,0.66,0.17,0.14,0.72,185207,0,T
1,0.02,-0.17,0,54.69,-53.19,16.69,-0.38,10,0.73,0.66,0.17,0.14,0.72,185245,38,T
2,-0.01,-0.06,0,54.69,-53.19,16.69,-0.38,10,0.73,0.66,0.17,0.14,0.72,185287,80,T
3,-0.01,-0.04,-0.01,54.69,-53.19,16.69,-0.38,10,0.73,0.66,0.17,0.14,0.72,185328,121,T
4,-0.01,-0.04,-0.01,54.69,-53.19,16.69,-0.34,9.96,0.7,0.66,0.17,0.14,0.72,185369,162,T
5,-0.01,-0.04,-0.01,54.69,-53.19,16.69,-0.38,9.92,0.66,0.66,0.17,0.14,0.72,185410,203,T
6,-0.01,-0.04,-0.01,54.69,-53.19,16.69,-0.42,10,0.62,0.66,0.17,0.14,0.72,185450,243,T
7,-0.01,-0.04,-0.01,55.38,-52.44,16.31,-0.42,10,0.62,0.66,0.17,0.14,0.72,185490,283,T
8,-0.02,0.01,0.04,55.38,-52.44,16.31,-0.42,10,0.62,0.66,0.17,0.14,0.72,185531,324,T
9,-0.02,0.01,0.04,55.38,-52.44,16.31,-0.54,9.92,0.62,0.66,0.17,0.14,0.72,185571,364,T
10,-0.02,0.01,0.04,55.38,-52.44,16.31,-0.54,9.96,0.62,0.66,0.17,0.14,0.72,185610,403,T
11,-0.02,0.01,0.04,55.38,-52.44,16.31,-0.5,10,0.62,0.66,0.17,0.14,0.72,185648,441,T
12,0,0.04,0,55.38,-52.44,16.31,-0.5,10,0.62,0.66,0.17,0.14,0.72,185689,482,T
13,0,0.04,0,55.38,-52.44,16.31,-0.34,9.96,0.58,0.66,0.17,0.14,0.72,185729,522,T
14,0.03,0.06,-0.02,55.38,-52.44,16.31,-0.34,9.96,0.58,0.66,0.17,0.14,0.72,185767,560,T
15,0.03,0.06,-0.02,55.38,-52.44,16.31,-0.38,9.96,0.81,0.66,0.17,0.14,0.72,185807,600,T
16,0.03,0.06,-0.02,55.38,-52.44,16.31,-0.5,10,0.73,0.66,0.17,0.14,0.72,185846,639,T
17,0,0.01,0.03,55.38,-52.44,16.31,-0.5,10,0.73,0.66,0.17,0.14,0.72,185886,679,T
18,-0.01,0.08,0.01,55.38,-52.44,16.31,-0.5,10,0.73,0.66,0.17,0.14,0.72,185927,720,T
19,-0.01,0.08,0.01,55.38,-52.44,16.31,-0.61,10,0.66,0.66,0.17,0.14,0.72,185967,760,T
