,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label,,0,
0,0.01,-0.06,-0.05,59.5,-51.5,15.81,0.01,9.93,0.79,0.3,0.59,0.59,0.46,1085177,0,T,5590,5590,W
1,0.02,-0.04,-0.07,59.5,-51.5,15.81,0.01,9.93,0.79,0.3,0.59,0.59,0.46,1085217,40,T,3150,8740,T
2,0.02,-0.04,-0.07,59.5,-51.5,15.81,0.16,10,0.87,0.3,0.59,0.59,0.46,1085257,80,T,5810,14550,W
3,0.02,-0.04,-0.07,59.5,-51.5,15.81,0.16,9.93,0.91,0.3,0.59,0.59,0.46,1085296,119,T,3020,17570,T
4,0,0.01,-0.03,59.5,-51.5,15.81,0.16,9.93,0.91,0.3,0.59,0.59,0.46,1085336,159,T,6720,24290,W
5,0,0.04,-0.02,59.5,-51.5,15.81,0.16,9.93,0.91,0.3,0.59,0.59,0.46,1085376,199,T,3000,27290,T
6,0,0.04,-0.02,59.5,-51.5,15.81,0.09,9.89,0.98,0.3,0.59,0.59,0.46,1085416,239,T,6680,33970,W
7,0,0.04,-0.02,59.5,-51.5,15.81,0.01,9.89,0.95,0.3,0.59,0.59,0.46,1085457,280,T,2450,36420,T
8,0,0.04,-0.02,59.5,-51.5,15.81,0.01,9.89,0.91,0.3,0.59,0.59,0.46,1085495,318,T,6230,42650,W
9,-0.01,0.06,0.02,59.5,-51.5,15.81,0.01,9.89,0.91,0.3,0.59,0.59,0.46,1085536,359,T,4010,46660,T
10,-0.01,0.06,0.02,59.5,-51.5,15.81,-0.07,9.85,0.83,0.3,0.59,0.59,0.46,1085576,399,T,6140,52800,W
11,-0.01,0.06,0.02,59.5,-51.5,15.81,-0.07,9.89,0.79,0.3,0.59,0.59,0.46,1085617,440,T,,,W
12,-0.01,0.06,0.02,59.5,-51.5,15.81,-0.07,9.89,0.79,0.3,0.59,0.59,0.46,1085657,480,T,,,
13,-0.01,0.06,0.02,59.5,-51.5,15.81,-0.11,9.89,0.79,0.3,0.59,0.59,0.46,1085696,519,T,,,
14,0.03,0.01,0.01,59.5,-51.5,15.81,-0.11,9.89,0.79,0.3,0.59,0.59,0.46,1085736,559,T,,,
15,0.04,-0.03,0,59.5,-51.5,15.81,-0.11,9.89,0.79,0.3,0.59,0.59,0.46,1085775,598,T,,,
16,0.04,-0.03,0,59.5,-51.5,15.81,-0.03,9.96,0.95,0.3,0.59,0.59,0.46,1085815,638,T,,,
17,0.04,-0.03,0,59.5,-51.5,15.81,0.01,9.85,0.95,0.3,0.59,0.59,0.46,1085856,679,T,,,
18,0.04,-0.03,0,59.5,-51.5,15.81,0.05,9.96,0.91,0.3,0.59,0.59,0.46,1085894,717,T,,,
19,0.01,-0.02,-0.01,59.5,-51.5,15.81,0.05,9.96,0.91,0.3,0.59,0.59,0.46,1085934,757,T,,,
20,0,-0.04,0.01,59.5,-51.5,15.81,0.05,9.96,0.91,0.3,0.59,0.59,0.46,1085974,797,T,,,
21,0,-0.04,0.01,59.5,-51.5,15.81,0.13,9.89,0.83,0.3,0.59,0.59,0.46,1086015,838,T,,,
22,0,-0.04,0.01,59.5,-51.5,15.81,0.09,9.96,0.79,0.3,0.59,0.59,0.46,1086055,878,T,,,
23,0,-0.04,0.01,59.5,-51.5,15.81,0.09,9.93,0.79,0.3,0.59,0.59,0.46,1086093,916,T,,,
24,0,-0.04,-0.02,59.5,-51.5,15.81,0.09,9.93,0.79,0.3,0.59,0.59,0.46,1086133,956,T,,,
25,0,-0.04,-0.02,59.5,-51.5,15.81,0.09,9.85,0.71,0.3,0.59,0.59,0.46,1086175,998,T,,,
26,0.02,-0.08,-0.05,59.5,-51.5,15.81,0.09,9.85,0.71,0.3,0.59,0.59,0.46,1086216,1039,W,,,
27,0.02,-0.08,-0.05,59.5,-51.5,15.81,-0.11,10.23,0.52,0.3,0.59,0.59,0.46,1086255,1078,W,,,
28,0.02,-0.08,-0.05,59.5,-51.5,15.81,-0.18,10.35,0.64,0.3,0.59,0.59,0.46,1086295,1118,W,,,
29,0.02,-0.06,-0.2,59.5,-51.5,15.81,-0.18,10.35,0.64,0.3,0.59,0.59,0.46,1086337,1160,W,,,
30,-0.04,-0.13,-0.23,59.5,-51.5,15.81,-0.18,10.35,0.64,0.3,0.59,0.59,0.46,1086377,1200,W,,,
31,-0.04,-0.13,-0.23,59.5,-51.5,15.81,-0.64,9.96,0.68,0.3,0.59,0.59,0.46,1086418,1241,W,,,
32,-0.04,-0.13,-0.23,59.5,-51.5,15.81,-0.83,9.77,0.45,0.3,0.59,0.59,0.46,1086459,1282,W,,,
33,-0.04,-0.13,-0.23,59.5,-51.5,15.81,-0.87,9.81,0.45,0.3,0.59,0.59,0.46,1086500,1323,W,,,
34,-0.04,-0.13,-0.23,59.5,-51.5,15.81,-1.02,9.66,0.33,0.3,0.59,0.59,0.46,1086540,1363,W,,,
35,-0.04,-0.13,-0.23,59.5,-51.5,15.81,-0.91,9.46,0.37,0.3,0.59,0.59,0.46,1086582,1405,W,,,
36,0.22,-0.56,-0.38,59.5,-51.5,15.81,-0.91,9.46,0.37,0.3,0.59,0.59,0.46,1086624,1447,W,,,
37,0.22,-0.56,-0.38,59.5,-51.5,15.81,-0.07,10.16,1.67,0.3,0.59,0.59,0.46,1086664,1487,W,,,
38,0.22,-0.56,-0.38,59.5,-51.5,15.81,0.51,10.08,2.59,0.3,0.59,0.59,0.46,1086705,1528,W,,,
39,0.22,-0.56,-0.38,59.5,-51.5,15.81,0.93,9.89,3.02,0.3,0.59,0.59,0.46,1086745,1568,W,,,
40,0.1,-0.33,-0.08,59.5,-51.5,15.81,0.93,9.89,3.02,0.3,0.59,0.59,0.46,1086785,1608,W,,,
