,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label,,0,
0,-0.09,0.08,-0.05,54.69,-46.69,18.63,4.87,8.6,-1.14,0.55,0.42,0.32,0.65,287731,0,W,7700,7700,W
1,-0.05,-0.21,-0.1,54.69,-46.69,18.63,4.87,8.6,-1.14,0.55,0.42,0.32,0.65,287772,41,W,3270,10970,T
2,0.03,0.02,-0.13,54.69,-46.69,18.63,4.87,8.6,-1.14,0.55,0.42,0.32,0.65,287812,81,W,8320,19290,W
3,0.03,0.02,-0.13,54.69,-46.69,18.63,4.6,8.56,-1.11,0.55,0.42,0.32,0.65,287853,122,W,5360,24650,T
4,0.03,0.02,-0.13,54.69,-46.69,18.63,5.02,9.02,-0.88,0.55,0.42,0.32,0.65,287892,161,W,7920,32570,W
5,0.03,0.02,-0.13,54.69,-46.69,18.63,4.6,9.13,-0.76,0.55,0.42,0.32,0.65,287930,199,W,4310,36880,T
6,-0.14,0.1,-0.05,54.69,-46.69,18.63,4.6,9.13,-0.76,0.55,0.42,0.32,0.65,287970,239,W,7250,44130,W
7,-0.14,0.1,-0.05,54.69,-46.69,18.63,4.52,9.44,-0.64,0.55,0.42,0.32,0.65,288011,280,W,,,
8,-0.25,-0.12,0.1,54.69,-46.69,18.63,4.52,9.44,-0.64,0.55,0.42,0.32,0.65,288052,321,W,,,
9,-0.25,-0.12,0.1,54.69,-46.69,18.63,4.6,8.71,-0.26,0.55,0.42,0.32,0.65,288092,361,W,,,
10,-0.25,-0.12,0.1,54.69,-46.69,18.63,4.71,8.56,-0.91,0.55,0.42,0.32,0.65,288131,400,W,,,
11,-0.06,0.09,0,54.69,-46.69,18.63,4.71,8.56,-0.91,0.55,0.42,0.32,0.65,288172,441,W,,,
12,-0.03,0.08,0.03,54.69,-46.69,18.63,4.71,8.56,-0.91,0.55,0.42,0.32,0.65,288210,479,W,,,
13,-0.03,0.08,0.03,54.69,-46.69,18.63,4.48,8.86,-0.3,0.55,0.42,0.32,0.65,288250,519,W,,,
14,-0.03,0.08,0.03,54.69,-46.69,18.63,4.41,8.9,0.12,0.55,0.42,0.32,0.65,288291,560,W,,,
15,-0.03,0.08,0.03,54.69,-46.69,18.63,4.1,8.75,-0.22,0.55,0.42,0.32,0.65,288329,598,W,,,
16,-0.2,0.01,-0.17,54.69,-46.69,18.63,4.1,8.75,-0.22,0.55,0.42,0.32,0.65,288369,638,W,,,
17,-0.2,0.01,-0.17,54.69,-46.69,18.63,5.06,8.9,-0.26,0.55,0.42,0.32,0.65,288409,678,W,,,
18,-0.2,0.01,-0.17,54.69,-46.69,18.63,4.98,9.17,-0.76,0.55,0.42,0.32,0.65,288451,720,W,,,
19,-0.2,0.01,-0.17,54.69,-46.69,18.63,4.87,9.25,-0.38,0.55,0.42,0.32,0.65,288491,760,W,,,
20,-0.2,0.01,-0.17,54.69,-46.69,18.63,4.56,9.02,-0.26,0.55,0.42,0.32,0.65,288530,799,W,,,
21,0,-0.17,-0.01,54.69,-46.69,18.63,4.56,9.02,-0.26,0.55,0.42,0.32,0.65,288571,840,W,,,
22,0,-0.09,0.01,54.69,-46.69,18.63,4.56,9.02,-0.26,0.55,0.42,0.32,0.65,288612,881,W,,,
23,0,-0.09,0.01,54.69,-46.69,18.63,4.68,8.83,-0.03,0.55,0.42,0.32,0.65,288652,921,W,,,
24,0,-0.09,0.01,54.69,-46.69,18.63,4.6,8.9,-0.22,0.55,0.42,0.32,0.65,288692,961,W,,,
25,0,-0.09,0.01,54.69,-46.69,18.63,4.71,8.94,-0.3,0.55,0.42,0.32,0.65,288731,1000,W,,,
26,-0.03,-0.1,0,54.69,-46.69,18.63,4.71,8.94,-0.3,0.55,0.42,0.32,0.65,288771,1040,W,,,
27,-0.07,-0.14,-0.01,54.69,-46.69,18.63,4.71,8.94,-0.3,0.55,0.42,0.32,0.65,288811,1080,W,,,
28,-0.07,-0.14,-0.01,54.69,-46.69,18.63,4.6,9.02,-0.07,0.55,0.42,0.32,0.65,288852,1121,W,,,
29,-0.07,-0.14,-0.01,54.69,-46.69,18.63,4.64,9.25,-0.3,0.55,0.42,0.32,0.65,288893,1162,W,,,
30,-0.07,-0.14,-0.01,54.69,-46.69,18.63,5.13,9.09,-0.64,0.55,0.42,0.32,0.65,288931,1200,W,,,
31,0.08,-0.01,-0.04,54.69,-46.69,18.63,5.13,9.09,-0.64,0.55,0.42,0.32,0.65,288972,1241,W,,,
32,0.08,-0.01,-0.04,54.69,-46.69,18.63,4.94,8.98,-0.03,0.55,0.42,0.32,0.65,289013,1282,W,,,
33,-0.06,0.25,0.04,54.69,-46.69,18.63,4.94,8.98,-0.03,0.55,0.42,0.32,0.65,289053,1322,W,,,
34,-0.06,0.25,0.04,54.69,-46.69,18.63,4.56,7.75,-0.38,0.55,0.42,0.32,0.65,289092,1361,W,,,
35,-0.06,0.25,0.04,54.69,-46.69,18.63,5.1,8.37,-1.11,0.55,0.42,0.32,0.65,289130,1399,W,,,
36,-0.19,-0.48,-0.06,54.69,-46.69,18.63,5.1,8.37,-1.11,0.55,0.42,0.32,0.65,289170,1439,W,,,
37,-0.27,-0.47,0.14,54.69,-46.69,18.63,5.1,8.37,-1.11,0.55,0.42,0.32,0.65,289211,1480,W,,,
38,-0.27,-0.47,0.14,54.69,-46.69,18.63,4.75,8.1,0.31,0.55,0.42,0.32,0.65,289252,1521,W,,,
39,-0.27,-0.47,0.14,54.69,-46.69,18.63,3.45,7.87,1.16,0.55,0.42,0.32,0.65,289293,1562,W,,,
40,-0.27,-0.47,0.14,54.69,-46.69,18.63,2.8,8.6,2.96,0.55,0.42,0.32,0.65,289331,1600,W,,,
41,-0.53,-0.05,0.06,54.69,-46.69,18.63,2.8,8.6,2.96,0.55,0.42,0.32,0.65,289371,1640,W,,,
42,-0.53,-0.05,0.06,54.69,-46.69,18.63,2.99,10.47,-0.22,0.55,0.42,0.32,0.65,289411,1680,W,,,
43,-0.53,-0.05,0.06,54.69,-46.69,18.63,3.79,10.7,-1.41,0.55,0.42,0.32,0.65,289453,1722,W,,,
44,-0.53,-0.05,0.06,54.69,-46.69,18.63,4.87,10.09,0.2,0.55,0.42,0.32,0.65,289492,1761,W,,,
45,-0.53,-0.05,0.06,54.69,-46.69,18.63,4.56,9.44,1,0.55,0.42,0.32,0.65,289531,1800,W,,,
46,-0.3,-0.62,0.14,54.69,-46.69,18.63,4.56,9.44,1,0.55,0.42,0.32,0.65,289572,1841,W,,,
