,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label,,0,
0,0,0.01,-0.02,44.06,-50.69,23.94,5.96,7.93,0.04,0.59,-0.35,-0.44,0.57,602012,0,W,7310,7310,W
1,0.03,-0.01,-0.01,44.06,-50.69,23.94,5.96,7.93,0.04,0.59,-0.35,-0.44,0.57,602052,40,W,3220,10530,T
2,0.03,-0.01,-0.01,44.06,-50.69,23.94,5.96,8,-0.04,0.59,-0.35,-0.44,0.57,602093,81,W,7500,18030,W
3,0.03,-0.01,-0.01,44.06,-50.69,23.94,5.96,7.96,0,0.59,-0.35,-0.44,0.57,602135,123,W,3220,21250,T
4,0.03,-0.01,-0.01,44.06,-50.69,23.94,5.92,8,0,0.59,-0.35,-0.44,0.57,602176,164,W,7110,28360,W
5,0.03,-0.01,-0.01,44.06,-50.69,23.94,5.92,8.04,-0.04,0.59,-0.35,-0.44,0.57,602215,203,W,,,W
6,0.01,0.02,0,44.06,-50.69,23.94,5.92,8.04,-0.04,0.59,-0.35,-0.44,0.57,602256,244,W,,,
7,0.01,0,0,44.06,-50.69,23.94,5.92,8.04,-0.04,0.59,-0.35,-0.44,0.57,602296,284,W,,,
8,0.01,0,0,44.06,-50.69,23.94,5.96,8,0,0.59,-0.35,-0.44,0.57,602336,324,W,,,
9,0.01,0,0,44.06,-50.69,23.94,5.92,7.96,0,0.59,-0.35,-0.44,0.57,602377,365,W,,,
10,0.01,0,0,44.06,-50.69,23.94,5.92,7.96,0,0.59,-0.35,-0.44,0.57,602415,403,W,,,
11,0.01,0,0,44.06,-50.69,23.94,5.92,7.96,0,-0.18,-0.68,-0.66,0.26,602455,443,W,,,
12,0,0.02,-0.01,44.06,-50.69,23.94,5.92,7.96,0,-0.18,-0.68,-0.66,0.26,602494,482,W,,,
13,0,0.02,-0.01,44.06,-50.69,23.94,5.92,8,0,-0.18,-0.68,-0.66,0.26,602535,523,W,,,
14,0,0.02,-0.01,44.06,-50.69,23.94,6.03,7.96,-0.04,-0.18,-0.68,-0.66,0.26,602575,563,W,,,
15,0,0.02,-0.01,44.06,-50.69,23.94,6,8,0,-0.18,-0.68,-0.66,0.26,602615,603,W,,,
16,0.02,0.02,-0.02,44.06,-50.69,23.94,6,8,0,-0.18,-0.68,-0.66,0.26,602655,643,W,,,
17,0.01,0,-0.01,44.06,-50.69,23.94,6,7.93,0.04,-0.18,-0.68,-0.66,0.26,602736,724,W,,,
18,0.01,0,-0.01,44.06,-50.69,23.94,6.03,7.96,0,-0.18,-0.68,-0.66,0.26,602776,764,W,,,
19,0.01,0,-0.01,44.06,-50.69,23.94,6.07,7.89,0,-0.18,-0.68,-0.66,0.26,602816,804,W,,,
20,0.01,0,-0.01,43.69,-49.94,23.56,6.07,7.89,0,-0.18,-0.68,-0.66,0.26,602855,843,W,,,
21,0.04,0,0,43.69,-49.94,23.56,6.07,7.89,0,-0.18,-0.68,-0.66,0.26,602895,883,W,,,
22,0.04,0,0,43.69,-49.94,23.56,6.19,7.93,-0.16,-0.18,-0.68,-0.66,0.26,602936,924,W,,,
23,0.04,0,0,43.69,-49.94,23.56,6.19,7.93,-0.16,-0.18,-0.68,-0.66,0.26,602978,966,W,,,
24,0.04,0,0,43.69,-49.94,23.56,6.11,7.77,-0.12,-0.18,-0.68,-0.66,0.26,603020,1008,W,,,
25,0.04,0,0,43.69,-49.94,23.56,6.15,7.77,-0.12,-0.18,-0.68,-0.66,0.26,603060,1048,W,,,
26,0.04,0,0,43.69,-49.94,23.56,6.26,7.81,-0.16,-0.18,-0.68,-0.66,0.26,603103,1091,W,,,
27,0.09,-0.04,-0.08,43.69,-49.94,23.56,6.26,7.81,-0.16,-0.18,-0.68,-0.66,0.26,603145,1133,W,,,
28,0.09,-0.04,-0.08,43.69,-49.94,23.56,6.03,8.12,0.04,-0.18,-0.68,-0.66,0.26,603186,1174,W,,,
29,0.09,-0.04,-0.08,43.69,-49.94,23.56,6.07,7.89,-0.04,-0.18,-0.68,-0.66,0.26,603227,1215,W,,,
30,0.09,-0.04,-0.08,43.69,-49.94,23.56,6.38,7.58,-0.5,-0.18,-0.68,-0.66,0.26,603269,1257,W,,,
31,0.09,-0.04,-0.08,45.19,-51.5,23.13,6.38,7.58,-0.5,-0.18,-0.68,-0.66,0.26,603310,1298,W,,,
32,0.09,-0.04,-0.08,45.19,-51.5,23.13,6.49,7.54,-0.08,-0.18,-0.68,-0.66,0.26,603353,1341,W,,,
33,-0.12,-0.26,-0.06,45.19,-51.5,23.13,6.49,7.54,-0.08,-0.18,-0.68,-0.66,0.26,603394,1382,W,,,
34,-0.12,-0.26,-0.06,45.19,-51.5,23.13,5.04,7.54,-1,-0.18,-0.68,-0.66,0.26,603436,1424,W,,,
35,-0.12,-0.26,-0.06,45.19,-51.5,23.13,5.27,8.08,-0.5,-0.18,-0.68,-0.66,0.26,603478,1466,W,,,
36,-0.12,-0.26,-0.06,45.19,-51.5,23.13,5.61,9.88,1.19,-0.18,-0.68,-0.66,0.26,603520,1508,W,,,
37,-0.12,-0.26,-0.06,45.19,-51.5,23.13,5.84,10.07,1.19,-0.18,-0.68,-0.66,0.26,603560,1548,W,,,
38,-0.12,-0.26,-0.06,45.19,-51.5,23.13,5.23,9.57,0.84,-0.18,-0.68,-0.66,0.26,603603,1591,W,,,
39,-0.14,-0.27,0.01,45.19,-51.5,23.13,5.23,9.57,0.84,-0.18,-0.68,-0.66,0.26,603644,1632,W,,,
40,-0.14,-0.27,0.01,45.19,-51.5,23.13,4.54,7.46,0.8,-0.18,-0.68,-0.66,0.26,603685,1673,W,,,
41,-0.14,-0.27,0.01,45.19,-51.5,23.13,4.5,7.7,0.65,-0.18,-0.68,-0.66,0.26,603726,1714,W,,,
42,-0.14,-0.27,0.01,45.19,-51.5,23.13,4.96,8.35,1.07,-0.18,-0.68,-0.66,0.26,603767,1755,W,,,
43,-0.14,-0.27,0.01,47,-53.13,22.38,4.96,8.35,1.07,-0.18,-0.68,-0.66,0.26,603807,1795,W,,,
44,-0.14,-0.27,0.01,47,-53.13,22.38,5.19,8.73,1.03,-0.18,-0.68,-0.66,0.26,603850,1838,W,,,
45,-0.15,-0.07,0.3,47,-53.13,22.38,5.19,8.73,1.03,-0.18,-0.68,-0.66,0.26,603891,1879,W,,,
46,-0.15,-0.07,0.3,47,-53.13,22.38,5.23,8.88,2.34,-0.18,-0.68,-0.66,0.26,603932,1920,W,,,
