,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label,,0,
0,0.02,0.01,-0.03,-72.13,-11.81,-54.25,-9.55,0.98,2.23,0.09,0.57,-0.05,0.81,1215605,0,T,5460,5460,W
1,0.02,0.01,-0.03,-72.13,-11.81,-54.25,-9.52,0.98,2.23,0.09,0.57,-0.05,0.81,1215645,40,T,1680,7140,T
2,0,-0.01,0.01,-72.13,-11.81,-54.25,-9.52,0.98,2.23,0.09,0.57,-0.05,0.81,1215686,81,T,5450,12590,W
3,0,-0.01,0.01,-72.13,-11.81,-54.25,-9.52,0.98,2.23,0.09,0.57,-0.05,0.81,1215729,124,T,4600,17190,T
4,0,-0.01,0.01,-72.13,-11.81,-54.25,-9.55,0.98,2.23,0.09,0.57,-0.05,0.81,1215772,167,T,6830,24020,W
5,0,-0.02,0.02,-72.13,-11.81,-54.25,-9.55,0.98,2.23,0.09,0.57,-0.05,0.81,1215813,208,T,3740,27760,T
6,0,-0.02,0.02,-72.13,-11.81,-54.25,-9.52,0.98,2.23,0.09,0.57,-0.05,0.81,1215855,250,T,6823,34583,W
7,0,-0.02,0.02,-72.13,-11.81,-54.25,-9.52,0.98,2.23,0.09,0.57,-0.05,0.81,1215895,290,T,4990,39573,T
8,0,-0.01,0.01,-72.13,-11.81,-54.25,-9.52,0.98,2.23,0.09,0.57,-0.05,0.81,1215939,334,T,4490,44063,W
9,0,-0.01,0.01,-72.13,-11.81,-54.25,-9.52,0.98,2.23,0.09,0.57,-0.05,0.81,1215981,376,T,3220,47283,T
10,0,-0.01,0.01,-72.13,-11.81,-54.25,-9.52,1.02,2.23,0.09,0.57,-0.05,0.81,1216023,418,T,6830,54113,W
11,0,-0.01,0.01,-72.13,-11.81,-54.25,-9.52,0.98,2.23,0.09,0.57,-0.05,0.81,1216065,460,T,,,W
12,0,-0.01,0.01,-72.13,-11.81,-54.25,-9.52,0.98,2.23,0.09,0.57,-0.05,0.81,1216106,501,T,,,
13,0,-0.01,0.01,-72.13,-11.81,-54.25,-9.52,0.98,2.23,0.09,0.57,-0.05,0.81,1216147,542,T,,,
14,0,-0.01,0.01,-70.63,-11.63,-56.75,-9.52,0.98,2.23,0.09,0.57,-0.05,0.81,1216189,584,T,,,
15,0.01,0,-0.01,-70.63,-11.63,-56.75,-9.52,0.98,2.23,0.09,0.57,-0.05,0.81,1216231,626,T,,,
16,0,0,-0.01,-70.63,-11.63,-56.75,-9.52,0.98,2.23,0.09,0.57,-0.05,0.81,1216273,668,T,,,
17,0,0,-0.01,-70.63,-11.63,-56.75,-9.55,0.98,2.23,0.09,0.57,-0.05,0.81,1216315,710,T,,,
18,0,0,0,-70.63,-11.63,-56.75,-9.55,0.98,2.23,0.09,0.57,-0.05,0.81,1216357,752,T,,,
19,0,0,0,-70.63,-11.63,-56.75,-9.52,0.98,2.23,0.09,0.57,-0.05,0.81,1216399,794,T,,,
20,0,0,0,-72.31,-11.38,-55,-9.52,0.98,2.23,0.09,0.57,-0.05,0.81,1216439,834,T,,,
21,0,0,0,-72.31,-11.38,-55,-9.55,0.98,2.23,0.09,0.57,-0.05,0.81,1216482,877,T,,,
22,0,0,-0.01,-72.31,-11.38,-55,-9.55,0.98,2.23,0.09,0.57,-0.05,0.81,1216524,919,T,,,
23,0,0,-0.01,-72.31,-11.38,-55,-9.55,0.94,2.23,0.09,0.57,-0.05,0.81,1216566,961,T,,,
24,0,0,-0.01,-72.31,-11.38,-55,-9.55,0.94,2.23,0.09,0.57,-0.05,0.81,1216607,1002,T,,,
25,0,0,-0.01,-72.31,-11.38,-55,-9.55,0.94,2.23,0.09,0.57,-0.05,0.81,1216649,1044,T,,,
26,0,0,-0.01,-72.31,-11.38,-55,-9.55,0.94,2.23,0.09,0.57,-0.05,0.81,1216689,1084,T,,,
27,0,0.01,-0.01,-72.31,-11.38,-55,-9.55,0.94,2.23,0.09,0.57,-0.05,0.81,1216733,1128,T,,,
28,0,0,-0.01,-72.31,-11.38,-55,-9.55,0.94,2.23,0.09,0.57,-0.05,0.81,1216774,1169,T,,,
29,0,0,0,-72.31,-11.38,-55,-9.55,0.94,2.23,0.09,0.57,-0.05,0.81,1216816,1211,T,,,
30,0,0,0,-72.31,-11.38,-55,-9.55,0.94,2.23,0.09,0.57,-0.05,0.81,1216858,1253,T,,,
31,0,0,0,-72.31,-11.38,-55,-9.55,0.94,2.23,0.09,0.57,-0.05,0.81,1216902,1297,T,,,
32,0,0,0,-72.31,-11.38,-55,-9.55,0.94,2.23,0.09,0.57,-0.05,0.81,1216943,1338,T,,,
33,0.01,0.01,-0.01,-72.31,-11.38,-55,-9.55,0.94,2.23,0.09,0.57,-0.05,0.81,1216985,1380,T,,,
34,0.01,0.01,-0.01,-72.31,-11.38,-55,-9.55,0.94,2.23,0.09,0.57,-0.05,0.81,1217027,1422,T,,,
35,0,0.01,-0.01,-72.31,-11.38,-55,-9.55,0.94,2.23,0.09,0.57,-0.05,0.81,1217069,1464,T,,,
36,0,0.01,-0.01,-72.31,-11.38,-55,-9.55,0.9,2.23,0.09,0.57,-0.05,0.81,1217111,1506,T,,,
37,0,0.01,-0.01,-72.31,-11.38,-55,-9.59,0.9,2.2,0.09,0.57,-0.05,0.81,1217154,1549,T,,,
38,0,0.01,-0.01,-72.31,-11.38,-55,-9.59,0.9,2.2,0.09,0.57,-0.05,0.81,1217193,1588,T,,,
39,0,0,0,-72.31,-11.38,-55,-9.59,0.9,2.2,0.09,0.57,-0.05,0.81,1217234,1629,T,,,
40,0,0,0,-72.31,-11.38,-55,-9.59,0.9,2.2,0.09,0.57,-0.05,0.81,1217275,1670,T,,,
41,0,0,0,-72.31,-11.38,-55,-9.59,0.9,2.2,0.09,0.57,-0.05,0.81,1217317,1712,T,,,
42,0,0,0,-72.31,-11.38,-55,-9.59,0.9,2.2,0.09,0.57,-0.05,0.81,1217359,1754,T,,,
43,0,0,0,-72.31,-11.38,-55,-9.59,0.9,2.2,0.09,0.57,-0.05,0.81,1217400,1795,T,,,
44,0,0,0,-72.31,-11.38,-55,-9.59,0.9,2.2,0.09,0.57,-0.05,0.81,1217440,1835,T,,,
45,0,0,0.01,-72.31,-11.38,-55,-9.59,0.9,2.2,0.09,0.57,-0.05,0.81,1217482,1877,T,,,
46,0,0,0.01,-72.31,-11.38,-55,-9.59,0.9,2.2,0.09,0.57,-0.05,0.81,1217523,1918,T,,,
47,0,0,0.01,-72.31,-11.38,-55,-9.55,0.94,2.2,0.09,0.57,-0.05,0.81,1217564,1959,T,,,
48,0,0,0.01,-72.31,-11.38,-55,-9.55,0.9,2.23,0.09,0.57,-0.05,0.81,1217607,2002,T,,,
49,0,0,0.01,-72.31,-11.38,-55,-9.55,0.9,2.23,0.09,0.57,-0.05,0.81,1217649,2044,T,,,
50,0,0,0.01,-72.31,-11.38,-55,-9.59,0.9,2.23,0.09,0.57,-0.05,0.81,1217689,2084,T,,,
51,0,0,0.01,-72.31,-11.38,-55,-9.59,0.94,2.23,0.09,0.57,-0.05,0.81,1217731,2126,T,,,
52,0,0,0,-72.31,-11.38,-55,-9.59,0.94,2.23,0.09,0.57,-0.05,0.81,1217773,2168,T,,,
53,0,0,0,-72.31,-11.38,-55,-9.55,0.9,2.23,0.09,0.57,-0.05,0.81,1217814,2209,T,,,
54,0,0,0,-72.31,-11.38,-55,-9.55,0.94,2.23,0.09,0.57,-0.05,0.81,1217856,2251,T,,,
55,0,0,0,-72.31,-11.38,-55,-9.59,0.9,2.23,0.09,0.57,-0.05,0.81,1217898,2293,T,,,
56,0,0,0,-72.31,-11.38,-55,-9.55,0.94,2.23,0.09,0.57,-0.05,0.81,1217939,2334,T,,,
