,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label
0,-0.02,0.04,-0.01,-53.44,-4.38,-58.31,-9.25,-0.02,3.57,-0.54,0.15,0.79,0.23,435283,0,T
1,0,0.02,-0.02,-53.44,-4.38,-58.31,-9.25,-0.02,3.57,-0.54,0.15,0.79,0.23,435324,41,T
2,0,0.02,-0.02,-53.44,-4.38,-58.31,-9.25,-0.02,3.54,-0.54,0.15,0.79,0.23,435366,83,T
3,0,0.02,-0.02,-53.44,-4.38,-58.31,-9.25,-0.06,3.54,-0.54,0.15,0.79,0.23,435408,125,T
4,0,0.02,-0.02,-53.44,-4.38,-58.31,-9.25,-0.02,3.54,-0.54,0.15,0.79,0.23,435450,167,T
5,0,0.02,-0.02,-53.44,-4.38,-58.31,-9.25,-0.02,3.57,-0.54,0.15,0.79,0.23,435491,208,T
6,0,-0.01,0.01,-53.44,-4.38,-58.31,-9.25,-0.02,3.57,-0.54,0.15,0.79,0.23,435533,250,T
7,0,-0.02,0.02,-53.44,-4.38,-58.31,-9.25,-0.02,3.57,-0.54,0.15,0.79,0.23,435574,291,T
8,0,-0.01,0.02,-53.44,-4.38,-58.31,-9.25,-0.02,3.57,-0.54,0.15,0.79,0.23,435614,331,T
9,0,-0.01,0.02,-53.44,-4.38,-58.31,-9.21,0.02,3.57,-0.54,0.15,0.79,0.23,435655,372,T
10,0,-0.01,0.02,-53.44,-4.38,-58.31,-9.25,0.02,3.54,-0.54,0.15,0.79,0.23,435695,412,T
11,0,-0.01,0.02,-52.75,-4.5,-57.38,-9.25,0.02,3.54,-0.54,0.15,0.79,0.23,435734,451,T
12,0,0.01,0,-52.75,-4.5,-57.38,-9.25,0.02,3.54,-0.54,0.15,0.79,0.23,435774,491,T
13,0,0.01,0,-52.75,-4.5,-57.38,-9.25,0.02,3.57,-0.54,0.15,0.79,0.23,435814,531,T
14,0,0.01,0,-52.75,-4.5,-57.38,-9.25,0.02,3.57,-0.54,0.15,0.79,0.23,435854,571,T
15,0,0.01,0,-52.75,-4.5,-57.38,-9.25,0.02,3.57,-0.54,0.15,0.79,0.23,435893,610,T
16,0,0.01,0,-52.19,-3.69,-58.88,-9.25,0.02,3.57,-0.54,0.15,0.79,0.23,435932,649,T
17,0.01,-0.01,0,-52.19,-3.69,-58.88,-9.25,0.02,3.57,-0.54,0.15,0.79,0.23,435972,689,T
18,0.01,-0.01,0,-52.19,-3.69,-58.88,-9.21,0.02,3.57,-0.54,0.15,0.79,0.23,436013,730,T
