,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,Time,Label,,0,
974,0.08,0.12,0.04,20.88,-53.56,19.5,2.47,9.75,1.93,0.6,0.38,0.32,0.63,141418,38544,T,,,
975,0.08,0.12,0.04,20.88,-53.56,19.5,2.36,9.71,1.78,0.6,0.38,0.32,0.63,141455,38581,T,,,
976,0.07,-0.05,0.04,20.88,-53.56,19.5,2.36,9.71,1.78,0.6,0.38,0.32,0.63,141495,38621,T,,,
977,0.06,0,0,20.88,-53.56,19.5,2.36,9.71,1.78,0.6,0.38,0.32,0.63,141534,38660,T,,,
978,0.06,0,0,20.88,-53.56,19.5,2.2,9.82,1.97,0.6,0.38,0.32,0.63,141572,38698,T,,,
979,0.06,0,0,20.88,-53.56,19.5,2.16,9.9,2.01,0.6,0.38,0.32,0.63,141611,38737,T,,,
980,0.06,0,0,20.88,-39.94,32,2.16,9.9,2.01,0.6,0.38,0.32,0.63,141648,38774,T,,,
981,0.06,0,0,20.88,-39.94,32,1.97,9.79,2.01,0.6,0.38,0.32,0.63,141688,38814,T,,,
982,0.04,-0.02,-0.08,20.88,-39.94,32,1.97,9.79,2.01,0.6,0.38,0.32,0.63,141727,38853,T,,,
983,0.04,-0.02,-0.08,20.88,-39.94,32,1.97,9.82,2.01,0.6,0.38,0.32,0.63,141767,38893,T,,,
984,0.04,-0.02,-0.08,20.88,-39.94,32,1.89,9.82,2.01,0.6,0.38,0.32,0.63,141805,38931,T,,,
985,0.03,-0.02,-0.13,20.88,-39.94,32,1.89,9.82,2.01,0.6,0.38,0.32,0.63,141845,38971,T,,,
986,-0.02,0.01,-0.12,20.88,-39.94,32,1.89,9.82,2.01,0.6,0.38,0.32,0.63,141885,39011,T,,,
987,-0.02,0.01,-0.12,20.88,-39.94,32,1.97,10.67,1.82,0.6,0.38,0.32,0.63,141924,39050,T,,,
988,-0.02,0.01,-0.12,20.88,-39.94,32,1.59,10.71,1.78,0.6,0.38,0.32,0.63,141965,39091,T,,,
989,-0.02,0.01,-0.12,20.88,-39.94,32,1.86,10.71,2.13,0.6,0.38,0.32,0.63,142004,39130,T,,,
990,-0.06,-0.32,0.08,20.88,-39.94,32,1.86,10.71,2.13,0.6,0.38,0.32,0.63,142044,39170,T,,,
991,-0.06,-0.32,0.08,20.88,-39.94,32,1.86,10.82,2.47,0.6,0.38,0.32,0.63,142084,39210,T,,,
992,-0.06,-0.32,0.08,20.88,-39.94,32,1.47,11.39,2.93,0.6,0.38,0.32,0.63,142126,39252,T,,,
993,-0.06,-0.32,0.08,20.88,-39.94,32,0.86,11.16,1.05,0.6,0.38,0.32,0.63,142166,39292,T,,,
994,-0.06,-0.32,0.08,20.88,-39.94,32,1.09,10.48,1.25,0.6,0.38,0.32,0.63,142204,39330,T,,,
995,-0.08,0.46,0,20.88,-39.94,32,1.09,10.48,1.25,0.6,0.38,0.32,0.63,142245,39371,T,,,
996,0.11,0.19,-0.27,20.88,-39.94,32,1.09,10.48,1.25,0.6,0.38,0.32,0.63,142286,39412,T,,,
997,0.11,0.19,-0.27,20.88,-39.94,32,2.28,6.11,1.82,0.6,0.38,0.32,0.63,142326,39452,T,,,
998,0.11,0.19,-0.27,20.88,-39.94,32,2.63,5.84,2.32,0.6,0.38,0.32,0.63,142365,39491,T,,,
999,0.11,0.19,-0.27,20.88,-39.94,32,3.5,6.45,3.58,0.6,0.38,0.32,0.63,142403,39529,T,,,
1000,0.12,-0.11,-0.35,20.88,-39.94,32,3.5,6.45,3.58,0.6,0.38,0.32,0.63,142442,39568,T,,,
1001,-0.1,-0.12,-0.27,20.88,-39.94,32,3.5,6.45,3.58,0.6,0.38,0.32,0.63,142481,39607,T,,,
1002,-0.1,-0.12,-0.27,20.88,-39.94,32,2.05,9.29,3.39,0.6,0.38,0.32,0.63,142521,39647,T,,,
1003,-0.1,-0.12,-0.27,20.88,-39.94,32,1.97,10.63,3.5,0.6,0.38,0.32,0.63,142560,39686,T,,,
1004,-0.35,0.07,0.16,20.88,-39.94,32,1.97,10.63,3.5,0.6,0.38,0.32,0.63,142600,39726,T,,,
1005,-0.32,0.3,0.17,20.88,-39.94,32,1.97,10.63,3.5,0.6,0.38,0.32,0.63,142640,39766,T,,,
1006,-0.32,0.3,0.17,20.88,-39.94,32,1.09,10.55,1.86,0.6,0.38,0.32,0.63,142679,39805,T,,,
1007,-0.32,0.3,0.17,20.88,-39.94,32,1.32,10.52,1.74,0.6,0.38,0.32,0.63,142720,39846,T,,,
1008,-0.32,0.3,0.17,20.88,-39.94,32,1.59,9.9,1.55,0.6,0.38,0.32,0.63,142757,39883,T,,,
1009,-0.04,0.36,0.26,20.88,-39.94,32,1.59,9.9,1.55,0.6,0.38,0.32,0.63,142797,39923,T,,,
1010,-0.04,0.36,0.26,20.88,-39.94,32,1.36,9.82,1.89,0.6,0.38,0.32,0.63,142836,39962,T,,,
1011,-0.04,0.36,0.26,20.88,-39.94,32,1.24,9.67,2.01,0.6,0.38,0.32,0.63,142877,40003,T,,,
1012,-0.04,0.36,0.26,20.88,-39.94,32,1.21,9.63,2.16,0.6,0.38,0.32,0.63,142917,40043,T,,,
1013,-0.04,0.36,0.26,20.88,-39.94,32,1.36,9.55,2.24,0.6,0.38,0.32,0.63,142954,40080,T,,,
1014,0.02,-0.07,0.09,20.88,-39.94,32,1.36,9.55,2.24,0.6,0.38,0.32,0.63,142993,40119,T,,,
1015,0.02,-0.07,0.09,20.88,-39.94,32,1.36,9.44,2.66,0.6,0.38,0.32,0.63,143033,40159,T,,,
1016,0.02,-0.07,0.09,20.88,-39.94,32,1.63,9.36,2.93,0.6,0.38,0.32,0.63,143072,40198,T,,,
1017,0.02,-0.07,0.09,20.88,-39.94,32,1.55,9.14,2.82,0.6,0.38,0.32,0.63,143110,40236,T,,,
1018,0.02,-0.07,0.09,17.56,-44.31,31.25,1.55,9.14,2.82,0.6,0.38,0.32,0.63,143148,40274,T,,,
1019,0.02,-0.07,0.09,17.56,-44.31,31.25,1.74,9.75,2.89,0.6,0.38,0.32,0.63,143187,40313,T,,,
1020,-0.14,0.4,0.07,17.56,-44.31,31.25,1.74,9.75,2.89,0.6,0.38,0.32,0.63,143227,40353,T,,,
1021,-0.14,0.4,0.07,17.56,-44.31,31.25,1.82,9.9,3.01,0.6,0.38,0.32,0.63,143266,40392,T,,,
1022,-0.14,0.4,0.07,17.56,-44.31,31.25,1.59,9.86,2.85,0.6,0.38,0.32,0.63,143304,40430,T,,,
1023,-0.14,0.4,0.07,17.56,-44.31,31.25,2.01,9.75,2.89,0.6,0.38,0.32,0.63,143345,40471,T,,,
1024,0.03,-0.04,-0.05,17.56,-44.31,31.25,2.01,9.75,2.89,0.6,0.38,0.32,0.63,143385,40511,T,,,
1025,0.03,-0.04,-0.05,17.56,-44.31,31.25,1.7,9.44,3.12,0.6,0.38,0.32,0.63,143424,40550,T,,,
1026,0.03,-0.04,-0.05,17.56,-44.31,31.25,1.21,9.55,2.97,0.6,0.38,0.32,0.63,143465,40591,T,,,
1027,0.03,-0.04,-0.05,17.56,-44.31,31.25,2.24,9.82,3.24,0.6,0.38,0.32,0.63,143503,40629,T,,,
1028,-0.09,0.12,0.14,17.56,-44.31,31.25,2.24,9.82,3.24,0.6,0.38,0.32,0.63,143543,40669,T,,,
1029,-0.09,0.12,0.14,17.56,-44.31,31.25,1.32,9.4,2.74,0.6,0.38,0.32,0.63,143582,40708,T,,,
1030,-0.09,0.12,0.14,17.56,-44.31,31.25,1.51,9.55,2.82,0.6,0.38,0.32,0.63,143620,40746,T,,,
1031,-0.09,0.12,0.14,17.56,-44.31,31.25,1.47,9.82,2.93,0.6,0.38,0.32,0.63,143657,40783,T,,,
1032,-0.04,-0.3,0,17.56,-44.31,31.25,1.47,9.82,2.93,0.6,0.38,0.32,0.63,143697,40823,T,,,
1033,-0.28,-0.18,0.14,17.56,-44.31,31.25,1.47,9.82,2.93,0.6,0.38,0.32,0.63,143736,40862,T,,,
1034,-0.28,-0.18,0.14,17.56,-44.31,31.25,2.93,11.36,4.04,0.6,0.38,0.32,0.63,143776,40902,T,,,
1035,-0.28,-0.18,0.14,17.56,-44.31,31.25,2.47,11.32,3.89,0.6,0.38,0.32,0.63,143816,40942,T,,,
1036,-0.28,-0.18,0.14,17.56,-44.31,31.25,2.78,11.2,4.08,0.6,0.38,0.32,0.63,143855,40981,W,,,
1037,-0.52,-0.09,0.44,17.56,-44.31,31.25,2.78,11.2,4.08,0.6,0.38,0.32,0.63,143895,41021,W,,,
1038,-0.52,-0.09,0.44,17.56,-44.31,31.25,3.2,10.94,4.69,0.6,0.38,0.32,0.63,143937,41063,W,,,
1039,-0.59,-0.05,0.43,17.56,-44.31,31.25,3.2,10.94,4.69,0.6,0.38,0.32,0.63,143977,41103,W,,,
1040,-0.59,-0.05,0.43,17.56,-44.31,31.25,3.27,10.05,4.77,0.6,0.38,0.32,0.63,144018,41144,W,,,
1041,-0.59,-0.05,0.43,17.56,-44.31,31.25,3.2,9.63,4.77,0.6,0.38,0.32,0.63,144057,41183,W,,,
1042,-0.83,-0.01,0.47,17.56,-44.31,31.25,3.2,9.63,4.77,0.6,0.38,0.32,0.63,144098,41224,W,,,
1043,-0.98,-0.16,0.41,17.56,-44.31,31.25,3.2,9.63,4.77,0.6,0.38,0.32,0.63,144138,41264,W,,,
1044,-0.98,-0.16,0.41,17.56,-44.31,31.25,3.85,8.1,4.65,0.6,0.38,0.32,0.63,144177,41303,W,,,
1045,-0.98,-0.16,0.41,17.56,-44.31,31.25,3.12,7.53,4.43,0.6,0.38,0.32,0.63,144218,41344,W,,,
1046,-0.98,-0.16,0.41,17.56,-44.31,31.25,3.23,6.34,4.16,0.6,0.38,0.32,0.63,144256,41382,W,,,
1047,-1.15,-0.22,0.38,17.56,-44.31,31.25,3.23,6.34,4.16,0.6,0.38,0.32,0.63,144295,41421,W,,,
1048,-1.15,-0.22,0.38,17.56,-44.31,31.25,3.08,5,4.35,0.6,0.38,0.32,0.63,144335,41461,W,,,
1049,-1.15,-0.22,0.38,17.56,-44.31,31.25,3.12,4.73,4.73,0.6,0.38,0.32,0.63,144376,41502,W,,,
1050,-1.15,-0.22,0.38,17.56,-44.31,31.25,3.08,4.31,5.19,0.6,0.38,0.32,0.63,144416,41542,W,,,
1051,-1.15,-0.22,0.38,17.56,-44.31,31.25,3.23,4.2,5.65,0.6,0.38,0.32,0.63,144454,41580,W,,,
1052,-0.54,-0.19,-0.22,17.56,-44.31,31.25,3.23,4.2,5.65,0.6,0.38,0.32,0.63,144494,41620,W,,,
1053,-0.54,-0.19,-0.22,17.56,-44.31,31.25,3.27,4.16,6.22,0.6,0.38,0.32,0.63,144536,41662,W,,,
1054,-0.28,-0.3,-0.24,17.56,-44.31,31.25,3.27,4.16,6.22,0.6,0.38,0.32,0.63,144575,41701,W,,,
1055,-0.28,-0.3,-0.24,17.56,-44.31,31.25,3.66,4.84,7.07,0.6,0.38,0.32,0.63,144616,41742,W,,,
1056,-0.28,-0.3,-0.24,17.56,-44.31,31.25,3.5,4.92,7.07,0.6,0.38,0.32,0.63,144655,41781,W,,,
1057,-0.41,-0.33,-0.25,17.56,-44.31,31.25,3.5,4.92,7.07,0.6,0.38,0.32,0.63,144695,41821,W,,,
1058,-0.64,-0.48,-0.47,17.56,-44.31,31.25,3.5,4.92,7.07,0.6,0.38,0.32,0.63,144736,41862,W,,,
1059,-0.64,-0.48,-0.47,17.56,-44.31,31.25,3.43,5.65,7.8,0.6,0.38,0.32,0.63,144776,41902,W,,,
1060,-0.64,-0.48,-0.47,17.56,-44.31,31.25,3.2,5.65,7.72,0.6,0.38,0.32,0.63,144817,41943,W,,,
1061,-0.64,-0.48,-0.47,17.56,-44.31,31.25,3.5,5.54,7.64,0.6,0.38,0.32,0.63,144856,41982,W,,,
1062,-0.91,-0.72,-1.06,17.56,-44.31,31.25,3.5,5.54,7.64,0.6,0.38,0.32,0.63,144896,42022,W,,,
1063,-0.91,-0.72,-1.06,17.56,-44.31,31.25,3.54,5.5,7.3,0.6,0.38,0.32,0.63,144937,42063,W,,,
1064,-0.83,-0.76,-1.3,17.56,-44.31,31.25,3.54,5.5,7.3,0.6,0.38,0.32,0.63,144977,42103,W,,,
1065,-0.83,-0.76,-1.3,17.56,-44.31,31.25,4.58,3.62,7.22,0.6,0.38,0.32,0.63,145017,42143,W,,,
1066,-0.83,-0.76,-1.3,17.56,-44.31,31.25,5.15,3.54,7.53,0.6,0.38,0.32,0.63,145056,42182,W,,,
1067,-0.42,-0.52,-1.21,17.56,-44.31,31.25,5.15,3.54,7.53,0.6,0.38,0.32,0.63,145097,42223,W,,,
1068,-0.4,-0.37,-0.92,17.56,-44.31,31.25,5.15,3.54,7.53,0.6,0.38,0.32,0.63,145137,42263,W,,,
1069,-0.4,-0.37,-0.92,17.56,-44.31,31.25,5.84,3.2,6.91,0.6,0.38,0.32,0.63,145177,42303,W,,,
1070,-0.4,-0.37,-0.92,17.56,-44.31,31.25,5.8,3.89,7.22,0.6,0.38,0.32,0.63,145218,42344,W,,,
1071,-0.4,-0.37,-0.92,17.56,-44.31,31.25,5.84,5.3,7.49,0.6,0.38,0.32,0.63,145257,42383,W,,,
1072,-0.76,-0.31,-0.9,17.56,-44.31,31.25,5.84,5.3,7.49,0.6,0.38,0.32,0.63,145297,42423,W,,,
1073,-0.86,-0.43,-0.91,17.56,-44.31,31.25,5.84,5.3,7.49,0.6,0.38,0.32,0.63,145338,42464,W,,,
1074,-0.86,-0.43,-0.91,17.56,-44.31,31.25,4.69,4.27,7.57,0.6,0.38,0.32,0.63,145378,42504,W,,,
1075,-0.86,-0.43,-0.91,17.56,-44.31,31.25,4.58,4.2,7.11,0.6,0.38,0.32,0.63,145418,42544,W,,,
1076,-0.86,-0.43,-0.91,17.56,-44.31,31.25,4.61,4.16,7.22,0.6,0.38,0.32,0.63,145457,42583,W,,,
1077,-0.73,-0.75,-1.22,17.56,-44.31,31.25,4.61,4.16,7.22,0.6,0.38,0.32,0.63,145497,42623,W,,,
1078,-0.73,-0.75,-1.22,17.56,-44.31,31.25,5.11,3.5,7.07,0.6,0.38,0.32,0.63,145539,42665,W,,,
1079,-0.3,-0.51,-0.89,17.56,-44.31,31.25,5.11,3.5,7.07,0.6,0.38,0.32,0.63,145579,42705,W,,,
1080,-0.3,-0.51,-0.89,17.56,-44.31,31.25,4.77,3.08,7.26,0.6,0.38,0.32,0.63,145618,42744,W,,,
1081,-0.3,-0.51,-0.89,17.56,-44.31,31.25,4.54,2.85,7.22,0.6,0.38,0.32,0.63,145657,42783,W,,,
1082,-0.04,-0.16,-0.64,17.56,-44.31,31.25,4.54,2.85,7.22,0.6,0.38,0.32,0.63,145697,42823,W,,,
1083,0.13,-0.09,-0.66,17.56,-44.31,31.25,4.54,2.85,7.22,0.6,0.38,0.32,0.63,145737,42863,W,,,
1084,0.13,-0.09,-0.66,17.56,-44.31,31.25,4.35,4.73,7.03,0.6,0.38,0.32,0.63,145777,42903,W,,,
1085,0.13,-0.09,-0.66,17.56,-44.31,31.25,4.54,5,7.26,0.6,0.38,0.32,0.63,145818,42944,W,,,
1086,0.13,-0.09,-0.66,17.56,-44.31,31.25,3.93,6.19,7.03,0.6,0.38,0.32,0.63,145856,42982,W,,,
1087,0.53,-0.41,-0.83,17.56,-44.31,31.25,3.93,6.19,7.03,0.6,0.38,0.32,0.63,145896,43022,W,,,
1088,0.53,-0.41,-0.83,17.56,-44.31,31.25,2.59,6.38,6.91,0.6,0.38,0.32,0.63,145937,43063,W,,,
1089,0.83,-0.47,-1.15,17.56,-44.31,31.25,2.59,6.38,6.91,0.6,0.38,0.32,0.63,145977,43103,W,,,
1090,0.83,-0.47,-1.15,17.56,-44.31,31.25,2.32,6.19,7.22,0.6,0.38,0.32,0.63,146017,43143,W,,,
1091,0.83,-0.47,-1.15,17.56,-44.31,31.25,2.7,6.22,6.95,0.6,0.38,0.32,0.63,146055,43181,W,,,
1092,0.96,-0.53,-1.41,17.56,-44.31,31.25,2.7,6.22,6.95,0.6,0.38,0.32,0.63,146096,43222,W,,,
1093,1.14,-0.48,-1.32,17.56,-44.31,31.25,2.7,6.22,6.95,0.6,0.38,0.32,0.63,146136,43262,W,,,
1094,1.14,-0.48,-1.32,17.56,-44.31,31.25,4.39,6.11,7.76,0.6,0.38,0.32,0.63,146176,43302,W,,,
1095,1.14,-0.48,-1.32,17.56,-44.31,31.25,4.81,6.15,7.99,0.6,0.38,0.32,0.63,146216,43342,W,,,
1096,1.14,-0.48,-1.32,17.56,-44.31,31.25,5.04,6.61,7.38,0.6,0.38,0.32,0.63,146254,43380,W,,,
1097,0.2,-0.07,-0.16,17.56,-44.31,31.25,5.04,6.61,7.38,0.6,0.38,0.32,0.63,146294,43420,W,,,
1098,-0.12,-0.2,0.2,17.56,-44.31,31.25,5.04,6.61,7.38,0.6,0.38,0.32,0.63,146334,43460,W,,,
1099,-0.12,-0.2,0.2,17.56,-44.31,31.25,4.77,6.99,7.14,0.6,0.38,0.32,0.63,146375,43501,W,,,
1100,-0.12,-0.2,0.2,17.56,-44.31,31.25,5.23,8.79,7.87,0.6,0.38,0.32,0.63,146415,43541,W,,,
1101,-0.12,-0.2,0.2,17.56,-44.31,31.25,5.15,9.48,7.41,0.6,0.38,0.32,0.63,146453,43579,W,,,
1102,-0.58,0.08,0.92,17.56,-44.31,31.25,5.15,9.48,7.41,0.6,0.38,0.32,0.63,146493,43619,W,,,
1103,-0.58,0.08,0.92,17.56,-44.31,31.25,4.42,8.45,6.19,0.6,0.38,0.32,0.63,146534,43660,W,,,
1104,-0.85,0.53,1.03,17.56,-44.31,31.25,4.42,8.45,6.19,0.6,0.38,0.32,0.63,146573,43699,W,,,
1105,-0.85,0.53,1.03,17.56,-44.31,31.25,3.81,8.68,5.27,0.6,0.38,0.32,0.63,146613,43739,W,,,
1106,-0.85,0.53,1.03,17.56,-44.31,31.25,3.46,8.45,4.58,0.6,0.38,0.32,0.63,146650,43776,W,,,
1107,-0.85,0.53,1.03,17.56,-44.31,31.25,3.04,7.79,4.31,0.6,0.38,0.32,0.63,146689,43815,W,,,
1108,-0.26,-0.01,0.16,17.56,-44.31,31.25,3.04,7.79,4.31,0.6,0.38,0.32,0.63,146728,43854,W,,,
1109,-0.26,-0.01,0.16,17.56,-44.31,31.25,2.28,6.91,3.24,0.6,0.38,0.32,0.63,146767,43893,W,,,
1110,-0.26,-0.01,0.16,17.56,-44.31,31.25,2.36,7.45,3.2,0.6,0.38,0.32,0.63,146806,43932,W,,,
1111,0.47,0.06,-0.45,17.56,-44.31,31.25,2.36,7.45,3.2,0.6,0.38,0.32,0.63,146846,43972,W,,,
1112,0.76,0.13,-0.69,17.56,-44.31,31.25,2.36,7.45,3.2,0.6,0.38,0.32,0.63,146886,44012,W,,,
1113,0.76,0.13,-0.69,17.56,-44.31,31.25,2.05,8.29,2.85,0.6,0.38,0.32,0.63,146924,44050,W,,,
1114,0.76,0.13,-0.69,17.56,-44.31,31.25,1.97,8.71,2.93,0.6,0.38,0.32,0.63,146964,44090,W,,,
1115,0.76,0.13,-0.69,17.56,-44.31,31.25,1.82,9.1,2.74,0.6,0.38,0.32,0.63,147002,44128,W,,,
1116,1.49,-0.21,-1.31,17.56,-44.31,31.25,1.82,9.1,2.74,0.6,0.38,0.32,0.63,147041,44167,W,,,
1117,1.48,-0.15,-1.44,17.56,-44.31,31.25,1.82,9.1,2.74,0.6,0.38,0.32,0.63,147080,44206,W,,,
1118,1.48,-0.15,-1.44,17.56,-44.31,31.25,1.4,11.05,3.01,0.6,0.38,0.32,0.63,147119,44245,W,,,
1119,1.48,-0.15,-1.44,17.56,-44.31,31.25,1.36,11.93,3.35,0.6,0.38,0.32,0.63,147159,44285,W,,,
1120,1.48,-0.15,-1.44,63,-71.06,13.94,1.36,11.93,3.35,0.6,0.38,0.32,0.63,147198,44324,W,,,
1121,1.84,-0.62,-1.92,63,-71.06,13.94,1.36,11.93,3.35,0.6,0.38,0.32,0.63,147238,44364,W,,,
1122,1.84,-0.62,-1.92,63,-71.06,13.94,1.89,8.18,4.5,0.6,0.38,0.32,0.63,147277,44403,W,,,
1123,1.84,-0.62,-1.92,63,-71.06,13.94,1.55,9.63,4.23,0.6,0.38,0.32,0.63,147317,44443,W,,,
1124,1.84,-0.62,-1.92,63,-71.06,13.94,1.21,11.13,3.93,0.6,0.38,0.32,0.63,147355,44481,W,,,
1125,0.34,-0.87,-0.48,63,-71.06,13.94,1.21,11.13,3.93,0.6,0.38,0.32,0.63,147395,44521,W,,,
1126,0.34,-0.87,-0.48,63,-71.06,13.94,1.55,8.79,3.77,0.6,0.38,0.32,0.63,147436,44562,W,,,
1127,-0.54,-0.33,0.61,63,-71.06,13.94,1.55,8.79,3.77,0.6,0.38,0.32,0.63,147476,44602,W,,,
1128,-0.54,-0.33,0.61,63,-71.06,13.94,0.98,8.98,3.43,0.6,0.38,0.32,0.63,147516,44642,W,,,
1129,-0.54,-0.33,0.61,63,-71.06,13.94,0.9,9.36,3.54,0.6,0.38,0.32,0.63,147554,44680,W,,,
1130,-0.83,-0.05,0.96,63,-71.06,13.94,0.9,9.36,3.54,0.6,0.38,0.32,0.63,147595,44721,W,,,
1131,-0.93,0.25,1.09,63,-71.06,13.94,0.9,9.36,3.54,0.6,0.38,0.32,0.63,147635,44761,W,,,
1132,-0.93,0.25,1.09,63,-71.06,13.94,0.98,9.63,3.93,0.6,0.38,0.32,0.63,147675,44801,W,,,
1133,-0.93,0.25,1.09,63,-71.06,13.94,0.98,10.05,3.81,0.6,0.38,0.32,0.63,147714,44840,W,,,
1134,-0.93,0.25,1.09,63,-71.06,13.94,1.21,10.32,4,0.6,0.38,0.32,0.63,147752,44878,W,,,
1135,-0.96,0.29,1.26,63,-71.06,13.94,1.21,10.32,4,0.6,0.38,0.32,0.63,147792,44918,W,,,
1136,-0.83,0.48,1.19,63,-71.06,13.94,1.21,10.32,4,0.6,0.38,0.32,0.63,147832,44958,W,,,
1137,-0.83,0.48,1.19,63,-71.06,13.94,1.78,12.58,4.2,0.6,0.38,0.32,0.63,147871,44997,W,,,
1138,-0.83,0.48,1.19,63,-71.06,13.94,1.82,10.63,3.62,0.6,0.38,0.32,0.63,147913,45039,W,,,
1139,-0.83,0.48,1.19,63,-71.06,13.94,1.89,9.33,2.93,0.6,0.38,0.32,0.63,147951,45077,W,,,
1140,-0.63,0.59,0.99,63,-71.06,13.94,1.89,9.33,2.93,0.6,0.38,0.32,0.63,147989,45115,W,,,
1141,-0.63,0.59,0.99,63,-71.06,13.94,1.86,8.98,2.28,0.6,0.38,0.32,0.63,148028,45154,W,,,
1142,-0.17,0.42,0.33,63,-71.06,13.94,1.86,8.98,2.28,0.6,0.38,0.32,0.63,148068,45194,W,,,
1143,-0.17,0.42,0.33,63,-71.06,13.94,1.59,8.02,2.09,0.6,0.38,0.32,0.63,148105,45231,W,,,
1144,0.05,0.2,0.08,63,-71.06,13.94,1.59,8.02,2.09,0.6,0.38,0.32,0.63,148145,45271,W,,,
1145,0.05,0.2,0.08,63,-71.06,13.94,1.28,8.29,2.01,0.6,0.38,0.32,0.63,148185,45311,W,,,
1146,0.54,0.08,-0.38,63,-71.06,13.94,1.28,8.29,2.01,0.6,0.38,0.32,0.63,148225,45351,W,,,
1147,0.54,0.08,-0.38,63,-71.06,13.94,1.13,8.98,2.13,0.6,0.38,0.32,0.63,148263,45389,W,,,
1148,0.54,0.08,-0.38,63,-71.06,13.94,0.94,9.63,2.16,0.6,0.38,0.32,0.63,148301,45427,W,,,
1149,1.08,-0.22,-1.05,63,-71.06,13.94,0.94,9.63,2.16,0.6,0.38,0.32,0.63,148341,45467,W,,,
1150,1.05,-0.27,-1.13,63,-71.06,13.94,0.94,9.63,2.16,0.6,0.38,0.32,0.63,148381,45507,W,,,
1151,1.05,-0.27,-1.13,63,-71.06,13.94,-0.17,11.32,2.09,0.6,0.38,0.32,0.63,148420,45546,W,,,
1152,1.05,-0.27,-1.13,63,-71.06,13.94,0.32,12.13,1.7,0.6,0.38,0.32,0.63,148460,45586,W,,,
1153,1.05,-0.27,-1.13,63,-71.06,13.94,1.21,11.66,2.51,0.6,0.38,0.32,0.63,148499,45625,W,,,
1154,1.37,-0.88,-1.66,63,-71.06,13.94,1.21,11.66,2.51,0.6,0.38,0.32,0.63,148539,45665,W,,,
1155,1.18,-0.67,-1.43,63,-71.06,13.94,1.21,11.66,2.51,0.6,0.38,0.32,0.63,148578,45704,W,,,
1156,1.18,-0.67,-1.43,63,-71.06,13.94,1.21,10.67,3.27,0.6,0.38,0.32,0.63,148619,45745,W,,,
1157,1.18,-0.67,-1.43,63,-71.06,13.94,1.36,9.75,3.2,0.6,0.38,0.32,0.63,148659,45785,W,,,
1158,1.18,-0.67,-1.43,71,-84,4.63,1.36,9.75,3.2,0.6,0.38,0.32,0.63,148697,45823,W,,,
1159,0.17,-0.48,-0.2,71,-84,4.63,1.36,9.75,3.2,0.6,0.38,0.32,0.63,148736,45862,W,,,
1160,0.17,-0.48,-0.2,71,-84,4.63,1.28,9.14,4,0.6,0.38,0.32,0.63,148775,45901,W,,,
1161,0.17,-0.48,-0.2,71,-84,4.63,1.17,9.14,3.93,0.6,0.38,0.32,0.63,148815,45941,W,,,
1162,0.17,-0.48,-0.2,71,-84,4.63,1.13,9.06,4.23,0.6,0.38,0.32,0.63,148852,45978,W,,,
1163,-0.38,-0.15,0.58,71,-84,4.63,1.13,9.06,4.23,0.6,0.38,0.32,0.63,148892,46018,W,,,
1164,-0.38,-0.15,0.58,71,-84,4.63,1.24,10.02,4.2,0.6,0.38,0.32,0.63,148931,46057,W,,,
1165,-0.38,-0.15,0.58,71,-84,4.63,1.51,10.52,4.2,0.6,0.38,0.32,0.63,148972,46098,W,,,
1166,-0.38,-0.15,0.58,71,-84,4.63,2.13,12.89,4.39,0.6,0.38,0.32,0.63,149012,46138,W,,,
1167,-0.38,-0.15,0.58,71,-84,4.63,2.2,13.77,4.27,0.6,0.38,0.32,0.63,149050,46176,W,,,
1168,-1.52,0.71,1.68,71,-84,4.63,2.2,13.77,4.27,0.6,0.38,0.32,0.63,149090,46216,W,,,
1169,-1.52,0.71,1.68,71,-84,4.63,2.51,12.2,2.97,0.6,0.38,0.32,0.63,149130,46256,W,,,
1170,-1.52,0.71,1.68,71,-84,4.63,2.24,11.63,2.74,0.6,0.38,0.32,0.63,149168,46294,W,,,
1171,-1.52,0.71,1.68,71,-84,4.63,2.32,9.75,2.36,0.6,0.38,0.32,0.63,149207,46333,W,,,
1172,-1.52,0.71,1.68,42.13,-86.5,-19.56,2.32,9.75,2.36,0.6,0.38,0.32,0.63,149244,46370,W,,,
1173,-1.52,0.71,1.68,42.13,-86.5,-19.56,1.74,8.68,2.2,0.6,0.38,0.32,0.63,149284,46410,W,,,
1174,-0.89,0.33,1,42.13,-86.5,-19.56,1.74,8.68,2.2,0.6,0.38,0.32,0.63,149324,46450,W,,,
1175,-0.89,0.33,1,42.13,-86.5,-19.56,1.55,7.38,1.78,0.6,0.38,0.32,0.63,149364,46490,W,,,
1176,-0.89,0.33,1,42.13,-86.5,-19.56,1.55,7.07,1.78,0.6,0.38,0.32,0.63,149402,46528,W,,,
1177,0.17,0.26,0.01,42.13,-86.5,-19.56,1.55,7.07,1.78,0.6,0.38,0.32,0.63,149444,46570,W,,,
1178,0.7,0.27,-0.53,42.13,-86.5,-19.56,1.55,7.07,1.78,0.6,0.38,0.32,0.63,149483,46609,W,,,
1179,0.7,0.27,-0.53,42.13,-86.5,-19.56,1.24,7.91,2.2,0.6,0.38,0.32,0.63,149522,46648,W,,,
