,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label,,,0
0,0.03,0.08,0.05,-5.19,-1.69,15,2.2,9.7,0.84,0.15,-0.49,-0.5,0.69,237340,0,W,,5860,5860
1,0.03,0.08,0.05,-5.19,-1.69,15,2.01,9.93,0.92,0.15,-0.49,-0.5,0.69,237379,39,W,,2670,8530
2,0.03,0.08,0.05,-5.19,-1.69,15,2.05,9.86,0.96,0.15,-0.49,-0.5,0.69,237418,78,W,,8290,16820
3,0.03,0.08,0.05,-5.19,-1.69,15,2.16,9.86,0.88,0.15,-0.49,-0.5,0.69,237455,115,W,,2970,19790
4,-0.01,-0.04,0.02,-5.19,-1.69,15,2.16,9.86,0.88,0.15,-0.49,-0.5,0.69,237494,154,W,,7050,26840
5,-0.01,-0.04,0.02,-5.19,-1.69,15,2.28,9.78,0.84,0.15,-0.49,-0.5,0.69,237534,194,W,,4990,31830
6,-0.01,-0.04,0.02,-5.19,-1.69,15,2.28,9.78,0.92,0.15,-0.49,-0.5,0.69,237575,235,W,,6260,38090
7,-0.01,-0.04,0.02,-5.19,-1.69,15,2.35,9.78,1,0.15,-0.49,-0.5,0.69,237613,273,W,,2570,40660
8,0.01,-0.04,0.01,-5.19,-1.69,15,2.35,9.78,1,0.15,-0.49,-0.5,0.69,237654,314,W,,,
9,0,-0.02,0.04,-5.19,-1.69,15,2.35,9.78,1,0.15,-0.49,-0.5,0.69,237693,353,W,,,
10,0,-0.02,0.04,-5.19,-1.69,15,2.35,9.74,1.03,0.15,-0.49,-0.5,0.69,237734,394,W,,,
11,0,-0.02,0.04,-5.19,-1.69,15,2.35,9.78,1.03,0.15,-0.49,-0.5,0.69,237774,434,W,,,
12,0,-0.02,0.04,-5.19,-1.69,15,2.31,9.78,1,0.15,-0.49,-0.5,0.69,237812,472,W,,,
13,0.03,0.08,0.02,-5.19,-1.69,15,2.31,9.78,1,0.15,-0.49,-0.5,0.69,237853,513,W,,,
14,0.03,0.06,0.02,-5.19,-1.69,15,2.31,9.78,1,0.15,-0.49,-0.5,0.69,237893,553,W,,,
15,0.03,0.04,0.02,-5.19,-1.69,15,2.31,9.78,1,0.15,-0.49,-0.5,0.69,237932,592,W,,,
16,0.03,0.04,0.02,-5.19,-1.69,15,2.39,9.74,0.92,0.15,-0.49,-0.5,0.69,237971,631,W,,,
17,0.03,0.04,0.02,-5.19,-1.69,15,2.39,9.78,0.96,0.15,-0.49,-0.5,0.69,238009,669,W,,,
18,0.05,0.17,0.03,-5.19,-1.69,15,2.39,9.78,0.96,0.15,-0.49,-0.5,0.69,238047,707,W,,,
19,0.03,0.07,0.02,-5.19,-1.69,15,2.39,9.78,0.96,0.15,-0.49,-0.5,0.69,238086,746,W,,,
20,0.03,0.07,0.02,-5.19,-1.69,15,2.31,9.78,0.84,0.15,-0.49,-0.5,0.69,238125,785,W,,,
21,0.03,0.07,0.02,-5.19,-1.69,15,2.35,9.7,0.84,0.15,-0.49,-0.5,0.69,238161,821,W,,,
22,0.01,0,0.02,-5.19,-1.69,15,2.35,9.7,0.84,0.15,-0.49,-0.5,0.69,238202,862,W,,,
23,0,-0.04,0.01,-5.19,-1.69,15,2.35,9.7,0.84,0.15,-0.49,-0.5,0.69,238241,901,W,,,
24,0,-0.04,0.01,-5.19,-1.69,15,2.35,9.78,0.92,0.15,-0.49,-0.5,0.69,238281,941,W,,,
25,0,-0.04,0.01,-5.19,-1.69,15,2.35,9.74,0.92,0.15,-0.49,-0.5,0.69,238323,983,W,,,
26,0,-0.04,0.01,-5.19,-1.69,15,2.43,9.82,0.88,0.15,-0.49,-0.5,0.69,238361,1021,W,,,
27,0.01,0.01,0.01,-5.19,-1.69,15,2.43,9.82,0.88,0.15,-0.49,-0.5,0.69,238402,1062,W,,,
28,0,-0.01,0.01,-5.19,-1.69,15,2.43,9.82,0.88,0.15,-0.49,-0.5,0.69,238441,1101,W,,,
29,0,-0.01,0.01,-5.19,-1.69,15,2.28,9.74,0.88,0.15,-0.49,-0.5,0.69,238482,1142,W,,,
30,0,-0.01,0.01,-5.19,-1.69,15,2.35,9.82,0.84,0.15,-0.49,-0.5,0.69,238521,1181,W,,,
31,0,-0.01,0.01,-5.19,-1.69,15,2.43,9.82,0.88,0.15,-0.49,-0.5,0.69,238559,1219,W,,,
32,0.03,-0.05,-0.05,-5.19,-1.69,15,2.43,9.82,0.88,0.15,-0.49,-0.5,0.69,238599,1259,W,,,
33,0.03,-0.05,-0.05,-5.19,-1.69,15,2.58,9.7,1,0.15,-0.49,-0.5,0.69,238641,1301,W,,,
34,-0.06,-0.12,-0.05,-5.19,-1.69,15,2.58,9.7,1,0.15,-0.49,-0.5,0.69,238681,1341,W,,,
35,-0.06,-0.12,-0.05,-5.19,-1.69,15,2.93,9.67,1.07,0.15,-0.49,-0.5,0.69,238722,1382,W,,,
36,-0.06,-0.12,-0.05,-5.19,-1.69,15,2.89,9.7,1.15,0.15,-0.49,-0.5,0.69,238760,1420,W,,,
37,-0.14,-0.09,0.04,-5.19,-1.69,15,2.89,9.7,1.15,0.15,-0.49,-0.5,0.69,238801,1461,W,,,
38,-0.18,-0.12,0.07,-5.19,-1.69,15,2.89,9.7,1.15,0.15,-0.49,-0.5,0.69,238842,1502,W,,,
39,-0.18,-0.12,0.07,-5.19,-1.69,15,2.47,9.78,0.96,0.15,-0.49,-0.5,0.69,238882,1542,W,,,
40,-0.18,-0.12,0.07,-5.19,-1.69,15,2.43,9.78,0.88,0.15,-0.49,-0.5,0.69,238923,1583,W,,,
41,-0.18,-0.12,0.07,-5.19,-1.69,15,2.28,10.24,0.8,0.15,-0.49,-0.5,0.69,238961,1621,W,,,
42,-0.09,-0.01,0.01,-5.19,-1.69,15,2.28,10.24,0.8,0.15,-0.49,-0.5,0.69,239002,1662,W,,,
43,-0.09,-0.01,0.01,-5.19,-1.69,15,1.97,9.74,1,0.15,-0.49,-0.5,0.69,239044,1704,W,,,
44,0.03,0.12,-0.09,-5.19,-1.69,15,1.97,9.74,1,0.15,-0.49,-0.5,0.69,239084,1744,W,,,
45,0.03,0.12,-0.09,-5.19,-1.69,15,1.86,9.48,1.22,0.15,-0.49,-0.5,0.69,239124,1784,W,,,
46,0.03,0.12,-0.09,-5.19,-1.69,15,1.74,9.55,1.26,0.15,-0.49,-0.5,0.69,239162,1822,W,,,
47,0.05,0.13,-0.1,-5.19,-1.69,15,1.74,9.55,1.26,0.15,-0.49,-0.5,0.69,239203,1863,W,,,
48,0,0.01,-0.06,-5.19,-1.69,15,1.74,9.55,1.26,0.15,-0.49,-0.5,0.69,239243,1903,W,,,
49,0,0.01,-0.06,-5.19,-1.69,15,1.63,9.97,1.3,0.15,-0.49,-0.5,0.69,239283,1943,W,,,
50,0,0.01,-0.06,-5.19,-1.69,15,1.55,9.32,1.45,0.15,-0.49,-0.5,0.69,239323,1983,W,,,
51,0,0.01,-0.06,-5.19,-1.69,15,1.82,9.74,1.72,0.15,-0.49,-0.5,0.69,239361,2021,W,,,
52,-0.05,-0.11,-0.18,-5.19,-1.69,15,1.82,9.74,1.72,0.15,-0.49,-0.5,0.69,239400,2060,W,,,
53,-0.15,-0.22,-0.12,-5.19,-1.69,15,1.82,9.74,1.72,0.15,-0.49,-0.5,0.69,239440,2100,W,,,
