,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label,,,0
0,0.01,0,-0.01,-58.88,19,60.31,-9.27,0.48,2.98,0.18,0.56,-0.2,0.78,465102,0,S,5860,5860,
1,0.01,0,-0.02,-58.88,19,60.31,-9.27,0.48,2.98,0.18,0.56,-0.2,0.78,465142,40,S,2670,8530,
2,0.01,0,-0.02,-58.88,19,60.31,-9.23,0.44,2.98,0.18,0.56,-0.2,0.78,465182,80,S,8290,16820,
3,0.01,0,-0.02,-58.88,19,60.31,-9.23,0.44,2.98,0.18,0.56,-0.2,0.78,465222,120,S,2970,19790,
4,-0.01,-0.01,0.01,-58.88,19,60.31,-9.23,0.44,2.98,0.18,0.56,-0.2,0.78,465262,160,S,7050,26840,
5,0,-0.02,0.02,-58.88,19,60.31,-9.23,0.44,2.98,0.18,0.56,-0.2,0.78,465302,200,S,4990,31830,
6,0,-0.02,0.02,-58.88,19,60.31,-9.23,0.44,2.98,0.18,0.56,-0.2,0.78,465343,241,S,6260,38090,
7,0,-0.02,0.02,-58.88,19,60.31,-9.16,0.4,3.05,0.18,0.56,-0.2,0.78,465384,282,S,2570,40660,
8,0,-0.02,0.02,-58.88,19,60.31,-9.23,0.52,2.98,0.18,0.56,-0.2,0.78,465424,322,S,,,
9,0,-0.02,0.02,-58.88,19,60.31,-9.23,0.52,2.98,0.18,0.56,-0.2,0.78,465463,361,S,,,
10,-0.06,-0.01,0.03,-58.88,19,60.31,-9.23,0.52,2.98,0.18,0.56,-0.2,0.78,465504,402,S,,,
11,-0.06,-0.01,0.03,-58.88,19,60.31,-9.2,0.52,3.05,0.18,0.56,-0.2,0.78,465544,442,S,,,
12,-0.06,-0.01,0.03,-58.88,19,60.31,-9.2,0.52,3.02,0.18,0.56,-0.2,0.78,465585,483,S,,,
13,-0.06,-0.01,0.03,-58.88,19,60.31,-9.23,0.48,2.98,0.18,0.56,-0.2,0.78,465624,522,S,,,
14,-0.06,-0.01,0.03,-59.19,17.88,60.94,-9.23,0.48,2.98,0.18,0.56,-0.2,0.78,465664,562,S,,,
15,-0.06,-0.01,0.03,-59.19,17.88,60.94,-9.27,0.48,2.98,0.18,0.56,-0.2,0.78,465703,601,S,,,
16,0.13,-0.01,-0.03,-59.19,17.88,60.94,-9.27,0.48,2.98,0.18,0.56,-0.2,0.78,465744,642,S,,,
17,0.13,-0.01,-0.03,-59.19,17.88,60.94,-9.27,0.48,2.98,0.18,0.56,-0.2,0.78,465784,682,S,,,
18,0.13,-0.01,-0.03,-59.19,17.88,60.94,-9.23,0.48,2.98,0.18,0.56,-0.2,0.78,465823,721,S,,,
