,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label
0,0,0.05,-0.04,53.56,-65.56,10.88,4.33,8.94,0.89,-0.41,-0.33,-0.54,0.66,1107201,0,W
1,0,0.05,-0.04,53.56,-65.56,10.88,4.36,8.9,0.89,-0.41,-0.33,-0.54,0.66,1107243,42,W
2,0,0.05,-0.04,53.56,-65.56,10.88,4.36,8.86,0.85,-0.41,-0.33,-0.54,0.66,1107286,85,W
3,0,0.05,-0.04,53.56,-65.56,10.88,4.44,8.94,0.89,-0.41,-0.33,-0.54,0.66,1107328,127,W
4,0,0.05,-0.04,53.56,-65.56,10.88,4.4,8.9,0.89,-0.41,-0.33,-0.54,0.66,1107367,166,W
5,0,0.05,-0.04,53.56,-65.56,10.88,4.4,8.9,0.89,0.59,0.32,0.6,0.43,1107409,208,W
6,0.01,0.11,0.02,53.56,-65.56,10.88,4.4,8.9,0.89,0.59,0.32,0.6,0.43,1107449,248,W
7,0.01,0.11,0.02,53.56,-65.56,10.88,4.44,8.94,0.81,0.59,0.32,0.6,0.43,1107487,286,W
8,0.01,0.11,0.02,53.56,-65.56,10.88,4.36,8.86,0.81,0.59,0.32,0.6,0.43,1107527,326,W
9,0.01,0.11,0.02,53.56,-65.56,10.88,4.33,8.94,0.89,0.59,0.32,0.6,0.43,1107565,364,W
10,0.01,0.11,0.02,53.56,-65.56,10.88,4.33,8.94,0.89,0.59,0.32,0.61,0.43,1107604,403,W
11,-0.01,0,0.06,53.56,-65.56,10.88,4.33,8.94,0.89,0.59,0.32,0.61,0.43,1107644,443,W
12,-0.01,0,0.06,53.56,-65.56,10.88,4.17,9.02,0.89,0.59,0.32,0.61,0.43,1107684,483,W
13,-0.01,0,0.06,53.56,-65.56,10.88,4.14,8.86,0.93,0.59,0.32,0.61,0.43,1107724,523,W
14,-0.01,0,0.06,53.56,-65.56,10.88,4.17,8.94,0.96,0.59,0.32,0.61,0.43,1107762,561,W
15,0,-0.04,-0.03,53.56,-65.56,10.88,4.17,8.94,0.96,0.59,0.32,0.61,0.43,1107802,601,W
16,0,-0.04,-0.03,53.56,-65.56,10.88,4.25,8.98,1.04,0.59,0.32,0.61,0.43,1107844,643,W
17,-0.03,-0.03,-0.04,53.56,-65.56,10.88,4.25,8.98,1.04,0.59,0.32,0.61,0.43,1107885,684,W
18,-0.03,-0.03,-0.04,53.56,-65.56,10.88,4.36,8.86,1.04,0.59,0.32,0.61,0.43,1107924,723,W
19,-0.03,-0.03,-0.04,53.56,-65.56,10.88,4.4,8.75,1,0.59,0.32,0.61,0.43,1107964,763,W
20,-0.04,-0.02,0,53.56,-65.56,10.88,4.4,8.75,1,0.59,0.32,0.61,0.43,1108004,803,W
21,-0.04,-0.05,-0.01,53.56,-65.56,10.88,4.4,8.75,1,0.59,0.32,0.61,0.43,1108044,843,W
22,-0.04,-0.05,-0.01,53.56,-65.56,10.88,4.44,8.83,0.93,0.59,0.32,0.61,0.43,1108085,884,W
23,-0.04,-0.05,-0.01,53.56,-65.56,10.88,4.44,8.79,0.89,0.59,0.32,0.61,0.43,1108126,925,W
24,-0.04,-0.05,-0.01,53.56,-65.56,10.88,4.4,8.83,0.89,0.59,0.32,0.61,0.43,1108166,965,W
25,-0.04,-0.05,-0.01,53.56,-65.56,10.88,4.4,8.83,0.89,0.59,0.31,0.6,0.44,1108206,1005,W
26,-0.04,-0.05,-0.01,53.56,-65.56,10.88,4.55,8.9,0.81,0.59,0.31,0.6,0.44,1108246,1045,W
27,0.03,0.02,-0.02,53.56,-65.56,10.88,4.55,8.9,0.81,0.59,0.31,0.6,0.44,1108287,1086,W
28,0.03,0.02,-0.02,53.56,-65.56,10.88,5.13,8.83,1.15,0.59,0.31,0.6,0.44,1108326,1125,W
29,0.03,0.02,-0.02,53.56,-65.56,10.88,5.63,8.98,1.15,0.59,0.31,0.6,0.44,1108364,1163,W
30,-0.12,-0.19,0.34,53.56,-65.56,10.88,5.63,8.98,1.15,0.59,0.31,0.6,0.44,1108405,1204,W
31,-0.17,-0.05,0.53,53.56,-65.56,10.88,5.63,8.98,1.15,0.59,0.31,0.6,0.44,1108445,1244,W
32,-0.17,-0.05,0.53,53.56,-65.56,10.88,5.21,8.48,1.12,0.59,0.31,0.6,0.44,1108486,1285,W
33,-0.17,-0.05,0.53,53.56,-65.56,10.88,4.98,8.18,1.08,0.59,0.31,0.6,0.44,1108526,1325,W
34,-0.17,-0.05,0.53,53.56,-65.56,10.88,4.67,8.21,1.04,0.59,0.31,0.6,0.44,1108564,1363,W
35,-0.19,0.13,0.27,53.56,-65.56,10.88,4.67,8.21,1.04,0.59,0.31,0.6,0.44,1108604,1403,W
36,-0.19,0.01,-0.12,53.56,-65.56,10.88,4.67,8.21,1.04,0.59,0.31,0.6,0.44,1108644,1443,W
37,-0.19,0.01,-0.12,53.56,-65.56,10.88,3.64,8.48,0.77,0.59,0.31,0.6,0.44,1108684,1483,W
38,-0.19,0.01,-0.12,53.56,-65.56,10.88,3.48,8.56,0.73,0.59,0.31,0.6,0.44,1108724,1523,W
