,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label
0,-0.01,-0.01,0.03,-16,-49.56,33.25,-9,0.59,3.94,0.55,0,-0.83,0.03,408123,0,W
1,-0.01,-0.01,0.03,-16,-49.56,33.25,-8.96,0.63,3.98,0.55,0,-0.83,0.03,408165,42,W
2,-0.01,-0.01,0.03,-16,-49.56,33.25,-8.96,0.63,3.94,0.55,0,-0.83,0.03,408207,84,W
3,-0.01,-0.01,0.03,-16,-49.56,33.25,-9,0.63,3.94,0.55,0,-0.83,0.03,408248,125,W
4,-0.01,-0.01,0.03,-16,-49.56,33.25,-8.96,0.59,3.98,0.55,0,-0.83,0.03,408289,166,W
5,-0.01,-0.01,0.03,-16,-48.75,33.25,-8.96,0.59,3.98,0.55,0,-0.83,0.03,408331,208,W
6,0,0,0.03,-16,-48.75,33.25,-8.96,0.59,3.98,0.55,0,-0.83,0.03,408373,250,W
7,0,0,0.03,-16,-48.75,33.25,-8.96,0.66,3.98,0.55,0,-0.83,0.03,408415,292,W
8,0,0,0.03,-16,-48.75,33.25,-8.96,0.66,3.98,0.55,0,-0.83,0.03,408457,334,W
9,0,0,0.03,-16,-48.75,33.25,-8.96,0.66,3.98,0.55,0,-0.83,0.03,408498,375,W
10,0,0,0.03,-16,-48.75,33.25,-8.96,0.66,3.98,0.55,0,-0.83,0.03,408539,416,W
11,0,0,0.03,-16.69,-49.88,33.63,-8.96,0.66,3.98,0.55,0,-0.83,0.03,408581,458,W
12,0,0,-0.01,-16.69,-49.88,33.63,-8.96,0.66,3.98,0.55,0,-0.83,0.03,408623,500,W
13,0,0,-0.01,-16.69,-49.88,33.63,-9,0.63,3.98,0.55,0,-0.83,0.03,408664,541,W
14,0,0,-0.01,-16.69,-49.88,33.63,-9,0.63,3.98,0.55,0,-0.83,0.03,408706,583,W
15,0,0,-0.01,-16.69,-49.88,33.63,-9,0.66,3.98,0.55,0,-0.83,0.03,408747,624,W
16,0,0,-0.01,-16.69,-49.88,33.63,-9,0.63,3.94,0.55,0,-0.83,0.03,408786,663,W
17,0,0.02,-0.04,-16.69,-49.88,33.63,-9,0.63,3.94,0.55,0,-0.83,0.03,408827,704,W
18,0,0.02,-0.04,-16.69,-49.88,33.63,-9,0.63,3.94,0.55,0,-0.83,0.03,408868,745,W
19,0,0.02,-0.04,-16.69,-49.88,33.63,-9,0.55,3.94,0.55,0,-0.83,0.03,408909,786,W
20,0,0.02,-0.04,-16.69,-49.88,33.63,-9,0.55,3.94,0.55,0,-0.83,0.03,408953,830,W
21,0,0.02,-0.04,-16.69,-49.88,33.63,-9.04,0.55,3.94,0.55,0,-0.83,0.03,408995,872,W
22,0,0.02,-0.04,-16.69,-49.88,33.63,-9.04,0.55,3.9,0.55,0,-0.83,0.03,409035,912,W
23,-0.01,0.04,-0.02,-16.69,-49.88,33.63,-9.04,0.55,3.9,0.55,0,-0.83,0.03,409077,954,W
24,-0.03,0.06,-0.03,-16.69,-49.88,33.63,-9.04,0.55,3.9,0.55,0,-0.83,0.03,409118,995,W
25,-0.03,0.06,-0.03,-16.69,-49.88,33.63,-9.04,0.47,3.82,0.55,0,-0.83,0.03,409159,1036,W
26,-0.03,0.06,-0.03,-16.69,-49.88,33.63,-9.04,0.44,3.79,0.55,0,-0.83,0.03,409201,1078,W
27,-0.03,0.06,-0.03,-16.69,-49.88,33.63,-9.04,0.44,3.75,0.55,0,-0.83,0.03,409243,1120,W
28,-0.03,0.06,-0.03,-16.69,-49.88,33.63,-9.04,0.4,3.75,0.55,0,-0.83,0.03,409284,1161,W
29,0,-0.01,0,-16.69,-49.88,33.63,-9.04,0.4,3.75,0.55,0,-0.83,0.03,409326,1203,W
