,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label
0,0.31,-0.21,-0.35,43.5,-65.81,8.25,8.32,-0.02,6.02,-0.02,-0.29,0.09,0.95,914097,0,W
1,0.36,0.09,-0.27,43.5,-65.81,8.25,8.32,-0.02,6.02,-0.02,-0.29,0.09,0.95,914138,41,W
2,0.36,0.09,-0.27,43.5,-65.81,8.25,7.82,0.48,5.55,-0.02,-0.29,0.09,0.95,914178,81,W
3,0.36,0.09,-0.27,43.5,-65.81,8.25,8.01,0.67,5.79,-0.02,-0.29,0.09,0.95,914217,120,W
4,0.36,0.09,-0.27,43.5,-65.81,8.25,7.55,0.82,6.25,-0.02,-0.29,0.09,0.95,914256,159,W
5,0.36,0.09,-0.27,43.63,-69.19,9.06,7.55,0.82,6.25,-0.02,-0.29,0.09,0.95,914295,198,W
6,0.36,0.09,-0.27,43.63,-69.19,9.06,8.97,1.29,5.9,-0.02,-0.29,0.09,0.95,914335,238,W
7,-0.18,-0.05,-0.15,43.63,-69.19,9.06,8.97,1.29,5.9,-0.02,-0.29,0.09,0.95,914375,278,W
8,-0.18,-0.05,-0.15,43.63,-69.19,9.06,7.86,1.44,6.02,-0.02,-0.29,0.09,0.95,914415,318,W
9,-0.18,-0.05,-0.15,43.63,-69.19,9.06,7.2,1.75,6.71,-0.02,-0.29,0.09,0.95,914454,357,W
10,-0.68,-0.15,-0.55,43.63,-69.19,9.06,7.2,1.75,6.71,-0.02,-0.29,0.09,0.95,914496,399,W
11,-0.19,-0.17,-0.67,43.63,-69.19,9.06,7.2,1.75,6.71,-0.02,-0.29,0.09,0.95,914537,440,W
12,-0.19,-0.17,-0.67,43.63,-69.19,9.06,5.86,1.78,4.71,-0.02,-0.29,0.09,0.95,914577,480,W
13,-0.19,-0.17,-0.67,43.63,-69.19,9.06,5.06,2.2,5.17,-0.02,-0.29,0.09,0.95,914618,521,W
14,-0.19,-0.17,-0.67,43.63,-69.19,9.06,5.48,3.77,5.52,-0.02,-0.29,0.09,0.95,914658,561,W
15,-0.19,-0.17,-0.67,48.13,-67.94,9.88,5.48,3.77,5.52,-0.02,-0.29,0.09,0.95,914697,600,W
16,0.98,-0.67,-2.81,48.13,-67.94,9.88,5.48,3.77,5.52,-0.02,-0.29,0.09,0.95,914737,640,W
17,0.98,-0.67,-2.81,48.13,-67.94,9.88,3.91,6.42,3.34,-0.02,-0.29,0.09,0.95,914778,681,W
18,0.98,-0.67,-2.81,48.13,-67.94,9.88,9.08,9.64,3.83,-0.02,-0.29,0.09,0.95,914818,721,W
19,0.98,-0.67,-2.81,48.13,-67.94,9.88,8.62,9.94,3.37,-0.02,-0.29,0.09,0.95,914855,758,W
20,0.67,-1.62,-2.48,48.13,-67.94,9.88,8.62,9.94,3.37,-0.02,-0.29,0.09,0.95,914895,798,W
21,0.67,-1.62,-2.48,48.13,-67.94,9.88,7.09,9.79,2.34,-0.02,-0.29,0.09,0.95,914935,838,W
22,0.52,-0.44,-1.37,48.13,-67.94,9.88,7.09,9.79,2.34,-0.02,-0.29,0.09,0.95,914975,878,W
23,0.52,-0.44,-1.37,48.13,-67.94,9.88,5.75,9.21,2.15,-0.02,-0.29,0.09,0.95,915015,918,W
24,0.52,-0.44,-1.37,48.13,-67.94,9.88,5.48,9.21,2.22,-0.02,-0.29,0.09,0.95,915054,957,W
25,0.12,-0.73,-0.15,48.13,-67.94,9.88,5.48,9.21,2.22,-0.02,-0.29,0.09,0.95,915095,998,W
26,0,-0.45,0.16,48.13,-67.94,9.88,5.48,9.21,2.22,-0.02,-0.29,0.09,0.95,915135,1038,W
27,0,-0.45,0.16,48.13,-67.94,9.88,4.52,8.75,2.15,-0.02,-0.29,0.09,0.95,915175,1078,W
28,0,-0.45,0.16,48.13,-67.94,9.88,4.1,8.79,2.07,-0.02,-0.29,0.09,0.95,915216,1119,W
29,0,-0.45,0.16,48.13,-67.94,9.88,3.99,9.02,1.73,-0.02,-0.29,0.09,0.95,915255,1158,W
30,-0.07,0.1,0.24,48.13,-67.94,9.88,3.99,9.02,1.73,-0.02,-0.29,0.09,0.95,915295,1198,W
31,-0.07,0.1,0.24,48.13,-67.94,9.88,3.8,9.02,1.5,-0.02,-0.29,0.09,0.95,915336,1239,W
32,-0.03,0.18,0.22,48.13,-67.94,9.88,3.8,9.02,1.5,-0.02,-0.29,0.09,0.95,915375,1278,W
33,-0.03,0.18,0.22,48.13,-67.94,9.88,3.53,8.98,1.57,-0.02,-0.29,0.09,0.95,915415,1318,W
34,-0.03,0.18,0.22,48.13,-67.94,9.88,3.53,9.06,1.57,-0.02,-0.29,0.09,0.95,915452,1355,W
35,0.04,0.12,0.13,48.13,-67.94,9.88,3.53,9.06,1.57,-0.02,-0.29,0.09,0.95,915493,1396,W
36,0.07,0.01,0.07,48.13,-67.94,9.88,3.53,9.06,1.57,-0.02,-0.29,0.09,0.95,915533,1436,W
37,0.07,0.01,0.07,48.13,-67.94,9.88,3.49,9.1,1.77,-0.02,-0.29,0.09,0.95,915572,1475,W
38,0.07,0.01,0.07,48.13,-67.94,9.88,3.45,9.06,1.84,-0.02,-0.29,0.09,0.95,915611,1514,W
39,0.07,0.01,0.07,48.13,-67.94,9.88,3.83,8.95,1.73,-0.02,-0.29,0.09,0.95,915649,1552,W
40,-0.07,-0.09,0.04,48.13,-67.94,9.88,3.83,8.95,1.73,-0.02,-0.29,0.09,0.95,915688,1591,W
41,-0.09,-0.16,-0.01,48.13,-67.94,9.88,3.83,8.95,1.73,-0.02,-0.29,0.09,0.95,915727,1630,W
42,-0.09,-0.16,-0.01,48.13,-67.94,9.88,4.14,8.79,1.54,-0.02,-0.29,0.09,0.95,915767,1670,W
43,-0.09,-0.16,-0.01,48.13,-67.94,9.88,4.25,8.79,1.5,-0.02,-0.29,0.09,0.95,915806,1709,W
44,-0.04,-0.17,-0.02,48.13,-67.94,9.88,4.25,8.79,1.5,-0.02,-0.29,0.09,0.95,915847,1750,W
45,-0.03,-0.19,-0.02,48.13,-67.94,9.88,4.25,8.79,1.5,-0.02,-0.29,0.09,0.95,915887,1790,W
46,-0.03,-0.19,-0.02,48.13,-67.94,9.88,4.25,8.83,1.96,-0.02,-0.29,0.09,0.95,915927,1830,W
47,-0.03,-0.19,-0.02,48.13,-67.94,9.88,4.33,8.83,1.8,-0.02,-0.29,0.09,0.95,915968,1871,W
48,-0.03,-0.19,-0.02,48.13,-67.94,9.88,4.41,8.75,1.73,-0.02,-0.29,0.09,0.95,916007,1910,W
49,-0.03,-0.19,-0.02,51.38,-62.81,10.63,4.41,8.75,1.73,-0.02,-0.29,0.09,0.95,916046,1949,W
50,-0.03,-0.19,-0.02,51.38,-62.81,10.63,4.29,8.71,1.65,-0.02,-0.29,0.09,0.95,916088,1991,W
51,0.03,0.11,-0.04,51.38,-62.81,10.63,4.29,8.71,1.65,-0.02,-0.29,0.09,0.95,916129,2032,W
52,0.03,0.11,-0.04,51.38,-62.81,10.63,3.99,8.52,1.57,-0.02,-0.29,0.09,0.95,916169,2072,W
53,0.03,0.11,-0.04,51.38,-62.81,10.63,3.91,8.41,1.3,-0.02,-0.29,0.09,0.95,916210,2113,W
54,0.03,0.11,-0.04,51.38,-62.81,10.63,4.06,8.91,1.11,-0.02,-0.29,0.09,0.95,916249,2152,W
55,0.13,-0.22,0.16,51.38,-62.81,10.63,4.06,8.91,1.11,-0.02,-0.29,0.09,0.95,916289,2192,W
56,0.13,-0.22,0.16,51.38,-62.81,10.63,4.29,9.37,1.46,-0.02,-0.29,0.09,0.95,916328,2231,W
57,0.13,-0.22,0.16,51.38,-62.81,10.63,4.71,9.25,1.92,-0.02,-0.29,0.09,0.95,916368,2271,W
58,0.13,-0.22,0.16,51.38,-62.81,10.63,5.25,8.95,2.34,-0.02,-0.29,0.09,0.95,916407,2310,W
59,0.13,-0.22,0.16,52.06,-63.25,11,5.25,8.95,2.34,-0.02,-0.29,0.09,0.95,916446,2349,W
60,0.27,0.63,-0.21,52.06,-63.25,11,5.25,8.95,2.34,-0.02,-0.29,0.09,0.95,916486,2389,W
61,0.27,0.63,-0.21,52.06,-63.25,11,3.99,9.33,0.84,-0.02,-0.29,0.09,0.95,916527,2430,W
62,0.27,0.63,-0.21,52.06,-63.25,11,3.49,9.14,0.46,-0.02,-0.29,0.09,0.95,916567,2470,W
63,0.27,0.63,-0.21,52.06,-63.25,11,3.49,9.33,0.46,-0.02,-0.29,0.09,0.95,916604,2507,W
64,-0.04,0.28,-0.45,52.06,-63.25,11,3.49,9.33,0.46,-0.02,-0.29,0.09,0.95,916644,2547,W
65,-0.04,0.28,-0.45,52.06,-63.25,11,3.57,9.6,0.69,-0.02,-0.29,0.09,0.95,916685,2588,W
66,0.01,0.17,-0.49,52.06,-63.25,11,3.57,9.6,0.69,-0.02,-0.29,0.09,0.95,916726,2629,W
67,0.01,0.17,-0.49,52.06,-63.25,11,3.18,9.48,0.8,-0.02,-0.29,0.09,0.95,916765,2668,W
68,0.01,0.17,-0.49,52.06,-63.25,11,3.14,9.33,0.92,-0.02,-0.29,0.09,0.95,916804,2707,W
69,-0.18,-0.31,-0.09,52.06,-63.25,11,3.14,9.33,0.92,-0.02,-0.29,0.09,0.95,916844,2747,W
70,-0.23,-0.71,0.19,52.06,-63.25,11,3.14,9.33,0.92,-0.02,-0.29,0.09,0.95,916886,2789,W
71,-0.23,-0.71,0.19,52.06,-63.25,11,2.61,8.6,0.84,-0.02,-0.29,0.09,0.95,916926,2829,W
72,-0.23,-0.71,0.19,52.06,-63.25,11,2.72,8.91,0.69,-0.02,-0.29,0.09,0.95,916967,2870,W
73,-0.23,-0.71,0.19,52.06,-63.25,11,2.99,9.6,1.11,-0.02,-0.29,0.09,0.95,917007,2910,W
74,-0.23,-0.71,0.19,52.13,-64,12.25,2.99,9.6,1.11,-0.02,-0.29,0.09,0.95,917046,2949,W
75,-0.23,-0.71,0.19,52.13,-64,12.25,2.88,9.64,2.38,-0.02,-0.29,0.09,0.95,917086,2989,W
76,-0.23,-0.71,0.19,52.13,-64,12.25,2.8,9.41,2.68,-0.02,-0.29,0.09,0.95,917127,3030,W
77,-0.23,-0.71,0.19,52.13,-64,12.25,4.18,9.02,2.18,-0.02,-0.29,0.09,0.95,917167,3070,W
78,-0.23,-0.71,0.19,52.13,-64,12.25,4.06,8.71,1.88,-0.02,-0.29,0.09,0.95,917207,3110,W
79,-0.23,-0.71,0.19,52.13,-63.94,10.19,4.06,8.71,1.88,-0.02,-0.29,0.09,0.95,917246,3149,W
80,-0.31,-0.14,0.1,52.13,-63.94,10.19,4.06,8.71,1.88,-0.02,-0.29,0.09,0.95,917286,3189,W
