,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31
0,44,38,35,35,37,34,37,37,30,29,33,34,30,28,28,28,29,27,27,26,30,30,28,26,22,25,24,21,22,22,18,16
1,28,25,27,26,27,22,24,23,23,19,20,20,18,18,18,24,22,13,13,15,14,14,13,13,13,7,8,8,8,7,3,1
2,8,128,61,59,60,63,128,128,62,129,129,129,62,131,130,128,130,130,130,128,128,62,128,63,61,62,59,59,58,62,60,63
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,128,129,62,132,61,129,61,58,60,129,62,133,132,132,135,130,131,62,128,131,130,133,129,62,63,59,63,133,129,134,130
5,1,132,128,128,63,62,63,128,128,63,135,128,131,131,128,129,63,58,133,131,128,128,130,131,131,131,132,129,128,128,129,130
6,3,128,128,128,128,133,63,130,128,131,128,62,130,128,131,129,132,128,131,128,132,129,131,63,129,62,134,63,135,136,132,134
7,16,47,54,50,53,62,58,60,62,128,128,62,128,62,129,59,129,63,133,60,61,63,63,62,128,128,129,134,62,130,128,132
8,19,20,22,21,20,18,21,19,24,21,24,23,20,23,23,22,24,23,21,23,24,22,25,22,20,23,22,22,29,23,32,24
9,12,12,14,14,11,13,13,14,17,16,23,15,16,22,17,18,19,17,16,19,17,18,17,15,14,22,17,20,15,20,16,18
10,19,12,16,17,16,13,10,11,10,11,16,10,14,16,16,20,13,15,11,11,16,10,13,17,17,15,11,15,16,8,9,12
11,10,10,10,10,10,16,15,11,12,9,13,14,13,14,8,11,13,12,24,21,7,8,9,12,11,9,12,10,10,11,13,9
12,16,130,133,131,132,132,131,63,131,129,128,129,130,128,130,132,62,134,133,129,133,128,135,131,138,133,129,63,133,130,128,128
13,18,131,62,63,61,128,131,61,133,128,132,128,128,128,130,128,134,128,132,134,135,135,133,131,55,4,,129,134,131,129,131
14,129,133,138,129,133,132,129,133,129,134,132,132,62,132,59,131,131,,1,62,135,133,128,132,59,134,62,132,133,131,63,63
15,20,21,22,25,28,20,26,17,25,24,23,21,19,15,18,16,20,19,19,19,18,19,18,15,19,17,18,16,15,18,15,19
16,143,24,25,28,30,26,30,31,26,29,27,28,23,23,25,25,24,24,24,23,24,23,21,24,22,24,24,24,20,21,20,19
17,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16,17,14,20,13,17,15,16,15,18,18,19,17,18,16,18,16,12,14,15,18,13,13,13,13,13,15,20,16,15,19,15
19,16,12,15,15,18,21,11,19,11,14,18,14,18,16,14,14,15,15,13,13,14,13,16,18,19,18,20,24,23,20,17,19
20,40,37,34,38,40,38,32,34,29,26,31,32,31,29,29,26,29,29,27,25,31,26,29,27,24,23,22,19,20,18,20,17
21,29,30,27,24,26,24,25,24,25,26,23,18,19,21,17,22,20,16,12,13,13,10,13,11,15,8,7,10,10,6,5,4
22,,130,63,129,63,63,62,63,63,63,133,128,133,129,133,131,131,128,131,63,129,128,128,61,134,128,130,129,133,132,134,133
23,8,1,64,125,,68,122,,57,63,62,61,1,122,60,60,62,61,63,62,60,63,1,5,5,70,8,13,10,71,3,6
