,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31
0,140,60,57,130,54,63,60,128,57,54,60,53,53,57,58,52,120,57,53,55,52,55,54,48,53,55,46,37,36,40,33,36
1,128,145,132,142,135,129,141,59,210,60,198,135,132,138,134,130,130,63,195,134,133,134,135,131,137,139,146,143,131,139,61,4
2,56,54,52,60,57,50,51,49,45,40,51,53,36,44,35,39,28,28,31,30,38,46,43,24,32,40,37,38,43,49,47,42
3,26,18,19,18,18,14,13,22,10,14,18,15,24,15,20,15,16,23,20,15,8,19,22,22,35,33,35,44,37,42,42,44
4,21,21,16,14,19,21,18,15,10,9,17,13,15,18,16,12,14,18,21,19,19,20,22,23,23,29,32,31,38,43,51,11
5,37,37,42,36,36,41,29,35,34,36,29,26,36,31,34,38,35,43,43,39,42,49,63,51,58,6,63,3,5,10,3,12
6,66,42,42,42,22,17,20,85,14,81,21,85,28,31,86,94,27,28,80,22,30,27,20,24,29,91,95,31,107,107,99,102
7,48,6,62,4,62,62,61,1,6,68,122,3,114,2,63,50,56,56,54,54,58,61,12,8,118,,62,55,58,60,54,58
8,135,128,131,63,125,122,125,126,122,193,129,133,137,129,135,63,197,130,138,132,131,128,135,128,62,52,62,123,208,128,134,63
9,17,25,27,26,29,27,95,31,93,28,89,28,31,99,100,87,84,20,25,28,30,25,26,22,18,20,20,20,23,84,17,83
10,21,129,136,131,130,133,137,134,136,128,130,62,194,63,195,131,134,130,133,128,63,194,131,129,133,128,130,129,130,138,128,143
11,136,132,137,131,63,196,132,129,131,62,194,130,132,128,131,128,129,55,124,124,121,125,196,57,195,62,197,62,217,133,137,134
12,28,32,31,31,99,33,28,30,29,27,26,26,92,26,95,25,28,25,31,91,84,87,90,93,27,18,31,36,25,91,28,87
13,24,29,27,35,26,96,34,33,34,43,31,29,106,35,30,98,32,34,24,93,103,32,98,95,87,27,24,30,36,36,29,96
14,140,114,47,49,48,194,50,116,130,45,112,52,44,113,60,47,112,52,56,123,119,112,113,112,48,47,47,43,44,46,44,109
15,35,98,31,96,30,98,36,41,24,40,25,28,31,28,45,99,38,97,32,112,48,52,44,101,32,26,27,94,35,96,35,30
16,134,46,41,50,40,53,45,49,105,36,37,44,39,35,49,61,49,44,113,48,110,59,53,57,51,51,126,119,109,108,49,52
17,38,38,39,43,42,44,41,42,41,40,46,51,44,46,39,105,103,49,46,46,46,50,41,37,101,46,108,104,113,102,38,98
18,38,34,99,29,32,37,27,38,28,31,34,28,29,93,26,29,28,93,27,89,27,27,34,39,33,97,41,47,50,102,31,99
19,140,134,137,130,60,133,59,53,63,62,59,114,118,51,61,52,58,54,62,49,48,52,48,48,48,42,39,39,34,34,40,33
20,48,46,44,41,46,53,105,47,104,36,38,32,30,30,35,29,34,25,23,29,25,17,89,19,84,16,86,73,72,73,11,6
21,7,,61,4,120,59,53,52,5,67,114,46,54,44,40,45,39,39,41,43,41,44,46,46,38,39,42,46,43,48,56,53
22,35,36,26,29,24,22,24,26,20,19,19,13,16,13,18,19,23,14,21,28,22,26,21,20,17,15,20,23,31,33,42,45
23,38,35,38,31,34,101,24,98,21,26,30,92,32,27,25,86,27,30,27,90,30,93,32,35,38,35,37,47,49,101,29,34
