,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31
0,11,11,8,10,8,10,10,9,7,6,11,12,10,12,11,10,7,10,8,12,14,13,7,6,9,10,8,8,8,7,4,6
1,12,12,13,11,12,13,10,10,9,9,9,11,8,9,11,9,7,9,11,7,8,10,6,3,3,3,5,3,3,4,5,4
2,130,130,130,128,130,131,63,130,128,60,129,62,62,62,61,62,128,63,63,128,63,128,60,61,60,62,63,63,63,128,63,129
3,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
4,1,3,5,5,6,4,5,3,4,4,4,34,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,128,128,128,128,128,128,128,130,63,129,62,128,62,128,128,130,63,63,62,129,62,63,60,128,60,129,60,128,62,62,63
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,2,,,,,,1,,1,,,,2,4,2,5,7,3,,,2,2,2,,,,,,,
9,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,3,3,4,3,4,3
10,128,3,6,3,7,6,7,3,11,7,9,12,6,6,7,6,7,9,9,9,9,8,16,20,19,11,10,8,9,9,7,6
11,2,6,8,7,4,5,7,5,5,6,4,6,5,7,4,5,8,5,7,9,6,8,8,8,8,10,10,8,10,9,11,9
12,128,128,62,132,128,129,130,60,63,62,57,61,59,128,59,131,128,129,61,62,61,130,56,62,58,59,130,128,128,130,129,59
13,3,4,3,3,6,3,5,10,10,6,7,5,3,5,5,5,5,6,5,7,5,5,4,4,4,5,4,5,6,6,3,2
14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,1,1,2,1,3,5,3,4,1,2,4,3,1,2,3,2,1,2,2,3,1,2,5,4,2,2,2,3,4,1,2
16,2,3,,,3,2,2,2,2,1,1,1,2,1,1,1,2,2,,,3,1,2,,,,,,,,2,
17,,,1,,3,3,3,2,1,2,2,2,1,2,2,3,1,3,7,4,,,,1,1,1,6,1,4,1,2,
18,3,6,5,4,4,5,4,4,3,4,4,2,1,3,4,4,2,2,3,2,6,4,5,4,3,4,4,5,6,3,3,2
19,131,130,62,131,63,129,62,129,62,129,128,129,62,128,60,63,63,129,63,63,62,62,62,62,62,129,128,131,128,129,128,130
20,63,61,62,61,62,63,62,62,63,61,62,62,62,128,128,63,63,63,63,63,128,128,128,63,128,63,129,128,129,128,129,128
21,3,2,1,3,2,3,3,2,5,3,2,3,2,,1,2,1,3,1,3,6,3,3,2,3,1,2,4,3,2,3,4
22,3,4,5,5,5,5,3,3,2,2,2,1,1,1,2,4,5,2,3,4,7,,1,3,2,1,3,1,3,2,3,2
23,4,4,4,4,3,4,2,5,2,2,4,3,4,2,3,2,4,3,1,2,3,4,3,6,5,6,6,9,9,5,3,4
