,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31
0,48,2,128,1,128,,128,,128,2,128,9,128,11,128,13,128,19,128,12,127,2,121,4,117,7,110,15,43,31,42,53
1,165,177,177,177,177,177,177,176,176,176,176,177,176,176,177,177,177,178,177,177,177,177,178,177,177,177,176,177,176,176,176,175
2,101,92,117,36,56,43,57,41,57,39,57,34,62,36,132,93,136,67,138,42,140,43,141,51,138,57,135,59,133,57,136,54
3,177,50,51,51,53,52,54,51,54,53,54,53,51,51,45,46,37,44,93,102,90,98,91,101,31,43,41,48,53,53,53,55
4,123,128,67,128,67,128,66,128,65,128,60,128,57,128,52,128,51,128,49,128,47,128,47,128,51,128,49,128,51,128,53,128
5,109,72,128,71,128,68,128,69,128,66,128,63,128,61,128,63,128,54,128,47,128,44,128,42,128,41,128,41,128,40,128,42
6,118,73,135,73,134,74,135,76,136,73,138,70,137,64,137,59,139,53,135,44,140,34,140,29,140,16,141,5,142,,136,
7,245,85,125,81,114,74,106,75,103,67,98,61,96,64,97,65,100,70,102,76,104,80,104,77,106,76,108,79,113,82,120,74
8,65,92,149,86,151,86,149,88,144,88,134,87,132,87,132,86,134,90,135,90,135,88,132,79,130,59,129,55,126,61,131,66
9,27,27,27,30,34,41,49,60,2,71,5,67,,58,56,55,51,48,47,45,45,47,52,57,57,57,54,49,46,43,45,43
10,56,50,49,51,48,52,50,52,52,52,52,51,51,51,49,50,51,51,53,53,55,51,59,50,130,49,131,54,62,56,62,57
11,113,24,132,88,134,88,132,88,134,26,133,24,132,25,134,25,132,25,131,25,133,24,134,22,135,87,138,87,137,83,136,82
12,173,55,49,57,50,59,52,59,51,57,50,56,50,56,50,56,50,57,50,56,49,58,49,56,44,53,41,114,101,50,45,57
13,182,186,251,187,251,188,251,187,252,187,251,188,252,188,252,188,252,189,253,190,254,191,159,185,247,245,245,244,239,237,233,228
14,166,144,206,133,183,174,160,153,153,155,158,160,158,143,116,92,75,69,65,62,56,52,52,46,40,39,40,41,40,39,40,40
15,183,246,181,180,179,176,234,167,230,163,224,154,210,138,191,173,154,133,109,90,68,55,50,47,46,45,45,45,44,44,44,44
16,44,177,177,176,176,176,176,176,176,176,177,177,177,177,177,177,177,177,177,177,178,178,178,178,178,178,178,178,178,178,178,178
17,21,65,56,56,56,57,54,56,58,59,64,63,58,51,48,48,50,48,43,41,50,98,159,176,172,160,158,157,156,155,153,153
18,47,128,2,128,,128,,128,4,128,11,128,11,128,12,128,19,128,15,127,2,121,4,117,7,112,17,45,34,39,54,47
19,53,53,53,54,51,51,51,50,50,52,54,58,63,66,70,73,72,70,69,69,68,69,76,88,34,107,51,47,43,31,22,79
20,22,52,52,51,52,51,52,51,54,55,55,55,56,56,55,56,56,55,55,57,56,59,58,57,58,60,61,62,65,64,64,64
21,36,36,35,37,39,41,46,51,59,66,70,73,75,78,79,78,74,71,65,58,49,40,34,32,30,30,30,28,28,29,30,29
22,33,33,33,32,31,32,30,30,30,30,29,30,29,29,31,29,28,29,30,31,31,33,35,37,39,40,40,36,34,29,27,27
23,19,63,55,54,55,56,53,54,55,58,63,62,56,49,47,45,48,46,41,38,48,92,153,169,162,153,150,149,149,149,146,148
