,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31
0,7,6,5,8,8,7,6,7,6,5,5,6,8,6,5,6,6,5,4,5,5,4,4,5,5,4,4,3,4,7,4,4
1,6,6,6,6,5,6,4,5,5,6,5,5,5,5,6,5,3,4,4,4,4,4,3,2,3,3,4,4,4,5,5,4
2,5,4,5,5,4,6,5,5,4,5,4,5,4,5,5,7,7,4,6,6,5,4,5,5,5,4,4,4,6,4,3,3
3,128,2,2,2,4,4,4,2,1,2,2,2,2,1,3,3,2,3,3,2,4,4,3,3,4,3,3,4,3,4,3,4
4,1,1,1,4,3,2,2,2,1,1,2,3,1,1,1,1,,,1,,1,2,2,,,1,,1,2,2,1,1
5,6,4,4,4,4,4,4,3,3,4,3,2,1,2,2,2,2,2,1,2,2,,1,1,1,1,1,,,1,,
6,,,,,,1,,,,3,3,,2,1,,,,,,,,1,2,,,,1,1,2,1,,1
7,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1
8,1,,1,,,,,,,,,1,,,,,,,,,,,,,,1,1,2,2,2,2,3
9,63,129,63,131,62,129,62,128,63,62,63,63,129,128,128,128,63,62,61,63,128,128,63,128,128,130,62,138,62,131,62,63
10,128,5,5,5,3,4,4,5,5,4,3,3,4,5,3,4,4,6,4,4,5,5,6,3,4,4,4,4,4,4,4,4
11,6,62,62,128,63,128,129,62,128,63,129,128,132,63,63,63,128,63,62,128,63,63,63,130,128,63,63,129,63,128,62,63
12,63,63,128,62,63,62,128,128,62,63,63,129,129,63,128,128,129,128,63,62,61,63,62,63,62,128,61,63,62,63,62,128
13,4,5,5,5,4,4,6,7,5,6,5,4,5,5,5,4,6,5,5,7,6,4,4,5,5,6,4,4,4,5,5,5
14,4,4,5,4,4,5,4,5,5,4,5,5,5,4,5,4,4,4,5,3,5,4,4,5,6,3,5,4,3,4,2,5
15,130,128,62,129,62,62,62,63,61,63,60,60,59,62,61,128,61,62,60,62,61,129,61,128,62,62,63,62,128,62,63,63
16,4,3,3,3,3,4,4,4,5,5,4,5,5,7,5,4,4,5,6,4,4,4,3,3,4,3,4,3,3,3,4,4
17,4,5,4,3,4,3,2,2,3,3,2,2,3,3,3,4,5,4,3,5,4,4,4,4,4,4,5,4,6,5,4,4
18,5,5,4,6,6,5,5,4,4,5,4,5,5,5,4,5,4,6,4,5,6,5,6,5,5,5,4,5,4,5,5,4
19,5,4,5,5,4,4,6,5,5,4,5,4,4,4,5,5,5,4,6,6,6,4,5,5,3,2,3,3,4,4,5,4
20,7,8,6,6,6,7,5,6,7,7,7,7,7,7,7,7,8,8,7,6,6,35,4,5,3,3,4,4,6,4,6,5
21,5,6,5,6,5,5,6,4,5,5,6,6,5,5,4,5,4,4,4,6,6,6,6,6,6,6,6,6,6,5,6,4
22,5,5,6,5,6,5,5,6,4,4,5,5,5,5,4,4,4,4,4,3,4,4,5,6,6,6,5,8,7,6,4,5
