,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31
0,130,194,63,125,192,128,128,128,128,63,127,192,131,131,141,135,132,128,130,128,63,127,192,62,192,128,136,129,132,130,63,194
1,29,130,131,134,135,62,192,58,124,120,125,196,63,194,132,138,131,139,137,135,129,136,131,135,62,198,61,126,123,192,128,131
2,51,130,136,132,133,134,135,132,62,133,129,140,131,133,129,130,63,62,58,134,57,131,56,128,130,136,62,133,131,60,60,58
3,20,131,63,131,62,131,56,133,63,134,134,128,130,61,63,130,128,134,60,130,62,61,131,131,129,61,57,63,58,132,58,133
4,33,28,24,25,19,16,25,23,23,20,27,29,31,27,27,29,38,28,35,41,38,38,40,45,54,49,46,58,55,62,3,8
5,7,61,,67,2,5,6,67,123,58,62,1,59,58,1,125,7,71,69,74,13,9,9,15,14,18,27,30,34,36,31,34
6,39,45,44,36,38,45,112,100,97,109,51,114,43,41,42,46,44,46,57,133,59,49,48,54,54,59,47,53,60,52,50,57
7,37,63,207,129,63,125,197,130,129,133,63,196,128,132,63,126,126,126,124,127,126,127,196,137,133,131,138,129,132,63,193,62
8,19,27,30,29,26,30,44,34,43,38,114,97,101,55,103,100,34,37,33,44,40,42,101,36,43,106,43,111,104,41,36,35
9,36,39,88,93,84,27,29,22,29,27,101,27,103,95,107,92,89,29,27,90,28,28,28,29,31,30,30,26,89,94,91,90
10,97,129,135,59,193,60,124,125,195,61,200,129,129,131,60,127,125,124,126,124,193,61,198,61,194,128,58,123,126,195,128,133
11,25,27,33,32,43,52,120,46,42,34,34,30,35,37,33,40,44,46,105,43,102,101,105,41,44,45,36,36,40,36,48,45
12,53,28,31,101,24,96,32,35,104,108,32,30,26,35,35,43,106,39,44,28,90,31,30,34,35,44,47,97,42,47,36,104
13,56,128,133,136,132,135,129,133,132,131,137,133,130,62,125,126,192,128,137,56,203,53,204,60,121,127,125,203,138,134,131,128
14,122,50,109,41,103,46,51,108,42,52,46,45,106,109,46,109,55,118,109,111,54,120,61,55,122,113,58,55,51,54,56,49
15,37,31,39,43,35,30,98,33,100,44,98,92,29,34,29,26,22,37,96,39,107,97,93,93,111,99,116,109,104,96,99,93
16,38,38,39,100,34,114,41,25,29,41,110,36,102,38,34,30,39,97,31,40,33,40,102,98,99,35,32,30,35,100,105,39
17,36,31,40,41,37,111,98,105,24,29,43,99,40,99,34,33,32,29,25,88,30,31,35,41,39,41,38,45,52,110,34,104
18,131,25,21,89,28,89,92,93,85,22,91,35,43,43,37,34,36,45,49,46,109,44,45,50,54,50,113,54,51,51,22,149
19,59,132,137,128,136,130,134,131,132,134,128,130,132,134,134,128,151,56,219,47,194,56,199,63,126,194,55,195,58,196,62,127
20,130,33,109,107,97,99,33,23,30,24,93,26,85,24,85,20,19,16,13,5,5,,60,62,3,63,60,60,56,63,54,49
21,26,28,22,19,18,15,17,16,16,17,17,29,23,15,27,31,22,15,17,14,21,21,21,22,22,25,29,35,34,38,44,42
22,18,13,17,15,13,15,18,14,8,12,16,16,17,21,17,24,12,19,33,25,26,31,30,36,23,27,32,44,41,53,49,54
23,36,30,36,31,40,105,93,102,90,93,33,28,31,92,32,29,32,26,25,28,31,30,32,39,38,102,35,46,47,104,34,100
