,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31
0,131,62,137,62,132,62,197,133,58,193,132,129,62,125,123,126,122,192,129,136,130,131,61,125,126,125,195,62,194,63,201,131
1,49,45,41,102,31,32,30,39,38,29,25,25,29,23,23,85,24,87,15,8,9,17,80,76,67,65,62,2,8,71,64,59
2,38,128,135,134,134,139,138,148,139,136,136,134,131,131,136,131,136,135,129,136,128,132,134,128,131,128,131,132,130,135,60,129
3,133,130,129,130,131,130,132,128,135,129,46,55,50,129,128,139,130,142,129,136,128,131,56,59,55,129,60,128,132,63,128,131
4,33,24,23,25,25,18,15,19,18,16,15,24,21,27,27,24,28,24,30,39,36,31,32,39,43,48,49,51,46,52,58,3
5,60,2,58,63,58,63,56,58,56,53,55,54,52,51,57,58,60,63,58,8,4,72,74,69,10,79,23,93,88,89,22,24
6,25,63,197,129,137,131,134,63,201,63,204,61,213,128,133,129,129,63,195,63,196,130,138,129,146,128,144,132,133,132,128,131
7,41,43,47,106,41,45,39,43,43,45,45,109,46,116,48,104,102,47,47,48,50,46,47,57,52,55,113,45,43,44,45,44
8,25,29,29,30,90,24,32,35,37,100,113,99,101,115,99,102,33,31,31,107,41,101,98,31,28,42,36,103,97,100,35,28
9,25,94,85,91,84,24,93,18,25,22,98,23,98,84,101,22,83,29,27,94,28,27,26,22,26,90,25,84,90,89,86,87
10,21,15,77,12,74,4,5,7,22,11,82,94,72,70,5,9,9,70,7,77,74,8,17,8,4,8,7,14,70,11,88,74
11,34,33,30,30,33,30,28,29,37,28,33,33,33,26,27,29,30,89,22,32,31,94,30,98,20,35,41,101,34,30,35,27
12,30,132,133,137,128,135,128,128,52,194,133,141,63,197,56,195,60,125,127,124,194,130,128,129,59,194,128,135,60,196,131,129
13,26,33,107,89,108,92,104,98,91,101,90,93,39,36,37,37,37,99,35,30,89,36,38,34,31,31,32,31,32,30,31,33
14,193,63,196,130,137,136,139,140,58,204,63,197,63,198,136,130,129,128,62,194,63,195,60,194,58,126,127,125,125,126,196,61
15,31,30,26,26,25,27,27,28,94,98,27,87,20,22,27,27,29,27,24,92,89,28,39,37,27,29,36,26,94,26,93,94
16,28,27,36,36,30,102,36,31,27,30,43,100,35,97,20,28,25,34,31,90,29,36,96,33,29,45,49,103,38,36,40,35
17,60,59,63,129,61,132,132,137,129,132,63,136,61,132,132,128,139,63,140,63,130,61,131,63,62,59,55,57,40,114,198,131
18,32,36,102,31,98,103,95,97,26,27,31,95,32,27,28,31,31,33,21,87,25,38,37,107,39,103,37,48,46,107,31,100
19,137,61,60,133,61,131,59,128,58,122,60,52,51,55,117,55,60,56,53,52,48,56,55,105,120,115,52,38,45,41,32,39
20,46,44,49,48,46,103,41,102,34,35,32,33,29,88,28,93,18,19,29,30,23,81,72,12,72,71,20,75,10,71,8,7
21,12,4,61,60,58,3,66,113,55,45,54,46,48,49,41,49,44,40,32,38,38,37,36,36,38,37,40,46,49,43,50,50
22,34,29,23,24,30,21,16,12,20,24,18,16,16,16,21,18,19,24,25,23,20,21,16,22,19,22,23,29,31,39,39,44
23,33,28,31,93,31,101,23,97,18,26,33,26,32,27,25,93,27,27,27,90,25,26,29,37,33,30,35,41,42,100,32,96
