,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31
0,61,48,44,42,42,44,41,42,42,43,48,48,44,39,36,35,37,35,33,30,35,68,111,125,121,114,112,111,112,111,108,110
1,174,56,136,52,133,53,131,56,135,60,134,62,138,71,142,73,143,73,125,63,22,61,16,2,12,1,14,3,18,9,17,11
2,41,104,108,119,132,148,155,155,152,142,128,59,53,56,60,133,146,159,167,167,167,166,165,166,165,167,170,169,166,165,161,156
3,140,189,157,232,172,236,171,233,171,236,169,226,142,183,151,121,48,111,114,113,108,106,102,116,155,149,173,176,177,178,179,179
4,36,97,95,99,106,113,123,143,159,178,190,138,142,143,144,143,142,137,184,164,140,116,94,87,82,80,79,80,80,82,80,82
5,40,82,91,87,104,89,104,83,103,81,104,82,105,83,109,82,101,78,101,77,103,76,37,7,99,72,106,77,107,79,110,80
6,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,64,,16,137,6,128,17,128,38,128,47,128,53,128,49,128,50
7,178,36,128,27,128,28,128,33,128,38,128,40,128,53,128,57,128,66,128,80,128,96,128,119,128,127,128,128,128,128,128,128
8,186,251,189,253,189,253,187,250,185,249,185,248,183,246,181,179,179,179,179,179,179,179,179,180,180,181,180,180,181,182,186,254
9,183,185,185,249,184,248,183,247,183,248,185,249,185,250,186,250,185,249,186,250,187,253,190,255,191,191,191,191,191,191,191,191
10,174,174,176,187,203,162,240,178,245,184,185,249,184,247,182,244,179,177,175,173,174,175,176,178,180,182,183,181,179,176,156,140
11,166,229,229,230,230,230,231,231,230,231,232,232,233,234,237,236,236,234,230,226,221,211,130,178,169,169,172,178,177,176,172,170
12,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,190,189,252,186,247,245,242,239,173,237,175
13,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,190,189,251,185,248
14,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,190,189,251,186,251,187,251,188,252
15,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191
16,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191
17,190,252,184,245,245,245,246,182,247,248,248,250,246,238,233,168,233,167,220,144,226,184,254,255,191,191,191,191,191,191,191,191
18,183,249,187,252,189,252,187,249,183,246,181,181,181,182,182,183,185,249,186,252,189,252,187,251,187,251,188,252,188,250,185,247
19,189,250,244,237,232,228,226,226,226,226,227,227,227,227,229,228,230,232,230,230,232,235,237,237,238,236,235,236,235,172,238,178
20,129,138,145,153,160,168,240,249,253,254,255,255,191,191,253,187,246,235,222,206,173,156,148,145,142,143,143,142,142,143,147,150
21,155,154,150,148,148,146,147,147,143,143,143,142,140,142,140,143,142,140,142,142,144,144,144,148,145,147,143,144,139,138,135,133
22,181,183,184,249,187,251,188,252,188,252,189,252,188,252,189,253,189,253,190,254,189,254,190,253,189,252,189,253,189,253,188,252
23,185,248,184,248,184,248,184,248,184,247,183,247,182,247,183,249,186,250,185,250,185,248,183,246,182,245,181,182,182,184,186,252
24,153,171,153,149,147,148,145,149,151,153,165,161,152,133,124,123,126,123,110,104,125,211,247,189,255,255,191,191,191,191,191,191
