,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31
0,9,61,61,60,63,128,63,62,63,61,128,61,63,62,62,61,128,62,130,62,129,60,62,63,63,62,131,63,129,61,128,61
1,9,8,8,8,7,7,8,7,7,8,8,7,6,5,8,7,6,6,6,5,6,5,5,5,5,3,4,3,2,3,3,3
2,6,1,2,2,,,,,1,1,,,1,,1,1,2,2,2,2,2,5,5,5,4,5,7,5,5,6,6,9
3,4,3,1,2,2,2,1,2,1,2,3,2,3,2,3,3,2,3,2,3,3,3,2,2,2,3,3,2,2,2,2,2
4,,4,4,4,5,5,6,6,7,6,6,6,35,,,,,,,,,,,1,,1,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,62,4,4,3,3,3,4,4,3,2,2,1,2,1,2,2,1,,,,,,,,,,2,2,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,128,1,2,,,1,1,,1,3,2,1,1,1,3,2,2,4,3,2,2,1,3,2,1,2,4,1,2,2,3,2
9,,,,,,,1,,1,,,,,,,,,,,,3,,1,2,3,1,3,4,4,3,3,2
10,,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,2,3,3,3,6,5
11,1,7,7,6,8,8,8,8,9,8,8,8,9,7,8,6,6,6,6,6,6,34,1,2,1,2,,2,3,2,2,2
12,4,4,6,5,6,6,5,6,4,5,5,6,5,6,5,4,5,6,6,6,7,6,7,7,6,7,7,6,6,7,7,6
13,7,7,7,7,7,6,6,6,5,6,5,5,6,9,7,5,6,6,6,6,6,6,6,6,6,5,5,6,5,6,5,7
14,7,6,6,5,7,4,4,4,4,3,4,4,5,4,5,4,3,2,3,3,3,2,1,2,2,1,1,2,1,1,,
15,4,7,6,6,7,6,6,6,7,6,6,4,4,6,6,5,5,5,6,5,5,4,6,7,4,5,4,4,5,4,4,4
16,4,4,4,4,5,4,4,9,7,9,5,6,5,6,6,6,7,6,5,7,6,5,7,6,5,8,7,7,5,5,5,6
17,3,128,63,63,63,128,63,128,63,63,63,128,62,62,62,63,63,128,62,129,63,63,63,63,63,63,63,63,63,128,63,63
18,1,2,2,3,3,4,4,3,3,3,3,4,4,4,3,5,4,3,5,5,3,3,3,3,4,3,5,3,4,3,5,3
19,3,2,1,2,2,1,2,3,3,3,3,3,4,3,3,3,3,5,4,5,3,4,4,5,4,4,5,6,5,7,6,5
20,62,63,129,62,128,63,130,61,129,62,128,62,63,62,63,62,129,62,128,61,63,61,63,61,128,61,128,128,129,62,62,60
21,129,128,61,63,61,63,61,128,63,128,63,62,61,63,62,63,128,63,129,63,60,63,60,129,61,130,61,130,128,63,129,61
22,61,63,62,128,128,62,63,61,62,63,63,61,128,63,63,62,128,60,63,60,63,62,128,128,128,128,63,129,63,128,63,128
23,4,4,4,2,4,4,1,4,,2,4,3,4,1,1,2,1,2,3,1,3,2,2,5,5,5,5,7,7,5,2,5
