,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Xgg,Ygg,Zgg,Xaa,Yaa,Zaa
0,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.55,-2.7,0.12,-0.71,0.01,0.67,0.21,473028.0,2855.0,W,-2.518138019,-2.844963188,1.331468465,3.022605252,2.797451934,0.780367799,0.0,0.0,0.0,-0.0009756097560975402,-0.0017073170731707278,0.0
1,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.59,-2.77,0.12,-0.71,0.01,0.67,0.21,473069.0,2896.0,W,-2.456760656,-2.986593399,0.982392639,-2.978634636,2.85186138,0.765941003,0.0,0.0,0.0,-0.0017073170731707386,0.0009756097560975618,0.006585365853658537
2,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473110.0,2937.0,W,-1.627492709,-2.992485068,0.580454856,-2.768780686,2.876381406,0.936671251,-0.004047619047619047,-0.0045238095238095246,0.025952380952380956,0.0,0.0,0.0
3,-0.21,-0.4,1.24,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473152.0,2979.0,W,-1.465458185,-2.960812332,0.144669666,-2.751444369,2.867231534,1.057715367,0.0026829268292682925,0.002195121951219513,0.02439024390243903,0.0,0.0,0.0
4,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473193.0,3020.0,W,-1.695737446,-3.065859373,-0.30681344,-2.875652481,2.826452849,1.070731209,0.0,0.0,0.0,-0.06285714285714288,-0.009999999999999998,-0.0009523809523809532
5,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-12.3,-3.15,0.35,-0.71,0.01,0.67,0.21,473235.0,3062.0,W,-2.016449097,2.971901972,-0.758960024,-3.075966434,2.743187494,1.042416072,0.0,0.0,0.0,-0.07487804878048777,0.0017073170731707278,-0.008536585365853657
6,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-15.37,-3.08,0.0,-0.71,0.01,0.67,0.21,473276.0,3103.0,W,-2.363620609,2.647457811,-1.200737557,2.969132811,2.60904554,0.99835367,0.0,0.0,0.0,-0.055348837209302344,0.008139534883720932,0.02767441860465116
7,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473319.0,3146.0,W,-2.717076881,2.288091172,-1.626053014,2.716284652,2.425069318,0.91817892,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.1,-0.31,2.24,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473361.0,3188.0,W,-3.067621617,1.920571673,-2.031774446,2.467912171,2.185017211,0.781903742,-0.035476190476190474,-0.022857142857142857,-0.09333333333333334,0.0,0.0,0.0
9,-1.59,-1.27,-1.68,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473403.0,3230.0,W,2.875620704,1.563264859,-2.414818638,2.248714158,1.88405885,0.588892818,0.0280952380952381,0.03666666666666667,-0.025238095238095243,0.0,0.0,0.0
10,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473445.0,3272.0,W,2.554940359,1.231641779,-2.771494432,2.109287451,1.528046915,0.355255981,0.0,0.0,0.0,0.29365853658536584,0.01951219512195122,-0.005609756097560975
11,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-5.71,-1.93,0.96,-0.71,0.01,0.67,0.21,473486.0,3313.0,W,2.264773142,0.941244288,-3.097077433,2.182089745,1.124457601,0.09956714,0.0,0.0,0.0,-0.06424999999999999,0.04425,0.05175
12,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-8.28,-0.16,3.03,-0.71,0.01,0.67,0.21,473526.0,3353.0,W,2.016858839,0.709248193,2.900484886,2.623463025,0.677740391,-0.159804688,0.0,0.0,0.0,-0.07500000000000001,0.03642857142857143,-0.0019047619047618959
13,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-11.43,1.37,2.95,-0.71,0.01,0.67,0.21,473568.0,3395.0,W,1.816389961,0.542841663,2.679375236,2.946583101,0.19030481,-0.401550434,0.0,0.0,0.0,0.0,0.0,0.0
14,-0.41,0.27,-2.74,26.75,-128.13,12.75,-11.43,1.37,2.95,-0.71,0.01,0.67,0.21,473608.0,3435.0,W,1.652029022,0.406693919,2.555932258,2.952327155,-0.345185783,-0.59631967,0.0,0.0,0.0,-0.027441860465116274,0.04883720930232558,-0.023023255813953494
15,-0.41,0.27,-2.74,26.75,-128.13,12.75,-12.61,3.47,1.96,-0.71,0.01,0.67,0.21,473651.0,3478.0,W,1.488918735,0.234440679,2.517558499,2.827536582,-0.924037207,-0.672714306,0.0073809523809523795,0.010238095238095237,0.013333333333333334,0.0,0.0,0.0
16,-0.1,0.7,-2.18,26.75,-128.13,12.75,-12.61,3.47,1.96,-0.71,0.01,0.67,0.21,473693.0,3520.0,W,1.284504621,-0.009085568,2.4708706,2.663645694,-1.512391172,-0.489755548,0.0,0.0,0.0,0.019999999999999997,-0.10761904761904763,-0.02095238095238095
