,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Xgg,Ygg,Zgg,Xaa,Yaa,Zaa
20,0.23,-1.6,2.52,16.63,-111.25,-31.94,-9.55,-3.15,0.16,-0.71,0.01,0.67,0.24,571941.0,6201.0,W,-0.402531936,2.719061266,-0.285510685,2.642853305,-2.408673106,-2.598419689,0.0,0.0,0.0,-0.08928571428571429,0.002619047619047616,0.021904761904761906
21,0.23,-1.6,2.52,16.63,-111.25,-31.94,-13.3,-3.04,1.08,-0.71,0.01,0.67,0.24,571983.0,6243.0,W,-0.938430304,2.268956171,-0.739875523,2.45272913,-2.74939771,2.915884226,0.0,0.0,0.0,-0.01883720930232555,0.020465116279069766,0.0034883720930232536
22,0.23,-1.6,2.52,16.63,-111.25,-31.94,-14.11,-2.16,1.23,-0.71,0.01,0.67,0.24,572026.0,6286.0,W,-1.474004401,1.821322219,-1.183985289,2.307665178,-3.110919593,2.308563774,0.0,0.0,0.0,0.184,-0.25475,-0.10925
23,0.23,-1.6,2.52,16.63,-111.25,-31.94,-6.75,-12.35,-3.14,-0.71,0.01,0.67,0.24,572066.0,6326.0,W,-1.881991356,1.38037251,-1.614219262,2.364511801,2.799037003,1.799232704,-0.010000000000000002,0.048604651162790696,-0.054883720930232555,0.0,0.0,0.0
24,-0.2,0.49,0.16,16.63,-111.25,-31.94,-6.75,-12.35,-3.14,-0.71,0.01,0.67,0.24,572109.0,6369.0,W,-1.127405993,0.95149196,-2.028397904,3.096051578,2.417844148,1.350385454,0.0,0.0,0.0,-0.007045454545454536,0.10977272727272727,0.1315909090909091
25,-0.2,0.49,0.16,16.63,-111.25,-31.94,-7.06,-7.52,2.65,-0.71,0.01,0.67,0.24,572153.0,6413.0,W,-0.487631946,0.541231398,-2.424575021,-2.716308913,2.029526422,0.945277709,0.007619047619047619,-0.0004761904761904766,-0.061666666666666675,0.0,0.0,0.0
26,0.12,0.47,-2.43,16.63,-111.25,-31.94,-7.06,-7.52,2.65,-0.71,0.01,0.67,0.24,572195.0,6455.0,W,-0.791763008,0.158234179,-2.800926929,-2.775584842,1.635888947,0.579945994,0.0,0.0,0.0,-0.059756097560975614,0.10195121951219512,-0.03
27,0.12,0.47,-2.43,16.63,-111.25,-31.94,-9.51,-3.34,1.42,-0.71,0.01,0.67,0.24,572236.0,6496.0,W,-1.170148352,-0.179712612,3.128462865,-2.966634672,1.240112925,0.260557819,0.0,0.0,0.0,-0.0838095238095238,0.030952380952380946,0.039285714285714285
28,0.12,0.47,-2.43,16.63,-111.25,-31.94,-13.03,-2.04,3.07,-0.71,0.01,0.67,0.24,572278.0,6538.0,W,-1.551701393,-0.438120561,2.800401218,3.093071739,0.848095643,0.000936619,0.0,0.0,0.0,-0.009047619047619066,0.06,-0.002857142857142849
29,0.12,0.47,-2.43,16.63,-111.25,-31.94,-13.41,0.48,2.95,-0.71,0.01,0.67,0.24,572320.0,6580.0,W,-1.933377565,-0.535111375,2.51778148,2.873626106,0.474632271,-0.165410051,0.0,0.0,0.0,0.0,0.0,0.0
