,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label,,,0
0,0,0,0.01,-0.56,5,9.63,4.27,9.05,0.43,0.27,-0.27,0.58,0.72,481065,0,W,,6410,6410
1,0.01,0.02,0.01,-0.56,5,9.63,4.27,9.05,0.43,0.27,-0.27,0.58,0.72,481103,38,W,,2120,8530
2,0.01,0.02,0.01,-0.56,5,9.63,4.23,9.01,0.39,0.27,-0.27,0.58,0.72,481142,77,W,,7480,16010
3,0.01,0.02,0.01,-0.56,5,9.63,4.23,9.05,0.47,0.27,-0.27,0.58,0.72,481180,115,W,,3000,19010
4,0.01,0.02,0.01,-0.56,5,9.63,4.23,9.08,0.39,0.27,-0.27,0.58,0.72,481217,152,W,,8750,27760
5,0,0.01,0,-0.56,5,9.63,4.23,9.08,0.39,0.27,-0.27,0.58,0.72,481254,189,W,,1450,29210
6,0,0.01,0,-0.56,5,9.63,4.23,9.05,0.39,0.27,-0.27,0.58,0.72,481293,228,W,,,
7,0,0.01,0,-0.56,5,9.63,4.27,9.01,0.39,0.27,-0.27,0.58,0.72,481332,267,W,,,
8,0,0.01,0,-0.56,5,9.63,4.27,9.01,0.35,0.27,-0.27,0.58,0.72,481369,304,W,,,
9,-0.01,-0.02,0.01,-0.56,5,9.63,4.27,9.01,0.35,0.27,-0.27,0.58,0.72,481408,343,W,,,
10,-0.01,-0.02,0.01,-0.56,5,9.63,4.27,9.08,0.35,0.27,-0.27,0.58,0.72,481445,380,W,,,
11,-0.01,-0.02,0.01,-0.56,5,9.63,4.3,9.08,0.39,0.27,-0.27,0.58,0.72,481484,419,W,,,
12,-0.01,-0.02,0.01,-0.56,5,9.63,4.3,8.97,0.54,0.27,-0.27,0.58,0.72,481522,457,W,,,
13,-0.01,-0.02,0.01,-0.25,9,9.19,4.3,8.97,0.54,0.27,-0.27,0.58,0.72,481560,495,W,,,
14,-0.02,-0.03,-0.01,-0.25,9,9.19,4.3,8.97,0.54,0.27,-0.27,0.58,0.72,481599,534,W,,,
15,-0.02,-0.03,-0.01,-0.25,9,9.19,4.42,9.01,0.47,0.27,-0.27,0.58,0.72,481638,573,W,,,
16,-0.02,-0.03,-0.01,-0.25,9,9.19,4.34,8.93,0.47,0.27,-0.27,0.58,0.72,481678,613,W,,,
17,-0.02,-0.03,-0.01,-0.25,9,9.19,4.34,8.97,0.39,0.27,-0.27,0.58,0.72,481716,651,W,,,
18,0.02,0.04,-0.02,-0.25,9,9.19,4.34,8.97,0.39,0.27,-0.27,0.58,0.72,481754,689,W,,,
19,0.02,0.04,-0.02,-0.25,9,9.19,4.34,8.97,0.39,0.27,-0.27,0.58,0.72,481792,727,W,,,
20,0.02,0.04,-0.02,-0.25,9,9.19,4.23,9.01,0.43,0.27,-0.27,0.58,0.72,481831,766,W,,,
21,0.02,0.04,-0.02,-0.25,9,9.19,4.27,9.08,0.47,0.27,-0.27,0.58,0.72,481868,803,W,,,
22,0.04,0.09,-0.01,-0.25,9,9.19,4.27,9.08,0.47,0.27,-0.27,0.58,0.72,481907,842,W,,,
