,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.01,0.01,0.01,4.63,-10.56,9.19,0.67,4.69,8.78,0.60,0.38,0.56,0.43,880997
1,-0.00,-0.01,0.00,4.63,-10.56,9.19,0.67,4.69,8.78,0.60,0.38,0.56,0.43,881036
2,-0.00,-0.01,0.00,4.63,-10.56,9.19,0.67,4.69,8.78,0.60,0.38,0.56,0.43,881075
3,-0.00,-0.01,0.00,4.63,-10.56,9.19,0.67,4.61,8.82,0.60,0.38,0.56,0.43,881112
4,0.02,0.03,0.03,4.63,-10.56,9.19,0.67,4.61,8.82,0.60,0.38,0.56,0.43,881152
5,0.01,0.01,0.02,4.63,-10.56,9.19,0.67,4.61,8.82,0.60,0.38,0.56,0.43,881189
6,0.01,0.01,0.02,4.63,-10.56,9.19,0.67,4.69,8.78,0.60,0.38,0.56,0.43,881227
7,0.01,0.01,0.02,4.63,-10.56,9.19,0.74,4.65,8.78,0.60,0.38,0.56,0.43,881263
8,-0.04,-0.07,0.03,4.63,-10.56,9.19,0.74,4.65,8.78,0.60,0.38,0.56,0.43,881302
9,-0.04,-0.07,0.03,4.63,-10.56,9.19,0.82,4.69,8.82,0.60,0.38,0.56,0.43,881342
10,0.00,0.02,0.03,4.63,-10.56,9.19,0.82,4.69,8.82,0.60,0.38,0.56,0.43,881381
11,0.00,0.02,0.03,4.63,-10.56,9.19,0.78,4.61,8.86,0.60,0.38,0.56,0.43,881418
12,0.00,0.02,0.03,4.63,-10.56,9.19,0.78,4.61,8.86,0.60,0.38,0.56,0.43,881455
13,0.00,0.02,0.03,4.63,-10.56,9.19,0.78,4.57,8.86,0.60,0.38,0.56,0.43,881495
14,0.02,0.05,-0.02,4.63,-10.56,9.19,0.78,4.57,8.86,0.60,0.38,0.56,0.43,881533
15,0.02,0.05,-0.02,4.63,-10.56,9.19,0.71,4.65,8.78,0.60,0.38,0.56,0.43,881571
