,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,-0.01,-0.13,-0.01,-7.19,-7.06,14.94,2.47,9.40,2.30,0.48,-0.39,-0.32,0.72,696557
1,-0.01,-0.13,-0.01,-7.19,-7.06,14.94,2.58,9.40,2.38,0.48,-0.39,-0.32,0.72,696598
2,-0.01,-0.05,0.02,-7.19,-7.06,14.94,2.58,9.40,2.38,0.48,-0.39,-0.32,0.72,696638
3,-0.01,-0.05,0.02,-7.19,-7.06,14.94,2.54,9.40,2.38,0.48,-0.39,-0.32,0.72,696679
4,-0.01,-0.05,0.02,-7.19,-7.06,14.94,2.51,9.40,2.34,0.48,-0.39,-0.32,0.72,696717
5,0.01,0.01,0.01,-7.19,-7.06,14.94,2.51,9.40,2.34,0.48,-0.39,-0.32,0.72,696758
6,0.02,0.04,-0.01,-7.19,-7.06,14.94,2.51,9.40,2.34,0.48,-0.39,-0.32,0.72,696797
7,0.02,0.04,-0.01,-7.19,-7.06,14.94,2.54,9.48,2.34,0.48,-0.39,-0.32,0.72,696837
8,0.02,0.04,-0.01,-7.19,-7.06,14.94,2.51,9.44,2.23,0.48,-0.39,-0.32,0.72,696877
9,0.02,0.04,-0.01,-7.19,-7.06,14.94,2.43,9.44,2.19,0.48,-0.39,-0.32,0.72,696914
10,0.00,-0.01,-0.01,-7.19,-7.06,14.94,2.43,9.44,2.19,0.48,-0.39,-0.32,0.72,696954
11,-0.00,-0.02,-0.00,-7.19,-7.06,14.94,2.43,9.44,2.19,0.48,-0.39,-0.32,0.72,696994
12,-0.00,-0.02,-0.00,-7.19,-7.06,14.94,2.66,9.36,2.42,0.48,-0.39,-0.32,0.72,697036
13,-0.00,-0.02,-0.00,-7.19,-7.06,14.94,2.62,9.32,2.46,0.48,-0.39,-0.32,0.72,697076
14,-0.00,-0.02,-0.00,-7.19,-7.06,14.94,2.62,9.36,2.38,0.48,-0.39,-0.32,0.72,697116
15,0.01,0.06,0.01,-7.19,-7.06,14.94,2.62,9.36,2.38,0.48,-0.39,-0.32,0.72,697157
