,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label,,,0
0,-0.03,-0.06,0.01,-3.81,8.81,2.31,4.73,8.63,1.31,0.28,-0.58,-0.44,0.63,363572,0,W,,6220,6220
1,-0.03,-0.06,0.01,-3.81,8.81,2.31,4.69,8.52,1.35,0.28,-0.58,-0.44,0.63,363609,37,W,,2370,8590
2,-0.01,-0.03,0,-3.81,8.81,2.31,4.69,8.52,1.35,0.28,-0.58,-0.44,0.63,363648,76,W,,8800,17390
3,-0.01,-0.03,0,-3.81,8.81,2.31,4.69,8.52,1.35,0.28,-0.58,-0.44,0.63,363686,114,W,,3320,20710
4,-0.01,-0.03,0,-3.81,8.81,2.31,4.84,8.55,1.39,0.28,-0.58,-0.44,0.63,363725,153,W,,5060,25770
5,-0.01,-0.03,0,-3.81,8.81,2.31,4.8,8.52,1.39,0.28,-0.58,-0.44,0.63,363762,190,W,,,
6,-0.01,0.01,0.01,-3.81,8.81,2.31,4.8,8.52,1.39,0.28,-0.58,-0.44,0.63,363802,230,W,,,
7,-0.02,0,0.02,-3.81,8.81,2.31,4.8,8.52,1.39,0.28,-0.58,-0.44,0.63,363841,269,W,,,
8,-0.02,0,0.02,-3.81,8.81,2.31,4.69,8.59,1.35,0.28,-0.58,-0.44,0.63,363880,308,W,,,
9,-0.02,0,0.02,-3.81,8.81,2.31,4.69,8.63,1.39,0.28,-0.58,-0.44,0.63,363920,348,W,,,
10,-0.02,0,0.02,-3.81,8.81,2.31,4.77,8.59,1.43,0.28,-0.58,-0.44,0.63,363958,386,W,,,
11,-0.01,0.01,0.01,-3.81,8.81,2.31,4.77,8.59,1.43,0.28,-0.58,-0.44,0.63,363996,424,W,,,
12,-0.01,0.01,0.01,-3.81,8.81,2.31,4.77,8.55,1.43,0.28,-0.58,-0.44,0.63,364035,463,W,,,
13,-0.01,0.01,0.01,-3.81,8.81,2.31,4.8,8.55,1.39,0.28,-0.58,-0.44,0.63,364072,500,W,,,
14,-0.01,0.01,0.01,-3.81,8.81,2.31,4.77,8.55,1.39,0.28,-0.58,-0.44,0.63,364110,538,W,,,
15,-0.01,0.02,0,-3.81,8.81,2.31,4.77,8.55,1.39,0.28,-0.58,-0.44,0.63,364149,577,W,,,
16,0,0.02,0,-3.81,8.81,2.31,4.77,8.55,1.39,0.28,-0.58,-0.44,0.63,364188,616,W,,,
17,0,0.02,0,-3.81,8.81,2.31,4.73,8.55,1.43,0.28,-0.58,-0.44,0.63,364226,654,W,,,
18,0,0.02,0,-3.81,8.81,2.31,4.8,8.59,1.43,0.28,-0.58,-0.44,0.63,364264,692,W,,,
19,0,0.02,0,-3.13,8.44,2.31,4.8,8.59,1.43,0.28,-0.58,-0.44,0.63,364302,730,W,,,
20,0.02,0.05,0,-3.13,8.44,2.31,4.8,8.59,1.43,0.28,-0.58,-0.44,0.63,364341,769,W,,,
21,0.02,0.05,0,-3.13,8.44,2.31,4.77,8.55,1.5,0.28,-0.58,-0.44,0.63,364380,808,W,,,
22,0.02,0.05,0,-3.13,8.44,2.31,4.8,8.55,1.46,0.28,-0.58,-0.44,0.63,364420,848,W,,,
23,0.02,0.05,0,-3.13,8.44,2.31,4.77,8.52,1.46,0.28,-0.58,-0.44,0.63,364456,884,W,,,
24,0.03,0.06,0,-3.13,8.44,2.31,4.77,8.52,1.46,0.28,-0.58,-0.44,0.63,364494,922,W,,,
25,0.03,0.06,0,-3.13,8.44,2.31,4.73,8.55,1.5,0.28,-0.58,-0.44,0.63,364533,961,W,,,
26,0.03,0.06,0,-3.13,8.44,2.31,4.73,8.55,1.46,0.28,-0.58,-0.44,0.63,364571,999,W,,,
27,0.03,0.06,0,-3.13,8.44,2.31,4.69,8.59,1.46,0.28,-0.58,-0.44,0.63,364609,1037,W,,,
28,0.02,0.04,0,-3.13,8.44,2.31,4.69,8.59,1.46,0.28,-0.58,-0.44,0.63,364646,1074,W,,,
29,0.01,0.02,0,-3.13,8.44,2.31,4.69,8.59,1.46,0.28,-0.58,-0.44,0.63,364685,1113,W,,,
30,0.01,0.02,0,-3.13,8.44,2.31,4.73,8.55,1.43,0.28,-0.58,-0.44,0.63,364723,1151,W,,,
31,0.01,0.02,0,-3.13,8.44,2.31,4.73,8.55,1.43,0.28,-0.58,-0.44,0.63,364761,1189,W,,,
32,0,0.02,0,-3.13,8.44,2.31,4.73,8.55,1.43,0.28,-0.58,-0.44,0.63,364798,1226,W,,,
33,0.01,0.02,0,-3.13,8.44,2.31,4.73,8.55,1.43,0.28,-0.58,-0.44,0.63,364837,1265,W,,,
34,0.01,0.02,0,-3.13,8.44,2.31,4.77,8.52,1.43,0.28,-0.58,-0.44,0.63,364875,1303,W,,,
35,0.01,0.02,0,-3.13,8.44,2.31,4.77,8.55,1.43,0.28,-0.58,-0.44,0.63,364913,1341,W,,,
