,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.08,0.01,0.04,37.31,7.81,40.00,-6.11,6.98,2.84,-0.21,0.55,0.76,0.29,3475155
1,0.08,0.01,0.04,37.31,7.81,40.00,-6.11,6.98,2.84,-0.21,0.55,0.75,0.29,3475650
2,0.08,0.01,0.04,37.38,7.50,37.88,-6.11,6.98,2.84,-0.21,0.55,0.75,0.29,3475674
3,-0.04,0.02,-0.02,37.38,7.50,37.88,-6.11,6.98,2.84,-0.21,0.55,0.75,0.29,3475698
4,-0.04,0.02,-0.02,37.38,7.50,37.88,-6.14,6.86,3.00,-0.21,0.55,0.75,0.29,3475713
5,0.01,0.03,0.00,37.38,7.50,37.88,-6.14,6.86,3.00,-0.21,0.55,0.75,0.29,3475729
6,0.01,0.03,0.00,37.38,7.50,37.88,-6.03,6.94,2.84,-0.21,0.55,0.75,0.29,3475743
7,-0.00,0.03,-0.03,37.38,7.50,37.88,-6.03,6.94,2.84,-0.21,0.55,0.75,0.29,3475759
8,-0.00,0.03,-0.03,37.38,7.50,37.88,-6.03,6.94,2.84,-0.21,0.55,0.75,0.29,3476768
9,-0.00,0.03,-0.03,37.38,7.50,37.88,-6.18,6.94,2.88,-0.21,0.55,0.75,0.29,3476934
10,-0.00,0.03,-0.03,37.38,7.50,37.88,-6.03,6.86,3.00,-0.21,0.55,0.75,0.29,3476964
11,-0.00,0.03,-0.03,37.38,7.50,37.88,-6.11,6.94,2.92,-0.21,0.55,0.75,0.29,3476998
12,-0.00,0.03,-0.03,37.38,7.50,37.88,-6.26,6.90,3.04,-0.21,0.55,0.75,0.29,3477018
13,-0.00,0.03,-0.03,37.38,7.50,37.88,-6.14,6.94,3.00,-0.21,0.55,0.75,0.29,3477037
14,-0.00,0.03,-0.03,37.38,7.50,37.88,-6.03,6.98,2.88,-0.21,0.55,0.75,0.29,3477057
15,-0.03,-0.01,-0.05,37.38,7.50,37.88,-6.03,6.98,2.88,-0.21,0.55,0.75,0.29,3477084
16,-0.03,-0.01,-0.05,37.38,7.50,37.88,-6.03,6.98,2.88,-0.21,0.55,0.75,0.29,3477106
17,-0.03,-0.01,-0.05,37.38,7.50,37.88,-6.30,6.90,3.04,-0.21,0.55,0.75,0.29,3477125
18,0.00,-0.01,0.01,37.38,7.50,37.88,-6.30,6.90,3.04,-0.21,0.55,0.75,0.29,3477146
19,0.00,-0.01,0.01,37.38,7.50,37.88,-6.22,6.98,3.00,-0.21,0.55,0.75,0.29,3477164
20,-0.01,-0.01,0.02,37.38,7.50,37.88,-6.22,6.98,3.00,-0.21,0.55,0.75,0.29,3477186
21,-0.01,-0.01,0.02,37.38,7.50,37.88,-6.03,6.94,2.96,-0.21,0.55,0.75,0.29,3477203
22,-0.01,-0.01,0.02,37.38,7.50,37.88,-6.11,6.90,3.00,-0.21,0.55,0.75,0.29,3477219
23,0.01,0.00,0.02,37.38,7.50,37.88,-6.11,6.90,3.00,-0.21,0.55,0.75,0.29,3477238
24,0.01,0.00,0.02,37.38,7.50,37.88,-6.07,6.94,2.96,-0.21,0.55,0.75,0.29,3477257
25,-0.01,0.00,-0.04,37.38,7.50,37.88,-6.07,6.94,2.96,-0.21,0.55,0.75,0.29,3477275
26,-0.01,0.00,-0.04,37.38,7.50,37.88,-6.07,6.94,2.96,-0.21,0.55,0.75,0.29,3477300
27,-0.01,0.00,-0.04,37.38,7.50,37.88,-6.07,6.90,2.96,-0.21,0.55,0.75,0.29,3477315
28,-0.00,0.01,-0.02,37.38,7.50,37.88,-6.07,6.90,2.96,-0.21,0.55,0.75,0.29,3477341
29,-0.00,0.01,-0.02,37.38,7.50,37.88,-6.30,6.94,3.04,-0.21,0.55,0.75,0.29,3477357
30,-0.00,0.01,-0.02,37.38,7.50,37.88,-6.22,6.98,2.96,-0.21,0.55,0.75,0.29,3477373
31,0.01,-0.01,0.03,37.38,7.50,37.88,-6.22,6.98,2.96,-0.21,0.55,0.75,0.29,3477396
32,0.01,-0.01,0.03,37.38,7.50,37.88,-5.99,6.90,2.96,-0.21,0.55,0.75,0.29,3477412
33,0.01,0.01,0.01,37.38,7.50,37.88,-5.99,6.90,2.96,-0.21,0.55,0.75,0.29,3477436
34,0.01,0.01,0.01,37.38,7.50,37.88,-6.11,6.90,3.00,-0.21,0.55,0.75,0.29,3477454
35,0.01,0.01,0.01,37.38,7.50,37.88,-6.14,6.94,3.00,-0.21,0.55,0.75,0.29,3477471
36,0.02,0.01,0.00,37.38,7.50,37.88,-6.14,6.94,3.00,-0.21,0.55,0.75,0.29,3477502
37,0.02,0.01,0.00,37.38,7.50,37.88,-5.95,6.98,2.84,-0.21,0.55,0.75,0.29,3477518
38,-0.04,0.01,-0.04,37.38,7.50,37.88,-5.95,6.98,2.84,-0.21,0.55,0.75,0.29,3477537
39,-0.04,0.01,-0.04,37.38,7.50,37.88,-6.30,6.90,3.11,-0.21,0.55,0.75,0.29,3477559
40,0.03,0.00,0.03,37.38,7.50,37.88,-6.30,6.90,3.11,-0.21,0.55,0.75,0.29,3477577
41,0.03,0.00,0.03,36.88,7.25,37.25,-6.30,6.90,3.11,-0.21,0.55,0.75,0.29,3477599
42,0.03,0.00,0.03,36.88,7.25,37.25,-6.18,6.98,2.92,-0.21,0.55,0.75,0.29,3477618
43,-0.01,-0.01,0.01,36.88,7.25,37.25,-6.18,6.98,2.92,-0.21,0.55,0.75,0.29,3477645
44,-0.01,-0.01,0.01,36.88,7.25,37.25,-6.11,6.90,3.04,-0.21,0.55,0.75,0.29,3477663
45,0.01,0.00,-0.00,36.88,7.25,37.25,-6.11,6.90,3.04,-0.21,0.55,0.75,0.29,3477688
46,0.01,0.00,-0.00,36.88,7.25,37.25,-6.07,6.94,2.96,-0.21,0.55,0.75,0.29,3477705
47,0.01,0.00,-0.00,36.88,7.25,37.25,-5.99,6.94,2.88,-0.21,0.55,0.75,0.29,3477722
48,-0.02,0.01,-0.03,36.88,7.25,37.25,-5.99,6.94,2.88,-0.21,0.55,0.75,0.29,3477753
49,-0.02,0.01,-0.03,36.88,7.25,37.25,-6.22,6.90,3.04,-0.21,0.55,0.75,0.29,3477770
50,0.03,0.01,0.02,36.88,7.25,37.25,-6.22,6.90,3.04,-0.21,0.55,0.75,0.29,3477795
51,0.03,0.01,0.02,36.88,7.25,37.25,-6.18,6.94,3.00,-0.21,0.55,0.75,0.29,3477818
52,0.03,0.01,0.02,36.88,7.25,37.25,-6.03,6.98,2.88,-0.21,0.55,0.75,0.29,3477838
53,0.03,0.01,0.02,36.88,7.25,37.25,-6.14,6.94,2.96,-0.21,0.55,0.75,0.29,3477854
54,0.01,-0.02,0.04,36.88,7.25,37.25,-6.14,6.94,2.96,-0.21,0.55,0.75,0.29,3477867
55,0.01,-0.02,0.04,36.88,7.25,37.25,-6.14,6.94,2.96,-0.21,0.55,0.75,0.29,3477896
56,0.01,-0.02,0.04,36.88,7.25,37.25,-6.03,6.98,2.92,-0.21,0.55,0.75,0.29,3477915
