,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label,,,0
0,0.09,0.11,0.02,1.06,8.13,1.88,4.54,8.81,0.39,0.22,-0.64,-0.48,0.55,252912,0,W,,5690,5690
1,0.09,0.11,0.02,1.06,8.13,1.88,4.5,8.77,0.35,0.22,-0.64,-0.48,0.55,252949,37,W,,1870,7560
2,-0.04,-0.09,0.03,1.06,8.13,1.88,4.5,8.77,0.35,0.22,-0.64,-0.48,0.55,252986,74,W,,7420,14980
3,-0.04,-0.09,0.03,1.06,8.13,1.88,4.7,8.62,0.23,0.22,-0.64,-0.48,0.55,253025,113,W,,1060,16040
4,-0.04,-0.09,0.03,1.06,8.13,1.88,4.81,8.43,0.31,0.22,-0.64,-0.48,0.55,253064,152,W,,,
5,-0.04,-0.09,0.03,1.06,8.13,1.88,5,8.39,0.5,0.22,-0.64,-0.48,0.55,253101,189,W,,,
6,0.01,0.02,0.01,1.06,8.13,1.88,5,8.39,0.5,0.22,-0.64,-0.48,0.55,253139,227,W,,,
7,0.01,0.02,0.01,1.06,8.13,1.88,5,8.66,0.54,0.22,-0.64,-0.48,0.55,253177,265,W,,,
8,0.01,0.02,0.01,1.06,8.13,1.88,4.85,8.7,0.54,0.22,-0.64,-0.48,0.55,253215,303,W,,,
9,0.01,0.02,0.01,1.06,8.13,1.88,4.62,8.77,0.42,0.22,-0.64,-0.48,0.55,253253,341,W,,,
10,0.01,0.02,0.01,1.38,7.69,3.81,4.62,8.77,0.42,0.22,-0.64,-0.48,0.55,253290,378,W,,,
11,-0.03,-0.04,0,1.38,7.69,3.81,4.62,8.77,0.42,0.22,-0.64,-0.48,0.55,253328,416,W,,,
12,-0.03,-0.04,0,1.38,7.69,3.81,4.66,8.66,0.39,0.22,-0.64,-0.48,0.55,253366,454,W,,,
13,-0.03,-0.04,0,1.38,7.69,3.81,4.73,8.66,0.39,0.22,-0.64,-0.48,0.55,253405,493,W,,,
14,-0.03,-0.04,0,0.13,8,2.69,4.73,8.66,0.39,0.22,-0.64,-0.48,0.55,253442,530,W,,,
15,-0.03,-0.04,-0.01,0.13,8,2.69,4.73,8.66,0.39,0.22,-0.64,-0.48,0.55,253480,568,W,,,
16,-0.03,-0.04,-0.01,0.13,8,2.69,4.85,8.47,0.5,0.22,-0.64,-0.48,0.55,253518,606,W,,,
17,-0.03,-0.04,-0.01,0.13,8,2.69,4.85,8.47,0.5,0.22,-0.64,-0.48,0.55,253558,646,W,,,
18,-0.03,-0.04,-0.01,0.13,8,2.69,4.93,8.47,0.42,0.22,-0.64,-0.48,0.55,253595,683,W,,,
19,0.01,0.04,-0.01,0.13,8,2.69,4.93,8.47,0.42,0.22,-0.64,-0.48,0.55,253635,723,W,,,
20,0.01,0.04,-0.01,0.13,8,2.69,4.85,8.54,0.42,0.22,-0.64,-0.48,0.55,253673,761,W,,,
21,0.01,0.04,-0.01,0.13,8,2.69,4.77,8.62,0.35,0.22,-0.64,-0.48,0.55,253712,800,W,,,
22,0.01,0.04,-0.01,0.13,8,2.69,4.7,8.58,0.35,0.22,-0.64,-0.48,0.55,253749,837,W,,,
23,0.01,0.01,0.01,0.13,8,2.69,4.7,8.58,0.35,0.22,-0.64,-0.48,0.55,253788,876,W,,,
24,0,-0.03,0.01,0.13,8,2.69,4.7,8.58,0.35,0.22,-0.64,-0.48,0.55,253825,913,W,,,
25,0,-0.03,0.01,0.13,8,2.69,4.81,8.58,0.46,0.22,-0.64,-0.48,0.55,253862,950,W,,,
26,0,-0.03,0.01,0.13,8,2.69,4.85,8.54,0.5,0.22,-0.64,-0.48,0.55,253900,988,W,,,
27,0,0.01,0.01,0.13,8,2.69,4.85,8.54,0.5,0.22,-0.64,-0.48,0.55,253940,1028,W,,,
28,0.01,0.02,-0.01,0.13,8,2.69,4.85,8.54,0.5,0.22,-0.64,-0.48,0.55,253978,1066,W,,,
29,0.01,0.02,-0.01,0.13,8,2.69,4.73,8.62,0.46,0.22,-0.64,-0.48,0.55,254016,1104,W,,,
30,0.01,0.02,-0.01,0.13,8,2.69,4.7,8.66,0.5,0.22,-0.64,-0.48,0.55,254054,1142,W,,,
31,0.01,0.02,-0.01,0.06,8,4.25,4.7,8.66,0.5,0.22,-0.64,-0.48,0.55,254092,1180,W,,,
