,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,DirecFTion,SensorFTime,FTime,Label
49,0,0,0,16.5,-109.75,-29.63,-9.2,-3.04,0.12,-0.71,0.01,0.67,0.24,567759,2019,FT
50,0,0,0,16.5,-109.75,-29.63,-9.24,-3.04,0.08,-0.71,0.01,0.67,0.24,567800,2060,FT
51,0,0.01,-0.01,16.5,-109.75,-29.63,-9.24,-3.04,0.08,-0.71,0.01,0.67,0.24,567841,2101,FT
52,0,0.01,-0.01,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,567884,2144,FT
53,0,0.01,-0.01,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,567927,2187,FT
54,0,0.01,-0.01,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,567967,2227,FT
55,0,0,0,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,568009,2269,FT
56,0,0,0,16.5,-109.75,-29.63,-9.2,-3.08,0.08,-0.71,0.01,0.67,0.24,568051,2311,FT
57,0,0,-0.01,16.5,-109.75,-29.63,-9.2,-3.08,0.08,-0.71,0.01,0.67,0.24,568093,2353,FT
58,0,0,-0.01,16.5,-109.75,-29.63,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,568134,2394,FT
59,0,0,-0.01,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,568177,2437,FT
60,0,0,-0.01,16.5,-109.75,-29.63,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,568217,2477,FT
61,0,0,0,16.5,-109.75,-29.63,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,568259,2519,FT
62,0,0,0,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,568299,2559,FT
63,0,0,0,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,568341,2601,FT
64,0,0,0,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,568382,2642,FT
65,0,0,0,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,568425,2685,FT
66,0,0,0,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,568464,2724,FT
67,0,-0.01,0,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,568506,2766,FT
68,0,-0.01,0,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,568547,2807,FT
69,0,-0.01,0,16.5,-109.75,-29.63,-9.2,-3.04,0.12,-0.71,0.01,0.67,0.24,568589,2849,FT
70,0,-0.01,0,16.5,-109.75,-29.63,-9.2,-3.08,0.08,-0.71,0.01,0.67,0.24,568630,2890,FT
71,0,-0.01,0,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,568671,2931,FT
72,0,-0.01,0,16.5,-109,-28.75,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,568713,2973,FT
73,0.01,0,0,16.5,-109,-28.75,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,568755,3015,FT
74,0.01,0,0,16.5,-109,-28.75,-9.2,-3.04,0.12,-0.71,0.01,0.67,0.24,568797,3057,FT
75,0.01,0,0,16.5,-109,-28.75,-9.24,-3.04,0.08,-0.71,0.01,0.67,0.24,568839,3099,FT
76,0.01,0,0,16.5,-109,-28.75,-9.2,-3.08,0.08,-0.71,0.01,0.67,0.24,568880,3140,FT
77,0.01,0,0,16.5,-109,-28.75,-9.2,-3.04,0.12,-0.71,0.01,0.67,0.24,568921,3181,FT
78,0.01,0,0,16.56,-110.13,-29.13,-9.2,-3.04,0.12,-0.71,0.01,0.67,0.24,568963,3223,FT
79,0,-0.03,0.02,16.56,-110.13,-29.13,-9.2,-3.04,0.12,-0.71,0.01,0.67,0.24,569005,3265,FT
80,0,-0.03,0.02,16.56,-110.13,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569047,3307,FT
81,0,-0.03,0.02,16.56,-110.13,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569089,3349,FT
82,0,-0.03,0.02,16.56,-110.13,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569131,3391,FT
83,0,-0.03,0.02,16.56,-110.13,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569172,3432,FT
84,0,-0.03,0.02,15.38,-108.56,-29.94,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569214,3474,FT
85,0,0,-0.01,15.38,-108.56,-29.94,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,569256,3516,FT
86,0,0,-0.01,15.38,-108.56,-29.94,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,569298,3558,FT
87,0,0,-0.01,15.38,-108.56,-29.94,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,569340,3600,FT
