,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Xgg,Ygg,Zgg,Xaa,Yaa,Zaa
0,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.55,-2.7,0.12,-0.71,0.01,0.67,0.21,473028,2855,W,-2.518138019,-2.844963188,1.331468465,3.022605252,2.797451934,0.780367799,0,0,0,-0.04,-0.07,0
1,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.59,-2.77,0.12,-0.71,0.01,0.67,0.21,473069,2896,W,-2.456760656,-2.986593399,0.982392639,-2.978634636,2.85186138,0.765941003,0,0,0,-0.07,0.04,0.27
2,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473110,2937,W,-1.627492709,-2.992485068,0.580454856,-2.768780686,2.876381406,0.936671251,-0.17,-0.19,1.09,0,0,0
3,-0.21,-0.4,1.24,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473152,2979,W,-1.465458185,-2.960812332,0.144669666,-2.751444369,2.867231534,1.057715367,0.11,0.09,1,0,0,0
4,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473193,3020,W,-1.695737446,-3.065859373,-0.30681344,-2.875652481,2.826452849,1.070731209,0,0,0,-2.64,-0.42,-0.04
5,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-12.3,-3.15,0.35,-0.71,0.01,0.67,0.21,473235,3062,W,-2.016449097,2.971901972,-0.758960024,-3.075966434,2.743187494,1.042416072,0,0,0,-3.07,0.07,-0.35
6,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-15.37,-3.08,0,-0.71,0.01,0.67,0.21,473276,3103,W,-2.363620609,2.647457811,-1.200737557,2.969132811,2.60904554,0.99835367,0,0,0,-2.38,0.35,1.19
7,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473319,3146,W,-2.717076881,2.288091172,-1.626053014,2.716284652,2.425069318,0.91817892,0,0,0,0,0,0
8,-0.1,-0.31,2.24,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473361,3188,W,-3.067621617,1.920571673,-2.031774446,2.467912171,2.185017211,0.781903742,-1.49,-0.96,-3.92,0,0,0
9,-1.59,-1.27,-1.68,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473403,3230,W,2.875620704,1.563264859,-2.414818638,2.248714158,1.88405885,0.588892818,1.18,1.54,-1.06,0,0,0
10,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473445,3272,W,2.554940359,1.231641779,-2.771494432,2.109287451,1.528046915,0.355255981,0,0,0,12.04,0.8,-0.23
11,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-5.71,-1.93,0.96,-0.71,0.01,0.67,0.21,473486,3313,W,2.264773142,0.941244288,-3.097077433,2.182089745,1.124457601,0.09956714,0,0,0,-2.57,1.77,2.07
12,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-8.28,-0.16,3.03,-0.71,0.01,0.67,0.21,473526,3353,W,2.016858839,0.709248193,2.900484886,2.623463025,0.677740391,-0.159804688,0,0,0,-3.15,1.53,-0.08
13,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-11.43,1.37,2.95,-0.71,0.01,0.67,0.21,473568,3395,W,1.816389961,0.542841663,2.679375236,2.946583101,0.19030481,-0.401550434,0,0,0,0,0,0
14,-0.41,0.27,-2.74,26.75,-128.13,12.75,-11.43,1.37,2.95,-0.71,0.01,0.67,0.21,473608,3435,W,1.652029022,0.406693919,2.555932258,2.952327155,-0.345185783,-0.59631967,0,0,0,-1.18,2.1,-0.99
15,-0.41,0.27,-2.74,26.75,-128.13,12.75,-12.61,3.47,1.96,-0.71,0.01,0.67,0.21,473651,3478,W,1.488918735,0.234440679,2.517558499,2.827536582,-0.924037207,-0.672714306,0.31,0.43,0.56,0,0,0
16,-0.1,0.7,-2.18,26.75,-128.13,12.75,-12.61,3.47,1.96,-0.71,0.01,0.67,0.21,473693,3520,W,1.284504621,-0.009085568,2.4708706,2.663645694,-1.512391172,-0.489755548,0,0,0,0.84,-4.52,-0.88
17,-0.1,0.7,-2.18,26.75,-128.13,12.75,-11.77,-1.05,1.08,-0.71,0.01,0.67,0.21,473735,3562,W,1.001287625,-0.31651781,2.347306095,2.512782896,-2.06832502,-0.155737863,0,0,0,-0.34,-0.04,0.88
18,-0.1,0.7,-2.18,26.75,-128.13,12.75,-12.11,-1.09,1.96,-0.71,0.01,0.67,0.21,473777,3604,W,0.605022935,-0.656648097,2.149406971,2.425570007,-2.508286145,-0.082129238,0,0,0,1.95,0.93,0.61
19,-0.1,0.7,-2.18,26.75,-128.13,12.75,-10.16,-0.16,2.57,-0.71,0.01,0.67,0.21,473819,3646,W,-2.452447034,-1.007883457,1.893034196,2.472678115,-1.649186092,-0.221387212,0,0,0,0,0,0
20,-0.1,0.7,-2.18,100.94,-104,36.75,-10.16,-0.16,2.57,-0.71,0.01,0.67,0.21,473860,3687,W,-3.026362076,-1.369579989,1.592165682,2.722884448,-0.89331339,-0.449859338,0,0,0,0.77,0.11,-0.46
21,-0.1,0.7,-2.18,100.94,-104,36.75,-9.39,-0.05,2.11,-0.71,0.01,0.67,0.21,473904,3731,W,2.846313443,-1.742647902,1.25656624,3.025117978,-1.245939678,-0.717645689,-0.06,-0.71,2.63,0,0,0
22,-0.16,-0.01,0.45,100.94,-104,36.75,-9.39,-0.05,2.11,-0.71,0.01,0.67,0.21,473946,3773,W,2.422240687,-2.131190023,0.891852343,3.129384984,-1.659480556,-1.008163478,0,0,0,4.75,5.75,0.81
23,-0.16,-0.01,0.45,100.94,-104,36.75,-4.64,5.7,2.92,-0.71,0.01,0.67,0.21,473989,3816,W,1.966330189,-2.548578036,0.501007155,3.072558192,-2.075624072,-1.314071625,0,0,0,-12.68,-10.88,-1.42
24,-0.16,-0.01,0.45,100.94,-104,36.75,-17.32,-5.18,1.5,-0.71,0.01,0.67,0.21,474030,3857,W,1.469508094,-3.037279977,0.087140513,2.941919364,-2.474732736,-1.63281791,0,0,0,5.97,2.37,-0.23
25,-0.16,-0.01,0.45,100.94,-104,36.75,-11.35,-2.81,1.27,-0.71,0.01,0.67,0.21,474073,3900,W,0.927904715,2.558057821,-0.346081897,2.786640875,-2.838126989,-1.964045479,0,0,0,-0.38,0.11,-1.27
26,-0.16,-0.01,0.45,100.94,-104,36.75,-11.73,-2.7,0,-0.71,0.01,0.67,0.21,474114,3941,W,0.340471039,1.411173001,-0.790821395,2.638085194,3.131260349,-2.315851592,0.51,0.05,-0.12,0,0,0
27,0.35,0.04,0.33,100.94,-104,36.75,-11.73,-2.7,0,-0.71,0.01,0.67,0.21,474156,3983,W,-0.29010727,0.324620625,-1.222612956,2.523062765,2.88069467,-2.714362697,-0.14,0.09,-0.16,0,0,0
28,0.21,0.13,0.17,100.94,-104,36.75,-11.73,-2.7,0,-0.71,0.01,0.67,0.21,474198,4025,W,-0.951495709,-0.327037003,-1.592560895,2.469329135,2.721045452,3.032485373,0,0,0,2.18,0,0.39
29,0.21,0.13,0.17,100.94,-104,36.75,-9.55,-2.7,0.39,-0.71,0.01,0.67,0.21,474241,4068,W,-1.620654239,-0.808948668,-1.850707197,2.497959808,2.679202124,1.959171195,-0.33,-0.06,-0.03,0,0,0
30,-0.12,0.07,0.14,100.94,-104,36.75,-9.55,-2.7,0.39,-0.71,0.01,0.67,0.21,474283,4110,W,-2.272232678,-1.206877541,-2.083812512,2.592075819,2.718319126,0.69907953,0,0,0,0,0,-0.19
31,-0.12,0.07,0.14,100.94,-104,36.75,-9.55,-2.7,0.2,-0.71,0.01,0.67,0.21,474324,4151,W,-2.894091053,-1.512413587,-2.848569098,2.691586387,2.732480278,0.199660577,0,0,0,0.08,0.08,0.15
32,-0.12,0.07,0.14,100.94,-104,36.75,-9.47,-2.62,0.35,-0.71,0.01,0.67,0.21,474364,4191,W,2.786657509,-1.706952069,2.481166355,2.76316887,2.713480705,-0.054875543,0.05,-0.13,-0.04,0,0,0
33,-0.07,-0.06,0.1,100.94,-104,36.75,-9.47,-2.62,0.35,-0.71,0.01,0.67,0.21,474405,4232,W,2.211719483,-1.791022991,2.317821308,2.807405771,2.710235825,-0.222552972,0.03,-0.07,0.04,0,0,0
34,-0.04,-0.13,0.14,100.94,-104,36.75,-9.47,-2.62,0.35,-0.71,0.01,0.67,0.21,474447,4274,W,1.760680341,-1.8032252,2.249088851,2.821276634,2.732157047,-0.17978342,0,0,0,-0.12,0.08,0.04
35,-0.04,-0.13,0.14,100.94,-104,36.75,-9.59,-2.54,0.39,-0.71,0.01,0.67,0.21,474491,4318,W,1.762124983,-1.828161398,2.0996316,2.837840398,2.760268791,1.09330673,0.05,-0.09,0.09,0,0,0
36,0.01,-0.22,0.23,100.94,-104,36.75,-9.59,-2.54,0.39,-0.71,0.01,0.67,0.21,474533,4360,W,2.200712187,-1.917475116,1.883330536,2.921791262,2.759624126,1.226721482,0,0,0,-0.04,0.08,0.11
37,0.01,-0.22,0.23,100.94,-104,36.75,-9.63,-2.46,0.5,-0.71,0.01,0.67,0.21,474574,4401,W,2.060472866,-2.085959247,1.599264693,3.124127455,2.758637855,0.906400321,0,0,0,-0.19,-0.08,-0.23
38,0.01,-0.22,0.23,100.94,-104,36.75,-9.82,-2.54,0.27,-0.71,0.01,0.67,0.21,474614,4441,W,1.626365521,-2.34001559,1.249810443,-2.918450881,2.883705056,0.498193027,-0.04,-0.47,0.7,0,0,0
39,-0.03,-0.69,0.93,100.94,-104,36.75,-9.82,-2.54,0.27,-0.71,0.01,0.67,0.21,474655,4482,W,1.082147511,-2.662732432,0.853646224,-2.824705394,-2.937071002,0.056597847,-0.05,-0.13,0.73,0,0,0
40,-0.08,-0.82,1.66,100.94,-104,36.75,-9.82,-2.54,0.27,-0.71,0.01,0.67,0.21,474698,4525,W,0.491195282,-3.03231181,0.426095684,-2.899187921,-2.525880309,-0.410834195,0,0,0,-1.34,-0.31,1.53
41,-0.08,-0.82,1.66,100.94,-104,36.75,-11.16,-2.85,1.8,-0.71,0.01,0.67,0.21,474741,4568,W,-0.097987636,2.853266323,-0.01997847,-3.072050777,-2.53322389,-0.911412346,0.48,-0.58,4.37,0,0,0
42,0.4,-1.4,6.03,100.94,-104,36.75,-11.16,-2.85,1.8,-0.71,0.01,0.67,0.21,474784,4611,W,-0.654011097,2.441659755,-0.473803465,2.991663331,-2.742109171,-1.468079486,0,0,0,-8.5,2.3,-0.42
