,Xg,Yg,Zg,Xgd,Ygd,Zgd,Xa,Ya,Za,Xad,Yad,Zad,Direction,Sensortime,Time,Label
474,0.05,-0.74,4.52,0,0,0,-7.97,9.37,-0.43,7.43,5.63,-0.39,0.58,4581113,19168,W
475,0.05,-0.74,4.52,0,0,0,-15.4,3.74,-0.04,-8.7,-3.41,-0.73,0.58,4581154,19209,W
476,0.05,-0.74,4.52,0,0,0,-6.7,7.15,0.69,-1.61,5.71,-0.92,0.58,4581194,19249,W
477,0.05,-0.74,4.52,0.19,-0.61,5.69,-5.09,1.44,1.61,0,0,0,0.58,4581232,19287,W
478,-0.14,-0.13,-1.17,-0.53,0.23,1.03,-5.09,1.44,1.61,0,0,0,0.58,4581273,19328,W
479,0.39,-0.36,-2.2,-0.46,0.45,0.88,-5.09,1.44,1.61,0,0,0,0.58,4581313,19368,W
480,0.85,-0.81,-3.08,0,0,0,-5.09,1.44,1.61,0.89,-2.76,1.92,0.58,4581354,19409,W
481,0.85,-0.81,-3.08,0,0,0,-5.98,4.2,-0.31,0.19,-1.11,0.31,0.58,4581393,19448,W
482,0.85,-0.81,-3.08,1.59,-1.61,1.03,-6.17,5.31,-0.62,0,0,0,0.58,4581433,19488,W
483,-0.74,0.8,-4.11,-0.78,0.61,0.25,-6.17,5.31,-0.62,0,0,0,0.58,4581473,19528,W
484,0.04,0.19,-4.36,0,0,0,-6.17,5.31,-0.62,2.29,-14.17,-2.88,0.58,4581514,19569,W
485,0.04,0.19,-4.36,0,0,0,-8.46,19.48,2.26,-8.5,-4.33,0.23,0.58,4581554,19609,W
486,0.04,0.19,-4.36,0,0,0,0.04,23.81,2.03,8.28,13.17,2.26,0.58,4581594,19649,W
487,0.04,0.19,-4.36,-1.2,0.95,-6.88,-8.24,10.64,-0.23,0,0,0,0.58,4581632,19687,W
488,1.24,-0.76,2.52,0,0,0,-8.24,10.64,-0.23,12.29,-1.95,-3.14,0.58,4581672,19727,W
489,1.24,-0.76,2.52,0.92,-0.75,1.89,-20.53,12.59,2.91,0,0,0,0.58,4581713,19768,W
490,0.32,-0.01,0.63,0,0,0,-20.53,12.59,2.91,-11.53,8.35,1.42,0.58,4581754,19809,W
491,0.32,-0.01,0.63,0,0,0,-9,4.24,1.49,-0.15,0.58,-0.58,0.58,4581794,19849,W
492,0.32,-0.01,0.63,0.59,0.27,-0.03,-8.85,3.66,2.07,0,0,0,0.58,4581833,19888,W
493,-0.27,-0.28,0.66,-0.31,-0.82,0.26,-8.85,3.66,2.07,0,0,0,0.58,4581874,19929,W
494,0.04,0.54,0.4,0,0,0,-8.85,3.66,2.07,0.04,-0.65,2,0.58,4581913,19968,W
495,0.04,0.54,0.4,0,0,0,-8.89,4.31,0.07,-0.43,-0.5,-0.65,0.58,4581953,20008,W
496,0.04,0.54,0.4,0,0,0,-8.46,4.81,0.72,0.08,0.04,0.49,0.58,4581993,20048,W
497,0.04,0.54,0.4,0.03,0.58,-0.1,-8.54,4.77,0.23,0,0,0,0.58,4582031,20086,W
498,0.01,-0.04,0.5,0.13,-0.22,-0.07,-8.54,4.77,0.23,0,0,0,0.58,4582070,20125,W
499,-0.12,0.18,0.57,0,0,0,-8.54,4.77,0.23,-0.19,-0.43,-0.07,0.58,4582110,20165,W
500,-0.12,0.18,0.57,0,0,0,-8.35,5.2,0.3,-0.31,-0.5,-0.35,0.58,4582151,20206,W
501,-0.12,0.18,0.57,0,0,0,-8.04,5.7,0.65,0.04,-0.03,0.38,0.58,4582191,20246,W
502,-0.12,0.18,0.57,0.42,1.13,-0.15,-8.08,5.73,0.27,0,0,0,0.58,4582228,20283,W
503,-0.54,-0.95,0.72,0,0,0,-8.08,5.73,0.27,1.15,-0.27,-0.53,0.58,4582269,20324,W
504,-0.54,-0.95,0.72,1.05,1.57,-3.25,-9.23,6,0.8,0,0,0,0.58,4582310,20365,W
505,-1.59,-2.52,3.97,0,0,0,-9.23,6,0.8,6.74,-8.08,-0.77,0.58,4582351,20406,W
506,-1.59,-2.52,3.97,0,0,0,-15.97,14.08,1.57,-4.21,3.6,-1.72,0.58,4582391,20446,W
507,-1.59,-2.52,3.97,-1.47,-3.25,2.5,-11.76,10.48,3.29,0,0,0,0.58,4582431,20486,W
508,-0.12,0.73,1.47,1.07,-0.11,0.88,-11.76,10.48,3.29,0,0,0,0.58,4582473,20528,W
509,-1.19,0.84,0.59,0,0,0,-11.76,10.48,3.29,-5.32,11.22,2.37,0.58,4582514,20569,W
510,-1.19,0.84,0.59,0,0,0,-6.44,-0.74,0.92,-2.84,-2.22,2.19,0.58,4582554,20609,W
511,-1.19,0.84,0.59,0,0,0,-3.6,1.48,-1.27,0,-3.72,-5.98,0.58,4582594,20649,W
512,-1.19,0.84,0.59,-0.78,0.71,2.64,-3.6,5.2,4.71,0,0,0,0.58,4582633,20688,W
513,-0.41,0.13,-2.05,0,0,0,-3.6,5.2,4.71,-0.57,-5.01,1.73,0.58,4582673,20728,W
514,-0.41,0.13,-2.05,-1.53,0.31,-0.35,-3.03,10.21,2.98,0,0,0,0.58,4582714,20769,W
515,1.12,-0.18,-1.7,0,0,0,-3.03,10.21,2.98,1.15,-4.45,1.22,0.58,4582755,20810,W
516,1.12,-0.18,-1.7,0,0,0,-4.18,14.66,1.76,2.26,-1.8,-5.67,0.58,4582795,20850,W
517,1.12,-0.18,-1.7,2.47,-1.16,-3.34,-6.44,16.46,7.43,0,0,0,0.58,4582834,20889,W
518,-1.35,0.98,1.64,-1,0.31,1.18,-6.44,16.46,7.43,0,0,0,0.58,4582875,20930,T
519,-0.35,0.67,0.46,0,0,0,-6.44,16.46,7.43,0.84,10.57,5.4,0.58,4582915,20970,T
520,-0.35,0.67,0.46,0,0,0,-7.28,5.89,2.03,0.61,0,0.35,0.58,4582955,21010,T
521,-0.35,0.67,0.46,0,0,0,-7.89,5.89,1.68,-0.19,0.31,-0.58,0.58,4582994,21049,T
522,-0.35,0.67,0.46,0,0,0,-7.7,5.58,2.26,0,0,0,0.58,4583034,21089,T
523,-0.35,0.67,0.46,-0.48,0.3,0.56,-7.7,5.58,2.26,0,0,0,0.58,4583072,21127,T
524,0.13,0.37,-0.1,0,0,0,-7.7,5.58,2.26,0.27,0.19,0.42,0.58,4583111,21166,T
525,0.13,0.37,-0.1,0,0,0,-7.97,5.39,1.84,-0.04,0.04,0.04,0.58,4583152,21207,T
526,0.13,0.37,-0.1,0,0,0,-7.93,5.35,1.8,0.11,0.04,0.19,0.58,4583191,21246,T
527,0.13,0.37,-0.1,0.12,0.28,-0.09,-8.04,5.31,1.61,0,0,0,0.58,4583229,21284,T
528,0.01,0.09,-0.01,0,0,0,-8.04,5.31,1.61,-0.03,0,-0.23,0.58,4583269,21324,T
529,0.01,0.09,-0.01,0.12,0.55,0.15,-8.01,5.31,1.84,0,0,0,0.58,4583309,21364,T
530,-0.11,-0.46,-0.16,0,0,0,-8.01,5.31,1.84,0.84,-0.31,-0.72,0.58,4583347,21402,T
531,-0.11,-0.46,-0.16,0,0,0,-8.85,5.62,2.56,-0.81,0.23,0.88,0.58,4583387,21442,T
532,-0.11,-0.46,-0.16,0,0,0,-8.04,5.39,1.68,-0.15,0.04,-0.2,0.58,4583425,21480,T
533,-0.11,-0.46,-0.16,-0.12,-0.46,-0.2,-7.89,5.35,1.88,0,0,0,0.58,4583464,21519,T
534,0.01,0,0.04,0,0,0,-7.89,5.35,1.88,0.04,-0.04,0,0.58,4583504,21559,T
535,0.01,0,0.04,0,0,0,-7.93,5.39,1.88,-0.04,-0.04,-0.07,0.58,4583543,21598,T
536,0.01,0,0.04,0,0,0,-7.89,5.43,1.95,0,0,0,0.58,4583580,21635,T
537,0.01,0,0.04,0.02,0.03,-0.01,-7.89,5.43,1.95,0,0,0,0.58,4583621,21676,T
538,-0.01,-0.03,0.05,0,0,0,-7.89,5.43,1.95,-0.11,-0.03,0,0.58,4583660,21715,T
539,-0.01,-0.03,0.05,0,0,0,-7.78,5.46,1.95,0.11,0.03,0.11,0.58,4583700,21755,T
540,-0.01,-0.03,0.05,0,0,0,-7.89,5.43,1.84,0,-0.11,-0.07,0.58,4583740,21795,T
541,-0.01,-0.03,0.05,-0.03,-0.05,0.07,-7.89,5.54,1.91,0,0,0,0.58,4583779,21834,T
542,0.02,0.02,-0.02,-0.01,-0.02,-0.02,-7.89,5.54,1.91,0,0,0,0.58,4583819,21874,T
543,0.03,0.04,0,0,0,0,-7.89,5.54,1.91,-0.04,0.04,0.07,0.58,4583858,21913,T
544,0.03,0.04,0,0,0,0,-7.85,5.5,1.84,-0.07,0.07,0.04,0.58,4583896,21951,T
545,0.03,0.04,0,0,0,0,-7.78,5.43,1.8,0,0,0,0.58,4583934,21989,T
546,0.03,0.04,0,0.01,-0.01,0.03,-7.78,5.43,1.8,0,0,0,0.58,4583971,22026,T
547,0.02,0.05,-0.03,0,0,0,-7.78,5.43,1.8,0.07,-0.03,-0.04,0.58,4584011,22066,T
548,0.02,0.05,-0.03,0,0,0,-7.85,5.46,1.84,0.08,-0.08,0.04,0.58,4584050,22105,T
549,0.02,0.05,-0.03,0,0,0,-7.93,5.54,1.8,0,0.04,0.08,0.58,4584091,22146,T
550,0.02,0.05,-0.03,0,-0.05,0.04,-7.93,5.5,1.72,0,0,0,0.58,4584128,22183,T
551,0.02,0.1,-0.07,0,0,0,-7.93,5.5,1.72,0.11,0.23,0.15,0.58,4584167,22222,T
552,0.02,0.1,-0.07,0,0,0,-8.04,5.27,1.57,-0.15,-0.19,-0.19,0.58,4584206,22261,T
553,0.02,0.1,-0.07,0,0,0,-7.89,5.46,1.76,0,0.03,0.08,0.58,4584244,22299,T
554,0.02,0.1,-0.07,-0.01,-0.02,0,-7.89,5.43,1.68,0,0,0,0.58,4584282,22337,T
555,0.03,0.12,-0.07,-0.01,-0.08,0.04,-7.89,5.43,1.68,0,0,0,0.58,4584322,22377,T
556,0.04,0.2,-0.11,0,0,0,-7.89,5.43,1.68,0.31,0.12,0.42,0.58,4584360,22415,T
557,0.04,0.2,-0.11,0,0,0,-8.2,5.31,1.26,-0.27,0.04,-0.42,0.58,4584401,22456,T
558,0.04,0.2,-0.11,0,0,0,-7.93,5.27,1.68,0.08,0,0.19,0.58,4584440,22495,T
559,0.04,0.2,-0.11,0.05,0.07,0.02,-8.01,5.27,1.49,0,0,0,0.58,4584478,22533,T
560,-0.01,0.13,-0.13,0,0,0,-8.01,5.27,1.49,0.11,0.15,0.08,0.58,4584518,22573,T
561,-0.01,0.13,-0.13,-0.05,0.21,-0.07,-8.12,5.12,1.41,0,0,0,0.58,4584559,22614,T
562,0.04,-0.08,-0.06,0,0,0,-8.12,5.12,1.41,0.08,-0.04,0.07,0.58,4584599,22654,T
563,0.04,-0.08,-0.06,0,0,0,-8.2,5.16,1.34,0,-0.07,0.12,0.58,4584639,22694,T
564,0.04,-0.08,-0.06,0,0.13,-0.03,-8.2,5.23,1.22,0,0,0,0.58,4584677,22732,T
565,0.04,-0.21,-0.03,0.03,-0.01,0.05,-8.2,5.23,1.22,0,0,0,0.58,4584717,22772,T
566,0.01,-0.2,-0.08,0,0,0,-8.2,5.23,1.22,0.23,-0.35,-0.08,0.58,4584756,22811,T
567,0.01,-0.2,-0.08,0,0,0,-8.43,5.58,1.3,-0.12,0.58,-0.31,0.58,4584795,22850,T
568,0.01,-0.2,-0.08,0,0,0,-8.31,5,1.61,0,0,0,0.58,4584834,22889,T
569,0.01,-0.2,-0.08,0.05,0.06,0.03,-8.31,5,1.61,0,0,0,0.58,4584872,22927,T
570,-0.04,-0.26,-0.11,0.09,0.21,0.02,-8.31,5,1.61,0,0,0,0.58,4584912,22967,T
571,-0.13,-0.47,-0.13,0,0,0,-8.31,5,1.61,-0.07,0.27,-0.46,0.58,4584952,23007,T
572,-0.13,-0.47,-0.13,0,0,0,-8.24,4.73,2.07,-0.39,-0.31,-0.84,0.58,4584992,23047,T
573,-0.13,-0.47,-0.13,0.63,0.07,-0.12,-7.85,5.04,2.91,0,0,0,0.58,4585031,23086,T
574,-0.76,-0.54,-0.01,-0.63,-3.22,0.19,-7.85,5.04,2.91,0,0,0,0.58,4585072,23127,T
575,-0.13,2.68,-0.2,0,0,0,-7.85,5.04,2.91,-5.94,-7.36,-1.72,0.58,4585112,23167,T
576,-0.13,2.68,-0.2,0,0,0,-1.91,12.4,4.63,0.39,1.04,7.47,0.58,4585151,23206,T
577,-0.13,2.68,-0.2,0,0,0,-2.3,11.36,-2.84,3.45,1.03,0.8,0.58,4585192,23247,W
578,-0.13,2.68,-0.2,5.18,-0.06,-2.3,-5.75,10.33,-3.64,0,0,0,0.58,4585231,23286,W
579,-5.31,2.74,2.1,0,0,0,-5.75,10.33,-3.64,2.14,3.68,-3.6,0.58,4585272,23327,W
580,-5.31,2.74,2.1,-2.91,1.45,0.52,-7.89,6.65,-0.04,0,0,0,0.58,4585313,23368,W
581,-2.4,1.29,1.58,0,0,0,-7.89,6.65,-0.04,1.15,3.26,-0.23,0.58,4585352,23407,W
582,-2.4,1.29,1.58,0,0,0,-9.04,3.39,0.19,-0.77,1.34,0.27,0.58,4585392,23447,W
583,-2.4,1.29,1.58,-0.71,-0.07,1.57,-8.27,2.05,-0.08,0,0,0,0.58,4585428,23483,W
584,-1.69,1.36,0.01,0.21,-0.09,0.52,-8.27,2.05,-0.08,0,0,0,0.58,4585470,23525,W
585,-1.9,1.45,-0.51,0,0,0,-8.27,2.05,-0.08,-0.57,-4.25,-1.19,0.58,4585509,23564,W
586,-1.9,1.45,-0.51,0,0,0,-7.7,6.3,1.11,-0.04,0.41,0.84,0.58,4585549,23604,W
587,-1.9,1.45,-0.51,0,0,0,-7.66,5.89,0.27,0.42,-0.07,0.39,0.58,4585589,23644,W
588,-1.9,1.45,-0.51,-0.57,0.25,-0.28,-8.08,5.96,-0.12,0,0,0,0.58,4585627,23682,W
589,-1.33,1.2,-0.23,-0.91,0.58,-0.4,-8.08,5.96,-0.12,0,0,0,0.58,4585668,23723,W
590,-0.42,0.62,0.17,0,0,0,-8.08,5.96,-0.12,5.44,4.14,-0.42,0.58,4585708,23763,W
591,-0.42,0.62,0.17,0,0,0,-13.52,1.82,0.3,-5.06,-2.11,-2.99,0.58,4585749,23804,W
592,-0.42,0.62,0.17,0,0,0,-8.46,3.93,3.29,-2.48,0.07,2.22,0.58,4585789,23844,W
593,-0.42,0.62,0.17,-0.45,0.38,-0.27,-5.98,3.86,1.07,0,0,0,0.58,4585826,23881,W
594,0.03,0.24,0.44,0,0,0,-5.98,3.86,1.07,2.18,-0.91,-0.81,0.58,4585865,23920,W
595,0.03,0.24,0.44,0,0,0,-8.16,4.77,1.88,-0.96,1.07,1,0.58,4585904,23959,W
596,0.03,0.24,0.44,0,0,0,-7.2,3.7,0.88,0.73,-1.11,-0.38,0.58,4585943,23998,W
597,0.03,0.24,0.44,-0.48,0.04,0.42,-7.93,4.81,1.26,0,0,0,0.58,4585979,24034,W
598,0.51,0.2,0.02,0,0,0,-7.93,4.81,1.26,2.18,-1.96,-0.19,0.58,4586019,24074,W
599,0.51,0.2,0.02,0,0,0,-10.11,6.77,1.45,-1.91,2.04,0.8,0.58,4586058,24113,W
600,0.51,0.2,0.02,0,0,0,-8.2,4.73,0.65,-0.19,-0.27,-0.04,0.58,4586098,24153,W
601,0.51,0.2,0.02,0,0,0,-8.01,5,0.69,0.38,-0.16,-0.15,0.58,4586138,24193,W
602,0.51,0.2,0.02,0.66,0.08,-0.3,-8.39,5.16,0.84,0,0,0,0.58,4586174,24229,W
603,-0.15,0.12,0.32,0,0,0,-8.39,5.16,0.84,-0.54,-0.11,0,0.58,4586213,24268,W
604,-0.15,0.12,0.32,0,0,0,-7.85,5.27,0.84,-1.3,0.23,0.42,0.58,4586253,24308,W
605,-0.15,0.12,0.32,0,0,0,-6.55,5.04,0.42,3.83,-1.69,-0.15,0.58,4586292,24347,W
606,-0.15,0.12,0.32,-0.46,0.4,-0.27,-10.38,6.73,0.57,0,0,0,0.58,4586330,24385,W
607,0.31,-0.28,0.59,0,0,0,-10.38,6.73,0.57,-2.83,0.65,-0.19,0.58,4586370,24425,W
608,0.31,-0.28,0.59,0.58,-0.39,-0.58,-7.55,6.08,0.76,0,0,0,0.58,4586411,24466,W
609,-0.27,0.11,1.17,0,0,0,-7.55,6.08,0.76,0.23,-0.76,-0.69,0.58,4586448,24503,W
610,-0.27,0.11,1.17,0,0,0,-7.78,6.84,1.45,-0.42,-0.35,0.57,0.58,4586488,24543,W
611,-0.27,0.11,1.17,0,0,0,-7.36,7.19,0.88,0.3,-1.95,0.81,0.58,4586526,24581,W
612,-0.27,0.11,1.17,-0.96,0.34,-1.92,-7.66,9.14,0.07,0,0,0,0.58,4586565,24620,W
613,0.69,-0.23,3.09,0,0,0,-7.66,9.14,0.07,8.47,-1.53,-3.03,0.58,4586604,24659,W
614,0.69,-0.23,3.09,0,0,0,-16.13,10.67,3.1,-5.83,2.41,1.22,0.58,4586643,24698,W
615,0.69,-0.23,3.09,2.44,-3.29,1.64,-10.3,8.26,1.88,0,0,0,0.58,4586682,24737,W
616,-1.75,3.06,1.45,-1.7,1.19,0.3,-10.3,8.26,1.88,0,0,0,0.58,4586723,24778,W
617,-0.05,1.87,1.15,0,0,0,-10.3,8.26,1.88,-6.51,6.13,-1.91,0.58,4586762,24817,W
618,-0.05,1.87,1.15,0,0,0,-3.79,2.13,3.79,-0.8,-0.35,1.49,0.58,4586801,24856,W
619,-0.05,1.87,1.15,0,0,0,-2.99,2.48,2.3,0.19,0.69,0.12,0.58,4586841,24896,W
620,-0.05,1.87,1.15,1.16,1.17,3.22,-3.18,1.79,2.18,0,0,0,0.58,4586878,24933,W
621,-1.21,0.7,-2.07,-0.32,0.18,0.89,-3.18,1.79,2.18,0,0,0,0.58,4586917,24972,W
622,-0.89,0.52,-2.96,0,0,0,-3.18,1.79,2.18,2.91,-3.87,0.27,0.58,4586957,25012,W
623,-0.89,0.52,-2.96,0,0,0,-6.09,5.66,1.91,0.5,-1.95,0.57,0.58,4586996,25051,W
624,-0.89,0.52,-2.96,0,0,0,-6.59,7.61,1.34,0.84,-2.99,-0.92,0.58,4587037,25092,W
625,-0.89,0.52,-2.96,-0.71,-0.7,0.32,-7.43,10.6,2.26,0,0,0,0.58,4587075,25130,W
626,-0.18,1.22,-3.28,0,0,0,-7.43,10.6,2.26,0.27,-2.99,-1.15,0.58,4587115,25170,W
627,-0.18,1.22,-3.28,0.85,0.19,-1.79,-7.7,13.59,3.41,0,0,0,0.58,4587155,25210,W
628,-1.03,1.03,-1.49,0,0,0,-7.7,13.59,3.41,0.88,-3.33,1.69,0.58,4587195,25250,W
629,-1.03,1.03,-1.49,0,0,0,-8.58,16.92,1.72,0,0,0,0.58,4587234,25289,W
630,-1.03,1.03,-1.49,0,0,0,-8.58,16.92,1.72,8.2,12.11,-2.8,0.58,4587273,25328,W
631,-1.03,1.03,-1.49,0,0,0,-16.78,4.81,4.52,-8.39,-0.04,4.33,0.58,4587313,25368,W
632,-1.03,1.03,-1.49,0,0,0,-8.39,4.85,0.19,0.34,1.84,-0.5,0.58,4587354,25409,W
633,-1.03,1.03,-1.49,0,0,0,-8.73,3.01,0.69,0.2,-2.65,0.12,0.58,4587394,25449,W
634,-1.03,1.03,-1.49,-1.05,0.69,-1.74,-8.93,5.66,0.57,0,0,0,0.58,4587431,25486,W
635,0.02,0.34,0.25,-0.13,0.02,-0.15,-8.93,5.66,0.57,0,0,0,0.58,4587472,25527,W
636,0.15,0.32,0.4,0,0,0,-8.93,5.66,0.57,-0.31,1.77,0.3,0.58,4587511,25566,W
637,0.15,0.32,0.4,0,0,0,-8.62,3.89,0.27,-0.12,-0.84,-0.8,0.58,4587550,25605,W
638,0.15,0.32,0.4,0,0,0,-8.5,4.73,1.07,0.2,0.15,1.15,0.58,4587589,25644,W
639,0.15,0.32,0.4,0.29,0.07,-0.05,-8.7,4.58,-0.08,0,0,0,0.58,4587627,25682,W
640,-0.14,0.25,0.45,-0.12,0.15,-0.04,-8.7,4.58,-0.08,0,0,0,0.58,4587667,25722,W
641,-0.02,0.1,0.49,0,0,0,-8.7,4.58,-0.08,-0.24,-0.5,-0.15,0.58,4587708,25763,W
642,-0.02,0.1,0.49,0,0,0,-8.46,5.08,0.07,-0.19,-0.19,-0.08,0.58,4587748,25803,W
643,-0.02,0.1,0.49,0,0,0,-8.27,5.27,0.15,-0.26,-0.39,0.19,0.58,4587789,25844,W
644,-0.02,0.1,0.49,0.27,0.42,-0.21,-8.01,5.66,-0.04,0,0,0,0.58,4587827,25882,W
645,-0.29,-0.32,0.7,0,0,0,-8.01,5.66,-0.04,-0.04,-0.23,-0.11,0.58,4587868,25923,W
646,-0.29,-0.32,0.7,-0.22,0.46,-0.5,-7.97,5.89,0.07,0,0,0,0.58,4587910,25965,W
647,-0.07,-0.78,1.2,0,0,0,-7.97,5.89,0.07,-2.65,-2.14,-0.85,0.58,4587951,26006,W
648,-0.07,-0.78,1.2,0,0,0,-5.32,8.03,0.92,1.46,-1.23,1.5,0.58,4587991,26046,W
649,-0.07,-0.78,1.2,-1.65,-0.38,-1.85,-6.78,9.26,-0.58,0,0,0,0.58,4588029,26084,W
650,1.58,-0.4,3.05,0.79,-1.84,-0.29,-6.78,9.26,-0.58,0,0,0,0.58,4588070,26125,W
651,0.79,1.44,3.34,0,0,0,-6.78,9.26,-0.58,7.55,0.42,-3.6,0.58,4588111,26166,W
652,0.79,1.44,3.34,0,0,0,-14.33,8.84,3.02,-7.7,5.68,3.83,0.58,4588151,26206,W
653,0.79,1.44,3.34,0,0,0,-6.63,3.16,-0.81,0.5,4.52,-3.91,0.58,4588192,26247,W
654,0.79,1.44,3.34,0.48,1.43,4.61,-7.13,-1.36,3.1,0,0,0,0.58,4588230,26285,W
655,0.31,0.01,-1.27,0.41,-0.3,0.83,-7.13,-1.36,3.1,0,0,0,0.58,4588270,26325,W
656,-0.1,0.31,-2.1,0,0,0,-7.13,-1.36,3.1,-3.15,-6.29,0.54,0.58,4588310,26365,W
657,-0.1,0.31,-2.1,0,0,0,-3.98,4.93,2.56,1.84,-1.45,1.38,0.58,4588351,26406,W
658,-0.1,0.31,-2.1,0,0,0,-5.82,6.38,1.18,0.46,-0.66,0.04,0.58,4588392,26447,W
659,-0.1,0.31,-2.1,-0.06,-0.23,1.28,-6.28,7.04,1.14,0,0,0,0.58,4588430,26485,W
660,-0.04,0.54,-3.38,-0.25,0.47,0,-6.28,7.04,1.14,0,0,0,0.58,4588471,26526,W
661,0.21,0.07,-3.38,0.65,-1.42,-0.29,-6.28,7.04,1.14,0,0,0,0.58,4588511,26566,W
662,-0.44,1.49,-3.09,0,0,0,-6.28,7.04,1.14,-1.15,-6.28,-2.23,0.58,4588550,26605,W
663,-0.44,1.49,-3.09,0,0,0,-5.13,13.32,3.37,0.69,1.46,1.57,0.58,4588591,26646,W
664,-0.44,1.49,-3.09,-0.59,0.96,-2.61,-5.82,11.86,1.8,0,0,0,0.58,4588630,26685,W
665,0.15,0.53,-0.48,-0.48,1.4,-1.19,-5.82,11.86,1.8,0,0,0,0.58,4588670,26725,W
666,0.63,-0.87,0.71,0,0,0,-5.82,11.86,1.8,9.85,11.84,-6.01,0.58,4588711,26766,W
667,0.63,-0.87,0.71,0,0,0,-15.67,0.02,7.81,-7.93,-4.71,6.7,0.58,4588751,26806,W
668,0.63,-0.87,0.71,0,0,0,-7.74,4.73,1.11,0.96,0.34,-0.03,0.58,4588791,26846,W
669,0.63,-0.87,0.71,0.64,-0.9,0.38,-8.7,4.39,1.14,0,0,0,0.58,4588830,26885,W
670,-0.01,0.03,0.33,0,0,0,-8.7,4.39,1.14,0.42,-0.12,-0.04,0.58,4588869,26924,W
671,-0.01,0.03,0.33,-0.37,0.08,-0.03,-9.12,4.51,1.18,0,0,0,0.58,4588910,26965,W
672,0.36,-0.05,0.36,0,0,0,-9.12,4.51,1.18,-0.62,-0.19,0.46,0.58,4588949,27004,W
673,0.36,-0.05,0.36,0,0,0,-8.5,4.7,0.72,0.23,-0.19,-0.2,0.58,4588989,27044,W
674,0.36,-0.05,0.36,-0.03,0.53,-0.18,-8.73,4.89,0.92,0,0,0,0.58,4589027,27082,W
675,0.39,-0.58,0.54,0.64,-0.83,0.15,-8.73,4.89,0.92,0,0,0,0.58,4589069,27124,W
676,-0.25,0.25,0.39,0,0,0,-8.73,4.89,0.92,-0.61,-0.54,0.62,0.58,4589108,27163,W
677,-0.25,0.25,0.39,0,0,0,-8.12,5.43,0.3,-0.38,-0.3,-0.23,0.58,4589148,27203,W
678,-0.25,0.25,0.39,0,0,0,-7.74,5.73,0.53,0.8,0.73,-0.31,0.58,4589188,27243,W
679,-0.25,0.25,0.39,-0.16,0.37,-0.14,-8.54,5,0.84,0,0,0,0.58,4589227,27282,W
680,-0.09,-0.12,0.53,-0.24,-0.23,-0.1,-8.54,5,0.84,0,0,0,0.58,4589265,27320,W
681,0.15,0.11,0.63,0,0,0,-8.54,5,0.84,-0.84,-1.15,0.38,0.58,4589305,27360,W
682,0.15,0.11,0.63,0,0,0,-7.7,6.15,0.46,-0.27,-0.58,-0.23,0.58,4589343,27398,W
683,0.15,0.11,0.63,0,0,0,-7.43,6.73,0.69,0,0,0,0.58,4589382,27437,W
684,0.15,0.11,0.63,0,0.04,-0.82,-7.43,6.73,0.69,0,0,0,0.58,4589420,27475,W
685,0.15,0.07,1.45,0,0,0,-7.43,6.73,0.69,0.61,-1.03,0,0.58,4589460,27515,W
686,0.15,0.07,1.45,0,0,0,-8.04,7.76,0.69,1.58,-1.23,-1.15,0.58,4589498,27553,W
687,0.15,0.07,1.45,0,0,0,-9.62,8.99,1.84,3.71,-1.65,-1.3,0.58,4589537,27592,W
688,0.15,0.07,1.45,0.36,-0.34,-1.57,-13.33,10.64,3.14,0,0,0,0.58,4589575,27630,W
689,-0.21,0.41,3.02,0,0,0,-13.33,10.64,3.14,-3.45,3.64,1.84,0.58,4589614,27669,W
690,-0.21,0.41,3.02,0,0,0,-9.88,7,1.3,-2.95,-0.76,2.22,0.58,4589654,27709,W
691,-0.21,0.41,3.02,0,0,0,-6.93,7.76,-0.92,-5.89,4.33,-1.42,0.58,4589693,27748,W
692,-0.21,0.41,3.02,0,0,0,-1.04,3.43,0.5,0,0,0,0.58,4589732,27787,W
693,-0.21,0.41,3.02,1.35,1.38,4.62,-1.04,3.43,0.5,0,0,0,0.58,4589770,27825,W
694,-1.56,-0.97,-1.6,0,0,0,-1.04,3.43,0.5,1.95,-1.5,2.69,0.58,4589810,27865,W
695,-1.56,-0.97,-1.6,0,0,0,-2.99,4.93,-2.19,-2.91,-4.9,-1.34,0.58,4589851,27906,W
696,-1.56,-0.97,-1.6,0,0,0,-0.08,9.83,-0.85,1.03,1.84,-1.69,0.58,4589893,27948,W
697,-1.56,-0.97,-1.6,0,0,0,-1.11,7.99,0.84,0,0,0,0.58,4589933,27988,W
698,-1.56,-0.97,-1.6,0,0,0,-1.11,7.99,0.84,1.65,-2.26,3.91,0.47,4589973,28028,W
699,-1.56,-0.97,-1.6,-2.93,-0.25,0.64,-2.76,10.25,-3.07,0,0,0,0.47,4590016,28071,W
700,1.37,-0.72,-2.24,0,0,0,-2.76,10.25,-3.07,0.65,-3.64,-3.68,0.47,4590060,28115,W
701,1.37,-0.72,-2.24,0,0,0,-3.41,13.89,0.61,6.24,-2.84,4.1,0.47,4590103,28158,W
702,1.37,-0.72,-2.24,0,0,0,-9.65,16.73,-3.49,-1.3,16.25,-20.3,0.47,4590144,28199,W
703,1.37,-0.72,-2.24,0,0,0,-8.35,0.48,16.81,-1.69,-3.26,20.15,0.47,4590188,28243,W
